customer_id,age,gender,location,income_band,risk_profile
CUST0000127,22,Male,Singapore,Low,Low Risk
CUST0000128,59,Female,"Johannesburg, South Africa",High,High Risk
CUST0000129,56,Male,"Johannesburg, South Africa",High,High Risk
CUST0000130,58,Male,"London, UK",Middle,High Risk
CUST0000131,45,Female,"New York, USA",High,Low Risk
CUST0000132,24,Female,Singapore,High,High Risk
CUST0000133,26,Male,"Berlin, Germany",Middle,Low Risk
CUST0000134,25,Male,"Berlin, Germany",High,Medium Risk
CUST0000135,29,Male,"London, UK",Middle,High Risk
CUST0000136,51,Female,"New York, USA",Low,Medium Risk
CUST0000137,50,Male,"Lagos, Nigeria",Middle,High Risk
CUST0000138,65,Male,Singapore,Low,Low Risk
CUST0000139,72,Male,"London, UK",Low,Low Risk
CUST0000140,40,Female,"New York, USA",High,Low Risk
CUST0000141,41,Female,Singapore,High,Low Risk
CUST0000142,54,Male,"Berlin, Germany",High,High Risk
CUST0000143,52,Male,"New York, USA",Middle,Medium Risk
CUST0000144,61,Female,"New York, USA",High,Low Risk
CUST0000145,57,Female,"Dubai, UAE",Low,High Risk
CUST0000146,39,Female,"New York, USA",High,Medium Risk
CUST0000147,44,Female,"Lagos, Nigeria",High,Low Risk
CUST0000148,52,Female,"New York, USA",Middle,Medium Risk
CUST0000149,18,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000150,52,Female,"Berlin, Germany",Low,Medium Risk
CUST0000151,54,Female,"Lagos, Nigeria",Middle,Medium Risk
CUST0000152,64,Female,Singapore,High,Low Risk
CUST0000153,31,Male,"Berlin, Germany",Middle,High Risk
CUST0000154,20,Male,"Berlin, Germany",Low,Medium Risk
CUST0000155,18,Male,"Lagos, Nigeria",High,Low Risk
CUST0000156,22,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000157,43,Male,"London, UK",Middle,Medium Risk
CUST0000158,72,Female,"Toronto, Canada",Middle,High Risk
CUST0000159,31,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000160,56,Male,"New York, USA",High,Medium Risk
CUST0000161,44,Female,"Dubai, UAE",Middle,Low Risk
CUST0000162,26,Male,"Toronto, Canada",Middle,Low Risk
CUST0000163,32,Male,"New York, USA",High,High Risk
CUST0000164,32,Male,"Johannesburg, South Africa",Middle,Medium Risk
CUST0000165,43,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000166,59,Male,"New York, USA",Middle,Medium Risk
CUST0000167,30,Female,"Berlin, Germany",Middle,High Risk
CUST0000168,68,Male,"New York, USA",High,Medium Risk
CUST0000169,49,Male,"Dubai, UAE",Low,Low Risk
CUST0000170,56,Male,"Johannesburg, South Africa",High,High Risk
CUST0000171,66,Female,"New York, USA",Middle,Low Risk
CUST0000172,69,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000173,49,Female,"Toronto, Canada",High,High Risk
CUST0000174,21,Male,"Lagos, Nigeria",High,Low Risk
CUST0000175,47,Male,"Dubai, UAE",High,Medium Risk
CUST0000176,54,Female,"New York, USA",Low,High Risk
CUST0000177,40,Female,Singapore,Middle,Low Risk
CUST0000178,56,Female,"Dubai, UAE",High,Medium Risk
CUST0000179,62,Female,"Berlin, Germany",Middle,Medium Risk
CUST0000180,32,Female,"Lagos, Nigeria",Low,Low Risk
CUST0000181,60,Female,"Lagos, Nigeria",Low,Medium Risk
CUST0000182,46,Male,"London, UK",Low,High Risk
CUST0000183,53,Female,"New York, USA",Low,Low Risk
CUST0000184,30,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000185,49,Male,Singapore,Low,Medium Risk
CUST0000186,24,Female,"Lagos, Nigeria",Low,Low Risk
CUST0000187,68,Female,"Lagos, Nigeria",High,Low Risk
CUST0000188,39,Male,"Berlin, Germany",Low,Low Risk
CUST0000189,45,Female,"Dubai, UAE",High,Low Risk
CUST0000190,19,Female,"Dubai, UAE",Low,High Risk
CUST0000191,59,Male,"New York, USA",Low,Low Risk
CUST0000192,62,Male,"Johannesburg, South Africa",High,High Risk
CUST0000193,74,Male,"London, UK",Low,High Risk
CUST0000194,70,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000195,23,Male,"Johannesburg, South Africa",Middle,High Risk
CUST0000196,45,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000197,45,Male,"London, UK",Middle,Low Risk
CUST0000198,61,Male,"Johannesburg, South Africa",High,Medium Risk
CUST0000199,61,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000200,37,Female,"Dubai, UAE",Low,Medium Risk
CUST0000201,47,Female,"Dubai, UAE",High,High Risk
CUST0000202,28,Male,"Toronto, Canada",High,Medium Risk
CUST0000203,72,Male,Singapore,High,High Risk
CUST0000204,45,Male,"New York, USA",Low,Low Risk
CUST0000205,42,Female,"Johannesburg, South Africa",High,High Risk
CUST0000206,56,Male,"Toronto, Canada",High,High Risk
CUST0000207,50,Female,Singapore,Middle,Low Risk
CUST0000208,18,Male,"Toronto, Canada",Middle,High Risk
CUST0000209,74,Male,"Toronto, Canada",Low,Low Risk
CUST0000210,44,Male,"New York, USA",Middle,Medium Risk
CUST0000211,74,Male,"New York, USA",Middle,Low Risk
CUST0000212,69,Male,"Berlin, Germany",High,Low Risk
CUST0000213,30,Male,"London, UK",High,High Risk
CUST0000214,58,Female,"London, UK",Middle,Medium Risk
CUST0000215,20,Male,"Berlin, Germany",Middle,Low Risk
CUST0000216,56,Female,"Berlin, Germany",Middle,Medium Risk
CUST0000217,23,Male,"Dubai, UAE",Low,Medium Risk
CUST0000218,25,Male,Singapore,Low,High Risk
CUST0000219,44,Female,"Toronto, Canada",Low,Low Risk
CUST0000220,26,Male,"Johannesburg, South Africa",Middle,High Risk
CUST0000221,54,Female,"Berlin, Germany",Middle,Low Risk
CUST0000222,50,Female,"Lagos, Nigeria",Low,Medium Risk
CUST0000223,68,Male,"London, UK",Low,Low Risk
CUST0000224,59,Female,"Berlin, Germany",Middle,Low Risk
CUST0000225,61,Female,"Lagos, Nigeria",High,Medium Risk
CUST0000226,41,Male,"Lagos, Nigeria",Low,Medium Risk
CUST0000227,32,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000228,71,Male,"Dubai, UAE",Middle,High Risk
CUST0000229,49,Male,"Dubai, UAE",High,Low Risk
CUST0000230,49,Male,"Johannesburg, South Africa",Middle,Medium Risk
CUST0000231,41,Male,"Johannesburg, South Africa",Middle,High Risk
CUST0000232,58,Female,"Lagos, Nigeria",Low,Medium Risk
CUST0000233,69,Male,Singapore,Low,Medium Risk
CUST0000234,66,Male,"Dubai, UAE",High,High Risk
CUST0000235,66,Female,"Toronto, Canada",High,Medium Risk
CUST0000236,69,Male,"Lagos, Nigeria",Middle,Medium Risk
CUST0000237,29,Male,"Toronto, Canada",Low,Medium Risk
CUST0000238,56,Female,"Toronto, Canada",High,Medium Risk
CUST0000239,19,Female,"Lagos, Nigeria",High,Medium Risk
CUST0000240,20,Female,"London, UK",High,Medium Risk
CUST0000241,66,Female,Singapore,Middle,Medium Risk
CUST0000242,54,Female,"Lagos, Nigeria",Low,Medium Risk
CUST0000243,66,Female,"Johannesburg, South Africa",High,Medium Risk
CUST0000244,73,Female,"Lagos, Nigeria",Low,Low Risk
CUST0000245,34,Male,"Dubai, UAE",High,Low Risk
CUST0000246,66,Female,"Lagos, Nigeria",High,Medium Risk
CUST0000247,19,Female,"London, UK",Low,Low Risk
CUST0000248,19,Female,"Dubai, UAE",Low,High Risk
CUST0000249,45,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000250,71,Male,"New York, USA",Middle,Medium Risk
CUST0000251,40,Female,"New York, USA",High,Medium Risk
CUST0000252,54,Female,"Toronto, Canada",Middle,Low Risk
CUST0000253,49,Female,Singapore,Low,Medium Risk
CUST0000254,50,Male,"Toronto, Canada",High,High Risk
CUST0000255,18,Male,"London, UK",Middle,High Risk
CUST0000256,36,Female,"Berlin, Germany",High,Medium Risk
CUST0000257,19,Male,"Johannesburg, South Africa",Middle,High Risk
CUST0000258,70,Female,Singapore,Low,High Risk
CUST0000259,61,Male,"Johannesburg, South Africa",Middle,Low Risk
CUST0000260,43,Male,"New York, USA",High,High Risk
CUST0000261,49,Female,"Toronto, Canada",High,Low Risk
CUST0000262,23,Female,"Johannesburg, South Africa",High,Medium Risk
CUST0000263,49,Female,"New York, USA",High,Low Risk
CUST0000264,72,Female,"London, UK",Low,Medium Risk
CUST0000265,21,Male,"London, UK",Middle,Medium Risk
CUST0000266,72,Male,"Berlin, Germany",Low,Medium Risk
CUST0000267,28,Male,"Johannesburg, South Africa",Low,Medium Risk
CUST0000268,73,Female,"Berlin, Germany",Low,Medium Risk
CUST0000269,34,Male,"Dubai, UAE",High,Low Risk
CUST0000270,55,Female,Singapore,High,Medium Risk
CUST0000271,41,Male,"Johannesburg, South Africa",High,High Risk
CUST0000272,22,Female,"London, UK",Middle,High Risk
CUST0000273,69,Female,"Toronto, Canada",High,Medium Risk
CUST0000274,51,Male,"New York, USA",Middle,High Risk
CUST0000275,23,Female,"Lagos, Nigeria",High,Low Risk
CUST0000276,39,Female,"Berlin, Germany",High,Low Risk
CUST0000277,28,Male,"Lagos, Nigeria",Low,Medium Risk
CUST0000278,65,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000279,33,Female,"Toronto, Canada",Low,Medium Risk
CUST0000280,50,Female,"Berlin, Germany",Middle,High Risk
CUST0000281,26,Male,"Lagos, Nigeria",Middle,High Risk
CUST0000282,23,Male,Singapore,High,Low Risk
CUST0000283,33,Female,"Toronto, Canada",Middle,High Risk
CUST0000284,46,Male,"New York, USA",High,Low Risk
CUST0000285,20,Female,Singapore,Middle,High Risk
CUST0000286,37,Female,"Toronto, Canada",Middle,Low Risk
CUST0000287,53,Female,"Dubai, UAE",Middle,Medium Risk
CUST0000288,36,Female,"Berlin, Germany",Low,High Risk
CUST0000289,43,Female,"London, UK",Middle,Low Risk
CUST0000290,20,Male,"New York, USA",Low,High Risk
CUST0000291,36,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000292,37,Male,Singapore,Middle,Low Risk
CUST0000293,49,Male,Singapore,High,High Risk
CUST0000294,24,Female,"Lagos, Nigeria",High,High Risk
CUST0000295,69,Female,"Berlin, Germany",High,Medium Risk
CUST0000296,58,Male,"Johannesburg, South Africa",Middle,Medium Risk
CUST0000297,50,Male,"London, UK",High,Low Risk
CUST0000298,57,Male,"Toronto, Canada",Low,High Risk
CUST0000299,56,Female,"London, UK",High,High Risk
CUST0000300,35,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000301,57,Female,"Berlin, Germany",High,Medium Risk
CUST0000302,18,Female,"Dubai, UAE",Low,Low Risk
CUST0000303,28,Female,"Dubai, UAE",Middle,High Risk
CUST0000304,45,Male,"London, UK",High,High Risk
CUST0000305,74,Female,"Toronto, Canada",Middle,Low Risk
CUST0000306,42,Female,"London, UK",Middle,Low Risk
CUST0000307,67,Female,"Berlin, Germany",Middle,Medium Risk
CUST0000308,40,Female,"Berlin, Germany",High,Medium Risk
CUST0000309,48,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000310,47,Male,"Dubai, UAE",High,Low Risk
CUST0000311,59,Female,"Johannesburg, South Africa",Low,High Risk
CUST0000312,52,Female,"Johannesburg, South Africa",High,Low Risk
CUST0000313,24,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000314,33,Female,"Lagos, Nigeria",High,High Risk
CUST0000315,43,Male,"New York, USA",Middle,Low Risk
CUST0000316,65,Female,"Johannesburg, South Africa",High,Medium Risk
CUST0000317,74,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000318,69,Male,"Lagos, Nigeria",Low,High Risk
CUST0000319,66,Female,"London, UK",High,Low Risk
CUST0000320,19,Female,"Dubai, UAE",Middle,Medium Risk
CUST0000321,18,Female,"Dubai, UAE",Low,Medium Risk
CUST0000322,65,Male,"Toronto, Canada",Low,Medium Risk
CUST0000323,29,Male,"London, UK",High,Medium Risk
CUST0000324,22,Male,"Toronto, Canada",Low,Low Risk
CUST0000325,54,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000326,49,Male,Singapore,Low,Low Risk
CUST0000327,72,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000328,26,Female,"New York, USA",Middle,Medium Risk
CUST0000329,58,Male,"London, UK",Low,High Risk
CUST0000330,52,Male,"London, UK",Low,High Risk
CUST0000331,36,Female,"London, UK",Low,Medium Risk
CUST0000332,65,Male,"Toronto, Canada",Low,Medium Risk
CUST0000333,33,Female,"Lagos, Nigeria",Middle,High Risk
CUST0000334,20,Female,"London, UK",Low,High Risk
CUST0000335,37,Female,Singapore,Middle,Medium Risk
CUST0000336,41,Female,"London, UK",Low,Medium Risk
CUST0000337,71,Female,"Dubai, UAE",Low,Low Risk
CUST0000338,73,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000339,50,Male,"New York, USA",Low,High Risk
CUST0000340,41,Female,"Johannesburg, South Africa",Middle,Medium Risk
CUST0000341,69,Female,"Dubai, UAE",Middle,High Risk
CUST0000342,28,Male,"Dubai, UAE",Middle,Low Risk
CUST0000343,66,Female,"New York, USA",High,Low Risk
CUST0000344,25,Female,Singapore,Low,High Risk
CUST0000345,53,Female,"Lagos, Nigeria",Low,Low Risk
CUST0000346,55,Male,"Dubai, UAE",Middle,Medium Risk
CUST0000347,57,Male,"Lagos, Nigeria",High,High Risk
CUST0000348,37,Female,"Dubai, UAE",Low,Medium Risk
CUST0000349,52,Female,"Berlin, Germany",Middle,Medium Risk
CUST0000350,65,Male,"New York, USA",Low,Low Risk
CUST0000351,42,Male,"Dubai, UAE",Low,Medium Risk
CUST0000352,52,Female,"Berlin, Germany",Middle,High Risk
CUST0000353,42,Female,"Johannesburg, South Africa",Middle,Medium Risk
CUST0000354,46,Male,"Toronto, Canada",Low,Medium Risk
CUST0000355,35,Male,"Berlin, Germany",Low,Medium Risk
CUST0000356,63,Male,"London, UK",Middle,Medium Risk
CUST0000357,35,Female,"Dubai, UAE",Low,Medium Risk
CUST0000358,19,Male,"Berlin, Germany",Low,Low Risk
CUST0000359,71,Female,"Lagos, Nigeria",Middle,High Risk
CUST0000360,52,Male,"Toronto, Canada",Low,Low Risk
CUST0000361,33,Male,Singapore,Low,High Risk
CUST0000362,58,Male,"Dubai, UAE",High,High Risk
CUST0000363,53,Male,"London, UK",Middle,High Risk
CUST0000364,50,Female,Singapore,High,High Risk
CUST0000365,21,Female,"Berlin, Germany",High,High Risk
CUST0000366,50,Male,Singapore,High,Medium Risk
CUST0000367,31,Female,Singapore,Low,Low Risk
CUST0000368,38,Male,"Toronto, Canada",Low,Low Risk
CUST0000369,65,Male,"Johannesburg, South Africa",High,Medium Risk
CUST0000370,37,Male,Singapore,High,High Risk
CUST0000371,73,Male,Singapore,High,Low Risk
CUST0000372,25,Female,"Dubai, UAE",Low,Medium Risk
CUST0000373,24,Male,"Johannesburg, South Africa",High,Medium Risk
CUST0000374,20,Male,"Toronto, Canada",High,Low Risk
CUST0000375,34,Female,"London, UK",Middle,Low Risk
CUST0000376,50,Male,"Berlin, Germany",Middle,High Risk
CUST0000377,65,Male,"Toronto, Canada",Low,High Risk
CUST0000378,29,Male,"Toronto, Canada",Middle,Low Risk
CUST0000379,68,Female,"New York, USA",Middle,High Risk
CUST0000380,39,Male,"Toronto, Canada",Middle,Medium Risk
CUST0000381,72,Female,"Johannesburg, South Africa",Low,High Risk
CUST0000382,39,Male,"New York, USA",Middle,High Risk
CUST0000383,63,Male,"Berlin, Germany",Low,Medium Risk
CUST0000384,47,Female,Singapore,High,High Risk
CUST0000385,55,Male,"Dubai, UAE",Middle,Medium Risk
CUST0000386,55,Male,"Dubai, UAE",Low,High Risk
CUST0000387,62,Female,"Berlin, Germany",Middle,Low Risk
CUST0000388,68,Female,"Berlin, Germany",High,High Risk
CUST0000389,71,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000390,25,Female,"Lagos, Nigeria",Low,Low Risk
CUST0000391,44,Female,Singapore,Low,Low Risk
CUST0000392,44,Male,"Berlin, Germany",High,Low Risk
CUST0000393,51,Female,"Toronto, Canada",High,Low Risk
CUST0000394,38,Male,"Johannesburg, South Africa",High,Medium Risk
CUST0000395,47,Male,"Dubai, UAE",Low,Medium Risk
CUST0000396,50,Male,"London, UK",High,Medium Risk
CUST0000397,45,Female,"Johannesburg, South Africa",Middle,Low Risk
CUST0000398,64,Female,"Dubai, UAE",High,High Risk
CUST0000399,50,Male,"New York, USA",Low,Medium Risk
CUST0000400,22,Female,"Johannesburg, South Africa",Middle,High Risk
CUST0000401,65,Female,"Dubai, UAE",High,High Risk
CUST0000402,36,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000403,21,Female,"Johannesburg, South Africa",Middle,Low Risk
CUST0000404,52,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000405,66,Male,Singapore,Middle,Medium Risk
CUST0000406,34,Female,"Berlin, Germany",Middle,Low Risk
CUST0000407,61,Male,Singapore,Low,Medium Risk
CUST0000408,45,Female,"Johannesburg, South Africa",Low,Medium Risk
CUST0000409,47,Female,"Berlin, Germany",Low,Medium Risk
CUST0000410,46,Male,"Dubai, UAE",Middle,Medium Risk
CUST0000411,63,Male,"London, UK",Middle,Low Risk
CUST0000412,70,Male,"London, UK",Middle,Medium Risk
CUST0000413,23,Female,"Johannesburg, South Africa",Low,Low Risk
CUST0000414,52,Male,"Lagos, Nigeria",High,Low Risk
CUST0000415,58,Female,"New York, USA",Middle,Medium Risk
CUST0000416,54,Male,"Dubai, UAE",High,Low Risk
CUST0000417,41,Male,"Berlin, Germany",Low,High Risk
CUST0000418,46,Female,"Johannesburg, South Africa",Middle,Low Risk
CUST0000419,66,Female,"Dubai, UAE",High,Low Risk
CUST0000420,63,Female,"Johannesburg, South Africa",Middle,Medium Risk
CUST0000421,70,Female,"Lagos, Nigeria",Middle,Medium Risk
CUST0000422,48,Female,"Toronto, Canada",Middle,Low Risk
CUST0000423,52,Female,"Toronto, Canada",High,Medium Risk
CUST0000424,50,Female,"Lagos, Nigeria",Low,High Risk
CUST0000425,69,Female,"Berlin, Germany",Middle,High Risk
CUST0000426,38,Male,Singapore,Low,Medium Risk
CUST0000427,49,Female,"Lagos, Nigeria",Low,Low Risk
CUST0000428,40,Female,"Johannesburg, South Africa",High,High Risk
CUST0000429,50,Male,"Berlin, Germany",High,High Risk
CUST0000430,20,Female,"London, UK",Low,Low Risk
CUST0000431,35,Male,"Lagos, Nigeria",Middle,Medium Risk
CUST0000432,42,Male,"Berlin, Germany",High,High Risk
CUST0000433,59,Female,"Lagos, Nigeria",Middle,Low Risk
CUST0000434,48,Male,"Lagos, Nigeria",Middle,Low Risk
CUST0000435,71,Female,Singapore,Middle,High Risk
CUST0000436,20,Male,Singapore,Low,Medium Risk
CUST0000437,57,Male,"Johannesburg, South Africa",Middle,High Risk
CUST0000438,63,Male,"Berlin, Germany",Low,Low Risk
CUST0000439,41,Female,"Berlin, Germany",Low,High Risk
CUST0000440,67,Female,"New York, USA",Middle,Medium Risk
CUST0000441,49,Male,"Lagos, Nigeria",Middle,Low Risk
CUST0000442,64,Male,"Toronto, Canada",Middle,Medium Risk
CUST0000443,39,Female,"Lagos, Nigeria",Middle,High Risk
CUST0000444,40,Female,"Lagos, Nigeria",Low,High Risk
CUST0000445,19,Male,"Berlin, Germany",Middle,Medium Risk
CUST0000446,44,Male,"Lagos, Nigeria",Middle,High Risk
CUST0000447,59,Female,"Dubai, UAE",Low,Medium Risk
CUST0000448,19,Female,"Lagos, Nigeria",High,High Risk
CUST0000449,43,Female,"Dubai, UAE",High,Medium Risk
CUST0000450,34,Female,Singapore,Low,Medium Risk
CUST0000451,57,Female,"Toronto, Canada",High,Low Risk
CUST0000452,50,Male,"Johannesburg, South Africa",Low,Low Risk
CUST0000453,26,Female,"Berlin, Germany",Middle,Medium Risk
CUST0000454,60,Male,"Lagos, Nigeria",Middle,High Risk
CUST0000455,71,Female,"Dubai, UAE",High,High Risk
CUST0000456,65,Male,"Dubai, UAE",Middle,High Risk
CUST0000457,56,Female,Singapore,High,Medium Risk
CUST0000458,46,Female,"Dubai, UAE",High,Medium Risk
