payment_id,policy_id,premium_paid,payment_date,payment_status
PAY0000236,POL0002494,4772.04,2018-09-21,Paid
PAY0000237,POL0002371,426.83,2024-07-15,Failed
PAY0000238,POL0002678,1357.34,2020-02-23,Paid
PAY0000239,POL0002121,2428.09,2020-06-19,Paid
PAY0000240,POL0000518,3829.08,2023-04-17,Paid
PAY0000241,POL0001345,4765.34,2021-11-09,Paid
PAY0000242,POL0000022,2254.6,2021-11-25,Paid
PAY0000243,POL0000179,3835.09,2022-10-13,Failed
PAY0000244,POL0002756,3690.38,2024-11-16,Paid
PAY0000245,POL0001133,2941.61,2023-09-09,Paid
PAY0000246,POL0001480,3516.41,2021-03-20,Paid
PAY0000247,POL0001591,382.72,2021-09-12,Paid
PAY0000248,POL0001253,2319.57,2018-04-06,Paid
PAY0000249,POL0000938,3972.13,2021-05-03,Pending
PAY0000250,POL0002996,2476.26,2019-06-19,Paid
PAY0000251,POL0000531,4392.82,2023-04-23,Pending
PAY0000252,POL0002412,4201.46,2020-02-19,Paid
PAY0000253,POL0001921,4344.54,2018-03-28,Failed
PAY0000254,POL0002473,823.98,2020-04-23,Paid
PAY0000255,POL0000959,1371.88,2021-02-03,Paid
PAY0000256,POL0001072,342.07,2019-05-10,Paid
PAY0000257,POL0001489,4917.44,2018-07-24,Paid
PAY0000258,POL0000672,1333.46,2018-04-18,Paid
PAY0000259,POL0001934,1962.05,2023-02-12,Paid
PAY0000260,POL0001297,1519.65,2018-11-08,Paid
PAY0000261,POL0001632,391.01,2024-08-04,Paid
PAY0000262,POL0002017,1454.04,2020-07-30,Paid
PAY0000263,POL0001054,671.34,2022-11-05,Pending
PAY0000264,POL0001657,2092.56,2024-07-20,Paid
PAY0000265,POL0000879,4840.76,2023-09-05,Failed
PAY0000266,POL0002995,3551.66,2019-09-01,Pending
PAY0000267,POL0002200,3593.12,2018-10-04,Paid
PAY0000268,POL0001400,2375.24,2021-10-30,Paid
PAY0000269,POL0002303,4094.26,2020-01-03,Paid
PAY0000270,POL0002751,4559.76,2021-08-08,Paid
PAY0000271,POL0002702,4815.44,2024-01-10,Paid
PAY0000272,POL0000758,675.15,2024-07-22,Paid
PAY0000273,POL0000187,4422.29,2019-07-22,Pending
PAY0000274,POL0000879,1280.4,2021-01-05,Failed
PAY0000275,POL0001473,2106.88,2023-06-14,Paid
PAY0000276,POL0000673,1858.29,2019-03-20,Failed
PAY0000277,POL0000876,3440.62,2018-07-02,Paid
PAY0000278,POL0000118,3070.04,2021-11-27,Pending
PAY0000279,POL0001082,723.7,2018-08-17,Paid
PAY0000280,POL0000871,3957.55,2020-06-26,Paid
PAY0000281,POL0002506,2310.3,2022-03-07,Paid
PAY0000282,POL0000706,210.66,2018-06-05,Paid
PAY0000283,POL0002690,2189.62,2018-08-05,Paid
PAY0000284,POL0002260,2678.39,2018-04-15,Failed
PAY0000285,POL0000486,530.6,2024-08-09,Paid
PAY0000286,POL0002939,925.45,2020-04-11,Paid
PAY0000287,POL0001578,4969.15,2023-07-31,Paid
PAY0000288,POL0001027,4381.74,2020-11-15,Paid
PAY0000289,POL0001968,839.97,2018-07-06,Paid
PAY0000290,POL0001253,2985.49,2018-08-28,Failed
PAY0000291,POL0001253,2020.37,2018-12-21,Paid
PAY0000292,POL0000985,2809.95,2021-10-08,Paid
PAY0000293,POL0000343,2458.57,2018-07-24,Paid
PAY0000294,POL0001240,431.11,2023-05-12,Paid
PAY0000295,POL0001667,1714.02,2022-02-17,Paid
PAY0000296,POL0001138,802.5,2020-11-25,Paid
PAY0000297,POL0001727,2547.05,2018-11-11,Paid
PAY0000298,POL0001779,4555.12,2022-01-27,Paid
PAY0000299,POL0000294,4978.56,2020-10-17,Paid
PAY0000300,POL0000028,4732.41,2022-08-21,Paid
PAY0000301,POL0001620,4931.35,2022-09-17,Pending
PAY0000302,POL0002907,273.18,2023-03-23,Paid
PAY0000303,POL0001345,3701.35,2018-09-01,Paid
PAY0000304,POL0000573,1510.15,2021-12-24,Paid
PAY0000305,POL0000928,4354.97,2018-11-13,Paid
PAY0000306,POL0001779,4105.92,2023-01-31,Paid
PAY0000307,POL0001771,2233.64,2024-01-02,Paid
PAY0000308,POL0001435,2471.65,2019-05-24,Paid
PAY0000309,POL0002445,1472.44,2024-02-07,Paid
PAY0000310,POL0002649,1586.26,2018-08-18,Paid
PAY0000311,POL0001076,4909.64,2021-08-12,Paid
PAY0000312,POL0000370,4466.49,2022-09-04,Failed
PAY0000313,POL0000164,1120.97,2021-03-19,Paid
PAY0000314,POL0001327,1522.52,2024-03-11,Paid
PAY0000315,POL0002498,721.51,2021-04-04,Paid
PAY0000316,POL0002592,4946.58,2021-01-15,Paid
PAY0000317,POL0002758,4554.61,2023-08-03,Paid
PAY0000318,POL0000351,2850.07,2022-09-09,Paid
PAY0000319,POL0002427,3525.89,2018-09-05,Paid
PAY0000320,POL0001463,3790.15,2020-10-29,Paid
PAY0000321,POL0000201,1178.29,2021-06-15,Paid
PAY0000322,POL0002553,4686.4,2018-10-21,Paid
PAY0000323,POL0001052,2728.37,2023-01-05,Paid
PAY0000324,POL0000337,643.77,2019-02-14,Paid
PAY0000325,POL0000287,2106.0,2020-11-25,Paid
PAY0000326,POL0002679,3087.9,2024-06-20,Paid
PAY0000327,POL0001055,1893.55,2021-12-11,Paid
PAY0000328,POL0002714,3556.18,2023-11-04,Paid
PAY0000329,POL0001796,4433.84,2019-03-27,Paid
PAY0000330,POL0001643,3905.08,2022-03-16,Paid
PAY0000331,POL0001387,3284.76,2022-08-22,Paid
PAY0000332,POL0000107,2658.36,2020-06-30,Paid
PAY0000333,POL0002554,1421.42,2023-08-14,Paid
PAY0000334,POL0000117,2383.74,2022-01-29,Pending
PAY0000335,POL0001269,1606.17,2019-04-08,Paid
PAY0000336,POL0002127,4683.31,2022-02-25,Paid
PAY0000337,POL0000741,4555.09,2022-11-24,Pending
PAY0000338,POL0000023,947.97,2024-01-15,Paid
PAY0000339,POL0000361,4148.58,2019-11-01,Paid
PAY0000340,POL0000700,3573.99,2021-11-23,Paid
PAY0000341,POL0001451,4881.02,2024-09-12,Pending
PAY0000342,POL0000217,2423.87,2018-03-07,Paid
PAY0000343,POL0001690,3666.44,2019-03-14,Paid
PAY0000344,POL0002755,2685.84,2020-11-15,Paid
PAY0000345,POL0000628,533.12,2019-05-19,Paid
PAY0000346,POL0000567,424.47,2022-08-10,Paid
PAY0000347,POL0002491,786.13,2018-03-02,Failed
PAY0000348,POL0002021,1621.72,2024-01-05,Paid
PAY0000349,POL0002507,1443.74,2022-12-06,Paid
PAY0000350,POL0002192,3695.97,2024-11-23,Failed
PAY0000351,POL0000314,3636.43,2023-12-01,Paid
PAY0000352,POL0002923,4862.69,2019-04-28,Paid
PAY0000353,POL0000729,1689.88,2018-07-12,Paid
PAY0000354,POL0002687,4704.57,2019-03-21,Paid
PAY0000355,POL0000474,3141.68,2022-05-21,Paid
PAY0000356,POL0000685,2577.48,2024-06-15,Paid
PAY0000357,POL0000606,3405.64,2021-03-16,Paid
PAY0000358,POL0002950,3573.23,2018-05-22,Paid
PAY0000359,POL0001243,1025.26,2018-10-04,Paid
PAY0000360,POL0001588,3808.23,2022-10-23,Paid
PAY0000361,POL0001382,3680.83,2021-08-20,Pending
PAY0000362,POL0000275,4988.15,2019-10-07,Paid
PAY0000363,POL0001900,4577.35,2022-04-22,Paid
PAY0000364,POL0000752,3486.37,2024-04-14,Paid
PAY0000365,POL0002265,3619.35,2022-02-24,Paid
PAY0000366,POL0001583,4740.73,2024-05-25,Paid
PAY0000367,POL0002002,4842.46,2024-10-23,Paid
PAY0000368,POL0000676,4169.43,2023-07-20,Paid
PAY0000369,POL0000710,3883.49,2021-01-20,Paid
PAY0000370,POL0000923,734.56,2022-10-05,Paid
PAY0000371,POL0000408,4185.55,2024-07-11,Pending
PAY0000372,POL0000148,1415.34,2022-05-31,Paid
PAY0000373,POL0001110,2906.16,2021-03-24,Paid
PAY0000374,POL0000503,2145.79,2021-01-05,Paid
PAY0000375,POL0001789,1858.92,2021-01-05,Paid
PAY0000376,POL0002280,1689.2,2020-07-18,Paid
PAY0000377,POL0002546,4306.05,2023-09-18,Pending
PAY0000378,POL0002471,3891.85,2023-12-14,Paid
PAY0000379,POL0001491,2712.55,2023-10-28,Paid
PAY0000380,POL0002295,3389.51,2023-12-17,Paid
PAY0000381,POL0001394,4925.73,2018-03-28,Paid
PAY0000382,POL0000105,2108.17,2024-12-05,Paid
PAY0000383,POL0002282,2845.28,2018-01-28,Paid
PAY0000384,POL0001482,2760.91,2023-10-27,Paid
PAY0000385,POL0001281,4692.67,2022-09-23,Paid
PAY0000386,POL0002523,1887.5,2022-02-11,Paid
PAY0000387,POL0001617,4934.02,2021-01-13,Paid
PAY0000388,POL0001196,1662.55,2018-07-19,Pending
PAY0000389,POL0001297,722.75,2022-10-08,Paid
PAY0000390,POL0000759,1118.59,2022-07-03,Failed
PAY0000391,POL0000875,2245.86,2020-04-04,Paid
PAY0000392,POL0000112,3318.83,2018-10-11,Paid
PAY0000393,POL0002071,2680.76,2023-06-03,Paid
PAY0000394,POL0002985,2006.14,2022-11-09,Paid
PAY0000395,POL0002363,2897.76,2020-07-10,Failed
PAY0000396,POL0000202,4226.27,2019-04-25,Paid
PAY0000397,POL0000618,4226.87,2021-11-02,Paid
PAY0000398,POL0002654,3685.89,2019-10-13,Paid
PAY0000399,POL0000995,4771.75,2024-08-31,Paid
PAY0000400,POL0000025,3032.98,2018-12-10,Paid
PAY0000401,POL0000657,236.76,2020-06-19,Paid
PAY0000402,POL0001532,1596.46,2019-06-24,Paid
PAY0000403,POL0001390,1775.47,2024-09-13,Paid
PAY0000404,POL0000531,2827.17,2019-10-07,Paid
PAY0000405,POL0001618,4543.47,2022-02-08,Paid
PAY0000406,POL0000046,4222.95,2019-12-05,Paid
PAY0000407,POL0001059,1314.43,2024-05-23,Paid
PAY0000408,POL0002250,2693.07,2024-02-02,Failed
PAY0000409,POL0001559,3363.91,2022-12-06,Failed
PAY0000410,POL0000365,4940.06,2023-07-28,Paid
PAY0000411,POL0002518,350.25,2018-02-15,Paid
PAY0000412,POL0002825,2426.61,2024-05-08,Paid
PAY0000413,POL0002464,4942.92,2020-05-20,Paid
PAY0000414,POL0001370,4890.59,2024-12-19,Paid
PAY0000415,POL0001373,1787.49,2019-11-21,Paid
PAY0000416,POL0002747,200.08,2024-11-21,Paid
PAY0000417,POL0002858,3016.33,2019-03-25,Paid
PAY0000418,POL0002238,4361.31,2024-05-12,Paid
PAY0000419,POL0000349,1756.63,2018-04-20,Pending
PAY0000420,POL0000373,4684.5,2022-07-08,Paid
PAY0000421,POL0001663,1796.97,2022-05-14,Paid
PAY0000422,POL0000985,3128.97,2021-07-04,Paid
PAY0000423,POL0000987,3665.82,2019-07-20,Paid
PAY0000424,POL0002159,1858.0,2018-07-29,Paid
PAY0000425,POL0001579,1890.59,2018-11-01,Paid
PAY0000426,POL0001527,2455.98,2018-03-16,Paid
PAY0000427,POL0002694,4209.07,2024-11-10,Paid
PAY0000428,POL0001037,684.08,2024-09-21,Paid
PAY0000429,POL0000523,3231.1,2021-10-15,Paid
PAY0000430,POL0001990,3451.27,2023-05-04,Paid
PAY0000431,POL0002245,2877.79,2020-03-14,Paid
PAY0000432,POL0001415,4692.02,2018-06-13,Paid
PAY0000433,POL0002103,3089.56,2019-12-03,Paid
PAY0000434,POL0002231,3245.97,2023-04-17,Paid
PAY0000435,POL0001043,3078.85,2021-04-29,Paid
PAY0000436,POL0000363,3665.69,2021-10-20,Paid
PAY0000437,POL0002521,849.97,2021-09-23,Paid
PAY0000438,POL0000009,4492.53,2019-06-23,Paid
PAY0000439,POL0002708,403.96,2019-12-13,Paid
PAY0000440,POL0002073,3275.57,2024-11-14,Paid
PAY0000441,POL0001330,3154.31,2021-01-16,Paid
PAY0000442,POL0001458,1198.98,2020-05-14,Failed
PAY0000443,POL0002021,395.41,2018-06-30,Paid
PAY0000444,POL0001446,866.41,2018-12-01,Paid
PAY0000445,POL0001081,1504.03,2020-01-01,Failed
PAY0000446,POL0000824,4434.11,2022-11-09,Paid
PAY0000447,POL0002116,4307.53,2019-04-24,Pending
PAY0000448,POL0001025,506.51,2022-12-14,Paid
PAY0000449,POL0000048,1588.49,2021-03-11,Paid
PAY0000450,POL0001441,4468.72,2020-11-10,Paid
PAY0000451,POL0000945,1335.96,2018-02-26,Failed
PAY0000452,POL0001977,4980.63,2021-01-20,Paid
PAY0000453,POL0001984,1432.83,2018-11-16,Paid
PAY0000454,POL0000355,3747.74,2018-09-02,Failed
PAY0000455,POL0000437,2201.88,2019-02-17,Paid
PAY0000456,POL0000700,853.97,2023-04-28,Paid
PAY0000457,POL0001918,1424.74,2022-02-14,Paid
PAY0000458,POL0002674,3440.57,2019-09-18,Paid
PAY0000459,POL0000090,1817.87,2018-08-07,Pending
PAY0000460,POL0000369,3099.82,2023-09-11,Paid
PAY0000461,POL0002987,1186.55,2018-07-28,Paid
PAY0000462,POL0001193,2353.19,2018-06-12,Paid
PAY0000463,POL0001387,2658.78,2019-01-31,Pending
PAY0000464,POL0001897,2181.37,2021-10-12,Paid
PAY0000465,POL0002548,1150.01,2024-01-07,Paid
PAY0000466,POL0000704,2415.46,2024-09-14,Paid
PAY0000467,POL0002181,3525.92,2020-05-21,Pending
PAY0000468,POL0002220,4831.55,2019-02-20,Paid
PAY0000469,POL0001554,3989.7,2022-03-12,Pending
PAY0000470,POL0002811,975.06,2021-12-22,Paid
PAY0000471,POL0002489,1508.97,2022-01-17,Paid
PAY0000472,POL0000112,578.35,2020-05-01,Paid
PAY0000473,POL0001064,851.12,2018-02-15,Paid
PAY0000474,POL0000102,1403.28,2022-07-11,Paid
PAY0000475,POL0001393,1157.73,2024-04-19,Paid
PAY0000476,POL0001198,1225.52,2018-06-13,Paid
PAY0000477,POL0000341,1307.7,2021-03-01,Paid
PAY0000478,POL0000920,1643.26,2020-07-30,Failed
PAY0000479,POL0001948,802.81,2024-10-23,Pending
PAY0000480,POL0002862,1533.61,2023-04-27,Paid
PAY0000481,POL0000196,3504.38,2023-07-31,Paid
PAY0000482,POL0001608,1334.72,2020-09-12,Paid
PAY0000483,POL0001206,1024.82,2019-01-24,Paid
