customer_id,activity_score,device_usage,engagement_level
CUST0000245,0.078,Mobile,Low
CUST0000342,0.937,Web,High
CUST0000009,0.088,Mixed,High
CUST0000479,0.491,Web,High
CUST0002070,0.721,Web,Low
CUST0001845,0.88,Web,Medium
CUST0000277,0.571,Web,Medium
CUST0002979,0.683,Mobile,Low
CUST0002815,0.71,Mixed,Medium
CUST0000925,0.016,Mobile,High
CUST0000053,0.942,Mobile,Low
CUST0001598,0.36,Mixed,Medium
CUST0000675,0.178,Web,Low
CUST0000855,0.473,Web,High
CUST0000424,0.733,Web,Medium
CUST0002028,0.827,Mixed,Medium
CUST0002007,0.72,Web,High
CUST0001106,0.4,Mixed,Medium
CUST0000571,0.682,Web,Medium
CUST0000855,0.432,Mixed,Medium
CUST0000769,0.987,Mobile,High
CUST0001523,0.996,Mixed,Low
CUST0002106,0.25,Mixed,Low
CUST0002230,0.483,Mobile,Medium
CUST0001817,0.577,Mixed,Low
CUST0000934,0.636,Mixed,High
CUST0000409,0.434,Web,Medium
CUST0000486,0.524,Mixed,High
CUST0000007,0.554,Mixed,Medium
CUST0000430,0.388,Web,Medium
CUST0001360,0.32,Mobile,Medium
CUST0002678,0.635,Mobile,Low
CUST0001019,0.442,Mixed,Medium
CUST0001119,0.972,Mobile,High
CUST0001466,0.376,Web,Medium
CUST0001829,0.196,Mixed,Low
CUST0001432,0.427,Mixed,Medium
CUST0001649,0.657,Mixed,Low
CUST0001955,0.442,Mobile,Low
CUST0001910,0.286,Mobile,Medium
CUST0002711,0.495,Mobile,Low
CUST0000458,0.447,Mobile,Medium
CUST0001944,0.944,Mobile,Low
CUST0002173,0.019,Web,Medium
CUST0002891,0.395,Web,Medium
CUST0002970,0.341,Mobile,Medium
CUST0001208,0.223,Web,Medium
CUST0000322,0.546,Mobile,Medium
CUST0001057,0.614,Mixed,High
CUST0001526,0.01,Web,Low
CUST0000685,0.676,Mixed,Medium
CUST0000721,0.383,Mobile,High
CUST0001804,0.923,Web,Medium
CUST0000719,0.744,Web,Low
CUST0002360,0.514,Mixed,High
CUST0000323,0.952,Mobile,High
CUST0002966,0.687,Web,Low
CUST0001958,0.808,Mobile,Medium
CUST0001877,0.956,Web,High
CUST0001763,0.89,Web,High
CUST0002924,0.071,Web,High
CUST0002091,0.21,Web,Low
CUST0000390,0.63,Mobile,Medium
CUST0000907,0.161,Mobile,Medium
CUST0002577,0.465,Mobile,Low
CUST0002276,0.48,Mixed,Medium
CUST0000223,0.463,Mobile,Low
CUST0001643,0.823,Web,High
CUST0002552,0.489,Web,High
CUST0002224,0.869,Mixed,High
CUST0000422,0.774,Web,Low
CUST0002900,0.642,Mixed,Low
CUST0001329,0.578,Mobile,High
CUST0001123,0.232,Mixed,Low
CUST0002924,0.768,Web,High
CUST0001842,0.804,Mixed,High
CUST0000525,0.489,Web,Low
CUST0002907,0.22,Mobile,Low
CUST0002179,0.76,Mixed,High
CUST0000212,0.8,Mobile,High
CUST0001862,0.567,Web,Medium
CUST0001966,0.697,Web,High
CUST0000302,0.774,Web,Low
CUST0002697,0.292,Web,Medium
CUST0002494,0.283,Web,High
CUST0001697,0.708,Web,High
CUST0002564,0.512,Mobile,High
CUST0001421,0.512,Mobile,Low
CUST0001702,0.959,Mobile,Medium
CUST0001857,0.799,Mobile,High
CUST0002521,0.256,Mixed,Low
CUST0001921,0.406,Web,Medium
CUST0000672,0.83,Mixed,High
CUST0000362,0.073,Mixed,Medium
CUST0000531,0.321,Web,High
CUST0000510,0.34,Mobile,Medium
CUST0000553,0.39,Mixed,Low
CUST0000844,0.259,Web,High
CUST0001558,0.642,Web,Low
CUST0000610,0.395,Mixed,Medium
CUST0002135,0.542,Mixed,High
CUST0000620,0.273,Mobile,High
CUST0000312,0.861,Web,Low
CUST0002323,0.206,Web,High
CUST0001858,0.877,Mobile,High
CUST0002370,0.179,Mixed,Low
CUST0000294,0.37,Web,Medium
CUST0000551,0.779,Mobile,Low
CUST0002571,0.493,Web,Low
CUST0000881,0.237,Web,Medium
CUST0001117,0.663,Mixed,High
CUST0002581,0.128,Web,High
CUST0002717,0.215,Mixed,Medium
CUST0000605,0.257,Web,High
CUST0000554,0.584,Web,Medium
CUST0002700,0.552,Web,Low
CUST0002050,0.52,Mobile,High
CUST0000040,0.097,Mixed,High
CUST0000319,0.78,Mobile,Medium
CUST0000673,0.132,Web,Medium
CUST0002925,0.939,Mixed,Low
CUST0002990,0.065,Mobile,Medium
CUST0000778,0.88,Mobile,Medium
CUST0000489,0.298,Mixed,Medium
CUST0002955,0.7,Mixed,High
CUST0000264,0.333,Mobile,High
CUST0002933,0.72,Mixed,High
CUST0000686,0.481,Web,High
CUST0001284,0.527,Mobile,High
CUST0002476,0.716,Mixed,High
CUST0000604,0.134,Mixed,Low
CUST0000338,0.266,Mixed,High
CUST0002293,0.841,Web,Medium
CUST0002565,0.79,Mobile,High
CUST0000072,0.99,Web,Medium
CUST0000126,0.023,Mixed,Medium
CUST0002565,0.142,Mobile,Low
CUST0000023,0.337,Mixed,Medium
CUST0000662,0.693,Mobile,Medium
CUST0000117,0.316,Mixed,Low
CUST0001979,0.346,Web,Medium
CUST0002882,0.227,Web,Low
CUST0000676,0.91,Mobile,Medium
CUST0002627,0.548,Web,High
CUST0002076,0.16,Mobile,Medium
CUST0002284,0.582,Mixed,High
CUST0000457,0.16,Web,Low
CUST0000979,0.272,Mixed,High
CUST0000407,0.696,Web,High
CUST0001518,0.758,Mixed,Medium
CUST0000201,0.433,Web,High
CUST0001605,0.167,Web,Low
CUST0000232,0.212,Mixed,Low
CUST0000798,0.54,Web,Medium
CUST0001976,0.589,Mobile,Medium
CUST0001596,0.869,Mixed,Low
CUST0002903,0.268,Mobile,Low
CUST0000917,0.612,Mobile,Medium
CUST0000880,0.003,Mixed,Medium
CUST0000042,0.471,Mobile,Medium
CUST0001129,0.398,Mobile,Medium
CUST0001840,0.12,Mobile,Medium
CUST0001740,0.891,Mobile,Low
CUST0002198,0.108,Mobile,Medium
CUST0001535,0.265,Mixed,High
CUST0000760,0.734,Mixed,Low
CUST0001119,0.181,Mobile,High
CUST0002098,0.077,Mobile,Medium
CUST0001712,0.969,Mobile,Low
CUST0001858,0.294,Mobile,Medium
CUST0002926,0.061,Mixed,Medium
CUST0001463,0.141,Mixed,Medium
CUST0002596,0.222,Mobile,Low
CUST0002845,0.958,Mobile,Low
CUST0002658,0.016,Mixed,High
CUST0002681,0.793,Mobile,Low
CUST0002098,0.781,Mobile,Medium
CUST0001545,0.5,Mobile,High
CUST0002494,0.933,Web,Low
CUST0001541,0.013,Mobile,High
CUST0001031,0.495,Mobile,Medium
CUST0002988,0.253,Mixed,Low
CUST0001917,0.762,Mobile,Medium
CUST0000515,0.173,Mobile,Medium
CUST0001679,0.875,Mobile,High
CUST0000595,0.405,Web,High
CUST0000771,0.136,Mixed,High
CUST0000340,0.035,Mobile,High
CUST0001359,0.689,Mobile,High
CUST0000614,0.928,Mixed,Low
CUST0000398,0.97,Web,High
CUST0000004,0.874,Web,Low
CUST0002467,0.39,Web,Low
CUST0001928,0.906,Web,Medium
CUST0000675,0.644,Mobile,Low
CUST0000324,0.063,Mobile,Medium
CUST0000684,0.171,Mobile,Medium
CUST0001529,0.385,Web,High
CUST0001044,0.306,Mobile,High
CUST0002103,0.336,Mixed,High
CUST0002035,0.735,Mixed,Low
CUST0000782,0.059,Mixed,High
CUST0002617,0.606,Web,Medium
CUST0000340,0.337,Mobile,High
CUST0002062,0.882,Mobile,High
CUST0001075,0.057,Web,Medium
CUST0001895,0.972,Mixed,Low
CUST0000058,0.081,Web,Low
CUST0001401,0.434,Mixed,Low
CUST0001915,0.857,Web,Medium
CUST0002903,0.322,Web,Medium
CUST0000464,0.85,Mobile,Low
CUST0002608,0.963,Mixed,High
CUST0002459,0.123,Mobile,Medium
CUST0000712,0.477,Web,Low
CUST0000924,0.231,Mixed,Low
CUST0000978,0.767,Mobile,Low
CUST0002722,0.108,Web,Low
CUST0000514,0.775,Mixed,High
CUST0000074,0.675,Mobile,High
CUST0001329,0.631,Web,Medium
CUST0002856,0.434,Web,Medium
CUST0000251,0.502,Web,Low
CUST0002115,0.1,Mobile,High
CUST0001249,0.27,Mobile,Medium
CUST0000414,0.913,Mobile,High
CUST0002612,0.442,Web,Medium
CUST0002855,0.403,Web,Low
CUST0001607,0.047,Mobile,Low
CUST0000493,0.884,Mixed,Medium
CUST0001023,0.753,Mobile,High
CUST0002649,0.092,Mixed,High
CUST0000642,0.15,Web,Low
CUST0001534,0.124,Web,Low
CUST0000962,0.653,Mixed,High
CUST0001487,0.159,Mobile,High
CUST0002319,0.995,Web,Low
CUST0001822,0.574,Mixed,Medium
CUST0002126,0.87,Web,Medium
CUST0000133,0.73,Mobile,High
CUST0001448,0.024,Mobile,High
CUST0000704,0.421,Mixed,Medium
CUST0001387,0.362,Mixed,Low
CUST0002824,0.952,Mobile,Low
CUST0000196,0.338,Mixed,Low
CUST0002740,0.687,Mobile,Medium
CUST0001950,0.589,Web,Low
CUST0002787,0.737,Mixed,Medium
CUST0001883,0.061,Web,Medium
CUST0002667,0.931,Mobile,High
CUST0001605,0.993,Mixed,Medium
CUST0001384,0.554,Web,Medium
CUST0002814,0.164,Mixed,High
CUST0000043,0.869,Web,High
CUST0001012,0.647,Mobile,Medium
CUST0000638,0.624,Web,High
CUST0000998,0.885,Mobile,Low
CUST0001254,0.731,Mixed,Low
CUST0002358,0.92,Mixed,Medium
CUST0001526,0.958,Mixed,High
CUST0001213,0.345,Mixed,High
CUST0002789,0.198,Mobile,Low
CUST0000357,0.385,Mixed,Medium
CUST0000154,0.968,Mobile,Medium
CUST0000353,0.191,Web,Medium
CUST0000673,0.591,Web,Low
CUST0001175,0.084,Mixed,High
CUST0001223,0.832,Mobile,Medium
CUST0000992,0.668,Web,High
CUST0000905,0.522,Mobile,Low
CUST0001296,0.63,Web,Medium
CUST0001964,0.117,Mixed,High
CUST0002795,0.861,Web,High
CUST0000540,0.34,Mixed,Low
CUST0002455,0.169,Mixed,Low
CUST0001676,0.015,Web,Medium
CUST0002602,0.061,Mixed,Low
CUST0001033,0.672,Mobile,High
CUST0002106,0.718,Mobile,Medium
CUST0001389,0.149,Mobile,Medium
CUST0002380,0.606,Web,Low
CUST0001700,0.483,Web,Low
CUST0002920,0.937,Web,Medium
CUST0001593,0.665,Mobile,Medium
CUST0000620,0.52,Mobile,Low
CUST0000281,0.284,Web,Low
CUST0000141,0.462,Mixed,High
CUST0001211,0.247,Mixed,Medium
CUST0001805,0.678,Web,High
CUST0001505,0.594,Mixed,Medium
CUST0000667,0.296,Mixed,Low
CUST0000936,0.012,Web,Low
CUST0001107,0.983,Web,Low
CUST0001366,0.053,Web,High
CUST0000180,0.547,Web,High
CUST0000179,0.852,Mixed,High
CUST0002562,0.621,Web,High
CUST0002188,0.587,Web,Low
CUST0002785,0.715,Web,High
CUST0000921,0.308,Mobile,High
CUST0001244,0.39,Mobile,Low
CUST0002271,0.085,Mixed,High
CUST0001004,0.005,Web,Medium
CUST0001183,0.265,Web,Low
CUST0000923,0.814,Web,High
CUST0001523,0.612,Mobile,High
CUST0001388,0.139,Web,High
CUST0002491,0.426,Mobile,Low
CUST0002083,0.02,Web,High
CUST0000353,0.802,Web,High
CUST0001025,0.461,Mobile,High
CUST0000009,0.277,Web,Low
CUST0001953,0.768,Mobile,Low
CUST0000556,0.97,Mixed,Medium
CUST0002789,0.403,Mobile,High
CUST0000719,0.765,Mixed,Medium
CUST0002537,0.321,Web,Low
CUST0000597,0.758,Mobile,Medium
CUST0001070,0.965,Mixed,Low
CUST0000786,0.65,Web,Medium
CUST0002299,0.239,Mobile,Low
CUST0001936,0.69,Web,Medium
CUST0002013,0.845,Mixed,High
CUST0001001,0.404,Mobile,Medium
CUST0002747,0.622,Web,High
CUST0001660,0.253,Web,High
CUST0002383,0.455,Mixed,Medium
CUST0001844,0.166,Mobile,Low
CUST0001461,0.836,Mobile,High
CUST0002492,0.097,Web,Medium
CUST0002159,0.056,Mixed,Medium
CUST0002825,0.534,Web,High
CUST0002844,0.582,Web,Low
CUST0000578,0.918,Mobile,High
CUST0002912,0.203,Web,Medium
CUST0000278,0.778,Mobile,Medium
CUST0002595,0.644,Mobile,High
CUST0000425,0.742,Mobile,Low
CUST0002768,0.157,Web,High
CUST0000671,0.446,Mobile,High
CUST0001339,0.356,Mobile,High
CUST0002698,0.7,Mobile,Low
CUST0001896,0.594,Mixed,High
CUST0001060,0.968,Mixed,High
CUST0002095,0.139,Mobile,Medium
CUST0002026,0.474,Web,Medium
CUST0000954,0.694,Web,Low
CUST0001633,0.369,Mixed,Low
CUST0001256,0.923,Mixed,Medium
CUST0001558,0.853,Web,High
CUST0000407,0.873,Mobile,Low
CUST0001839,0.609,Mixed,Low
CUST0000124,0.472,Mobile,Low
CUST0001771,0.368,Mixed,Medium
CUST0000730,0.12,Web,High
CUST0000400,0.948,Mixed,Low
CUST0001802,0.264,Mixed,Medium
CUST0001188,0.802,Mixed,Medium
CUST0000170,0.012,Mobile,Medium
CUST0002143,0.381,Web,Low
CUST0002002,0.571,Mixed,Medium
CUST0002705,0.314,Mobile,Medium
CUST0001328,0.194,Web,High
CUST0001844,0.071,Mobile,Medium
CUST0001120,0.989,Web,Low
CUST0000700,0.886,Mobile,Medium
CUST0002471,0.312,Web,High
CUST0001016,0.016,Mobile,Medium
CUST0000133,0.541,Mixed,Low
CUST0002410,0.321,Web,Medium
CUST0002679,0.116,Mobile,Low
CUST0002013,0.79,Mixed,Medium
CUST0000064,0.338,Mixed,Medium
CUST0001444,0.973,Web,Low
CUST0000935,0.706,Mobile,Medium
CUST0000370,0.84,Mixed,Low
CUST0001249,0.622,Mixed,Medium
CUST0002614,0.562,Web,Low
CUST0002564,0.428,Mixed,Medium
CUST0002864,0.083,Mobile,Medium
CUST0002103,0.737,Mixed,Medium
CUST0002177,0.34,Mixed,High
CUST0002773,0.197,Web,Medium
CUST0000418,0.114,Mixed,High
CUST0000541,0.078,Mixed,Low
CUST0001731,0.475,Mobile,High
CUST0001393,0.837,Web,Medium
CUST0002018,0.129,Web,Medium
CUST0000607,0.515,Web,High
CUST0001512,0.379,Web,High
CUST0002631,0.54,Web,High
CUST0000861,0.058,Web,Medium
CUST0001597,0.535,Web,Low
CUST0001227,0.55,Mixed,High
CUST0001451,0.87,Mobile,Low
CUST0002933,0.2,Web,High
CUST0002137,0.815,Mixed,High
CUST0001235,0.751,Mixed,High
CUST0000843,0.914,Mobile,Low
CUST0002605,0.913,Web,Medium
CUST0001827,0.766,Web,Medium
CUST0002337,0.925,Mobile,Medium
CUST0001605,0.259,Mixed,Medium
CUST0000995,0.156,Web,High
CUST0002243,0.28,Web,Low
CUST0001247,0.84,Mobile,High
CUST0002700,0.314,Mixed,Medium
CUST0000836,0.819,Mixed,Medium
CUST0002290,0.372,Mixed,High
CUST0000024,0.8,Web,High
CUST0000307,0.847,Mixed,Medium
CUST0001764,0.678,Mobile,High
CUST0001218,0.98,Mobile,Medium
CUST0001989,0.73,Mobile,Low
CUST0001548,0.245,Mobile,Low
CUST0002969,0.984,Mixed,High
CUST0000408,0.684,Mobile,Low
CUST0002681,0.436,Web,Medium
CUST0001708,0.492,Web,Medium
CUST0000301,0.766,Web,Low
CUST0000185,0.753,Mixed,Medium
CUST0002093,0.841,Mixed,Low
CUST0000634,0.241,Mixed,High
CUST0001298,0.948,Mixed,Medium
CUST0001428,0.262,Mobile,Low
CUST0000797,0.48,Mobile,High
CUST0002390,0.211,Mobile,High
CUST0001100,0.434,Mobile,Low
CUST0001215,0.65,Mobile,High
CUST0001186,0.492,Mobile,High
CUST0000773,0.249,Web,Low
CUST0001914,0.387,Mixed,High
CUST0000330,0.594,Mixed,Medium
CUST0002681,0.898,Mobile,Medium
CUST0002201,0.424,Web,Low
CUST0001214,0.575,Mobile,High
CUST0000385,0.911,Mobile,Low
CUST0002762,0.841,Mobile,High
CUST0002728,0.185,Mixed,High
CUST0000117,0.362,Mixed,Low
CUST0002769,0.789,Web,Medium
CUST0001797,0.731,Web,High
CUST0002790,0.767,Mobile,High
CUST0000944,0.159,Web,Medium
CUST0002163,0.46,Web,Medium
CUST0000073,0.695,Web,High
CUST0000849,0.406,Mobile,High
CUST0001693,0.564,Mobile,High
CUST0001847,0.76,Mixed,Medium
CUST0001962,0.504,Mobile,High
CUST0000846,0.61,Mixed,High
CUST0001271,0.343,Web,High
CUST0000111,0.365,Web,Medium
CUST0002907,0.188,Mobile,High
CUST0001022,0.992,Mixed,Medium
CUST0002492,0.607,Web,Low
CUST0001063,0.194,Web,High
CUST0001264,0.164,Web,Low
CUST0001981,0.229,Mixed,Medium
CUST0000212,0.718,Mixed,High
CUST0001943,0.499,Mobile,Medium
CUST0000693,0.536,Mobile,Medium
CUST0001203,0.696,Web,High
CUST0002801,0.729,Web,High
CUST0002387,0.747,Mobile,Medium
CUST0000564,0.08,Mixed,Low
CUST0002700,0.832,Mixed,High
CUST0002882,0.174,Mixed,Medium
CUST0001301,0.635,Mobile,High
CUST0000523,0.225,Mixed,High
CUST0002621,0.826,Mobile,Medium
CUST0000284,0.765,Web,Medium
CUST0000460,0.175,Mixed,Low
CUST0002418,0.55,Mixed,High
CUST0001471,0.722,Mobile,Low
CUST0002575,0.169,Mixed,Low
CUST0002464,0.146,Mixed,Low
CUST0002345,0.376,Mobile,Low
CUST0001102,0.919,Mobile,Low
CUST0000905,0.068,Mixed,Low
CUST0000510,0.359,Web,Low
CUST0001361,0.806,Mobile,Medium
CUST0002695,0.344,Mobile,Low
CUST0001376,0.055,Mobile,Medium
CUST0000774,0.633,Mobile,Medium
CUST0000912,0.958,Mobile,Medium
CUST0002506,0.58,Mobile,Medium
CUST0001189,0.814,Mobile,Medium
CUST0000103,0.014,Mixed,High
CUST0002202,0.661,Web,Medium
CUST0002718,0.151,Web,High
CUST0000898,0.699,Web,High
CUST0001938,0.57,Mobile,Medium
CUST0002311,0.222,Mobile,Medium
CUST0001623,0.585,Web,Medium
CUST0001017,0.676,Mixed,High
CUST0000660,0.902,Mobile,High
CUST0000783,0.889,Web,Low
CUST0000948,0.936,Web,Medium
CUST0002934,0.841,Web,Low
CUST0000668,0.541,Web,High
CUST0001984,0.849,Mixed,High
CUST0002371,0.722,Mobile,High
CUST0001155,0.738,Mixed,Low
CUST0001209,0.155,Mixed,Low
CUST0000055,0.18,Mobile,Medium
CUST0000704,0.18,Mixed,Low
CUST0002617,0.209,Mobile,Medium
CUST0002530,0.418,Mobile,Medium
CUST0002440,0.315,Web,Low
CUST0002825,0.049,Mixed,Low
CUST0002723,0.724,Mixed,Medium
CUST0001406,0.403,Mobile,Low
CUST0001443,0.078,Web,Medium
CUST0002187,0.789,Web,High
CUST0000376,0.02,Web,High
CUST0001926,0.56,Mobile,Medium
CUST0000409,0.757,Mobile,High
CUST0000001,0.373,Mixed,Low
CUST0001149,0.574,Mixed,Medium
CUST0002680,0.051,Mobile,Medium
CUST0002893,0.237,Mixed,High
CUST0000541,0.664,Mixed,Medium
CUST0000814,0.79,Mixed,High
CUST0001312,0.114,Mobile,Medium
CUST0000159,0.966,Mobile,Low
CUST0002266,0.395,Mobile,High
CUST0002520,0.925,Mobile,Low
CUST0002410,0.54,Mixed,Medium
CUST0000887,0.644,Mixed,High
CUST0000669,0.176,Mobile,Low
CUST0000159,0.885,Mixed,Medium
CUST0000912,0.087,Mixed,High
CUST0001279,0.987,Mixed,Low
CUST0001656,0.392,Mixed,High
CUST0002541,0.164,Web,Medium
CUST0001896,0.606,Web,Low
CUST0002815,0.866,Mobile,Medium
CUST0002909,0.397,Mobile,Low
CUST0001152,0.009,Mixed,Medium
CUST0001672,0.872,Web,Medium
CUST0000360,0.581,Mobile,High
CUST0000459,0.093,Mobile,High
CUST0002881,0.906,Web,Low
CUST0002085,0.773,Mobile,Low
CUST0000414,0.533,Mobile,Medium
CUST0002767,0.447,Web,High
CUST0001245,0.706,Mixed,Medium
CUST0001944,0.362,Web,Medium
CUST0001195,0.655,Mobile,Low
CUST0001163,0.151,Web,Medium
CUST0001103,0.142,Mixed,Medium
CUST0001213,0.311,Mobile,High
CUST0002668,0.886,Mobile,Medium
CUST0000110,0.85,Mobile,Medium
CUST0001318,0.492,Mixed,Medium
CUST0000410,0.585,Mobile,Low
CUST0001152,0.628,Mobile,High
CUST0001048,0.373,Mixed,Low
CUST0000214,0.701,Web,Low
CUST0001874,0.608,Mixed,High
CUST0000585,0.354,Web,Low
CUST0001757,0.284,Mobile,Medium
CUST0002400,0.981,Mixed,Low
CUST0000140,0.284,Mixed,Low
CUST0002705,0.174,Web,Medium
CUST0000729,0.835,Mixed,Medium
CUST0002523,0.811,Web,Low
CUST0001805,0.239,Web,Low
CUST0001829,0.849,Web,Medium
CUST0001290,0.912,Mixed,High
CUST0002422,0.332,Mobile,Medium
CUST0002951,0.329,Mixed,High
CUST0002958,0.131,Web,Medium
CUST0001148,0.611,Mobile,Medium
CUST0001636,0.694,Mixed,High
CUST0002422,0.073,Mobile,High
CUST0001000,0.209,Mobile,High
CUST0002309,0.27,Mobile,Low
CUST0002061,0.446,Web,High
CUST0002039,0.824,Web,Medium
CUST0001460,0.224,Mobile,Medium
CUST0001447,0.808,Mobile,Medium
CUST0000379,0.89,Web,Low
CUST0001813,0.201,Web,High
CUST0000192,0.993,Web,High
CUST0000529,0.517,Web,Low
CUST0001734,0.552,Web,High
CUST0001646,0.616,Web,Medium
CUST0000537,0.803,Mixed,High
CUST0002122,0.653,Web,Low
CUST0001486,0.735,Mobile,Low
CUST0000019,0.44,Mixed,High
CUST0001803,0.59,Web,Low
CUST0000266,0.247,Web,High
CUST0000239,0.363,Web,High
CUST0002675,0.632,Web,Medium
CUST0002549,0.041,Mobile,High
CUST0002141,0.579,Mobile,High
CUST0000605,0.551,Mixed,Medium
CUST0002262,0.187,Mobile,Medium
CUST0001906,0.933,Web,High
CUST0000334,0.084,Web,Medium
CUST0001979,0.052,Mixed,Low
CUST0000258,0.861,Mixed,High
CUST0002316,0.84,Web,Low
CUST0002134,0.396,Mobile,High
CUST0000588,0.975,Mixed,Medium
CUST0002047,0.975,Mixed,Medium
CUST0001356,0.125,Mobile,Medium
CUST0002628,0.479,Mixed,High
CUST0002833,0.053,Mobile,Low
CUST0001205,0.358,Web,High
CUST0002288,0.072,Mobile,Low
CUST0002451,0.161,Mixed,Medium
CUST0002682,0.893,Web,Low
CUST0001409,0.844,Mixed,High
CUST0000564,0.858,Mobile,High
CUST0001553,0.033,Mixed,Medium
CUST0000994,0.569,Mixed,High
CUST0002283,0.774,Mobile,Low
CUST0000954,0.692,Web,Low
CUST0002503,0.501,Web,Medium
CUST0000318,0.122,Mixed,Medium
CUST0001441,0.774,Mobile,Low
CUST0000838,0.89,Mixed,Low
CUST0000608,0.268,Web,High
CUST0002780,0.54,Mobile,Low
CUST0001381,0.49,Mixed,High
CUST0002880,0.733,Mixed,High
CUST0002909,0.926,Mobile,High
CUST0000022,0.453,Mixed,High
CUST0000898,0.462,Web,Medium
CUST0000458,0.226,Mobile,High
CUST0001076,0.179,Mixed,High
CUST0002805,0.039,Web,High
CUST0001490,0.818,Web,High
CUST0001709,0.402,Web,Low
CUST0001917,0.073,Mixed,Low
CUST0002147,0.551,Mixed,Low
CUST0002229,0.335,Mobile,High
CUST0001060,0.971,Mobile,Medium
CUST0001459,0.448,Mobile,Medium
CUST0000524,0.103,Mobile,High
CUST0001650,0.638,Mobile,Medium
CUST0000430,0.793,Web,Low
CUST0001241,0.581,Mobile,Low
CUST0001002,0.775,Web,Medium
CUST0001786,0.3,Mixed,Medium
CUST0002677,0.531,Mobile,High
CUST0000020,0.827,Web,Low
CUST0001148,0.075,Mixed,Medium
CUST0002672,0.259,Mobile,Medium
CUST0000715,0.627,Mobile,High
CUST0000148,0.506,Mixed,Low
CUST0000609,0.77,Mobile,Medium
CUST0001674,0.178,Mixed,High
CUST0001086,0.847,Mobile,High
CUST0001088,0.619,Mixed,Medium
CUST0002762,0.203,Web,High
CUST0001048,0.057,Web,Low
CUST0002857,0.982,Mixed,Low
CUST0000417,0.444,Mixed,Medium
CUST0000418,0.268,Web,Low
CUST0001743,0.18,Web,Low
CUST0002904,0.244,Web,Low
CUST0002821,0.49,Web,Medium
CUST0001398,0.853,Mobile,Low
CUST0000663,0.208,Web,High
CUST0001791,0.368,Web,Low
CUST0000523,0.797,Mobile,Low
CUST0001910,0.664,Mobile,Low
CUST0000995,0.029,Mobile,Medium
CUST0002422,0.25,Web,Medium
CUST0002341,0.127,Mixed,High
CUST0000539,0.041,Web,Low
CUST0001025,0.947,Mixed,Low
CUST0000447,0.621,Mobile,Low
CUST0001669,0.542,Mobile,Low
CUST0001035,0.86,Mobile,High
CUST0002785,0.591,Web,High
CUST0000336,0.578,Mixed,Low
CUST0002472,0.202,Web,Low
CUST0001564,0.62,Web,High
CUST0002333,0.668,Mobile,Low
CUST0002192,0.881,Mobile,Low
CUST0001921,0.425,Mobile,Low
CUST0001343,0.204,Mobile,Medium
CUST0000563,0.569,Mobile,Low
CUST0002749,0.973,Mobile,Medium
