claim_id,policy_id,claim_amount,claim_date,claim_type,fraud_flag,settlement_amount
CLM0000122,POL0002880,2813.42,2019-08-09,Medical,0,23626.59
CLM0000123,POL0000262,86463.2,2019-01-03,Medical,0,4254.14
CLM0000124,POL0002674,2978.05,2021-02-08,Theft,0,69262.06
CLM0000125,POL0002833,32210.24,2024-08-02,Natural Disaster,0,40939.78
CLM0000126,POL0000197,8285.53,2024-12-09,Medical,0,67113.56
CLM0000127,POL0001461,78249.89,2021-08-05,Fire,0,44492.21
CLM0000128,POL0002732,92535.79,2020-11-07,Natural Disaster,0,25304.26
CLM0000129,POL0001663,56500.15,2022-08-03,Medical,1,10643.59
CLM0000130,POL0002922,14386.9,2022-05-03,Accident,0,35141.77
CLM0000131,POL0001434,56037.01,2020-10-19,Natural Disaster,0,2415.96
CLM0000132,POL0000333,77148.95,2024-06-29,Medical,0,48316.02
CLM0000133,POL0002768,71982.41,2023-07-16,Accident,0,34384.87
CLM0000134,POL0001182,74301.04,2019-06-26,Theft,0,11579.43
CLM0000135,POL0001776,28277.8,2022-06-28,Natural Disaster,0,42559.69
CLM0000136,POL0000079,7836.88,2022-01-03,Natural Disaster,0,64132.58
CLM0000137,POL0001868,15321.88,2021-09-22,Medical,0,77991.58
CLM0000138,POL0001893,95572.9,2020-07-25,Theft,0,42330.47
CLM0000139,POL0000197,61544.64,2020-10-16,Fire,0,10625.21
CLM0000140,POL0001784,72926.01,2024-10-23,Medical,0,64913.28
CLM0000141,POL0000226,89956.93,2019-08-28,Medical,0,55754.35
CLM0000142,POL0002643,85349.08,2020-05-22,Fire,0,76331.51
CLM0000143,POL0001562,22230.98,2020-01-16,Fire,0,42956.48
CLM0000144,POL0002961,6276.97,2021-02-23,Fire,0,28761.18
CLM0000145,POL0000735,92550.26,2019-02-17,Fire,0,77038.36
CLM0000146,POL0001363,98176.0,2019-06-12,Fire,0,43214.03
CLM0000147,POL0001580,56950.75,2023-02-15,Accident,0,1567.68
CLM0000148,POL0001620,88895.99,2023-03-09,Accident,0,38051.42
CLM0000149,POL0002043,23565.7,2019-12-22,Fire,0,489.53
CLM0000150,POL0002967,11548.35,2020-04-02,Theft,0,59095.31
CLM0000151,POL0002585,50231.79,2019-01-20,Theft,0,45405.83
CLM0000152,POL0000220,81212.75,2020-08-28,Fire,0,9051.15
CLM0000153,POL0002341,65638.04,2023-06-09,Accident,0,65097.0
CLM0000154,POL0001228,63913.36,2020-05-05,Theft,0,43054.05
CLM0000155,POL0001729,2237.16,2018-10-11,Accident,0,9390.61
CLM0000156,POL0000202,32090.54,2024-02-26,Medical,0,13052.87
CLM0000157,POL0001890,93979.83,2018-12-04,Accident,0,65821.68
CLM0000158,POL0002080,13860.22,2019-10-25,Fire,0,28632.3
CLM0000159,POL0001714,72773.41,2021-04-10,Natural Disaster,0,65741.36
CLM0000160,POL0002764,76051.46,2022-11-20,Fire,0,5839.42
CLM0000161,POL0000753,73416.91,2021-09-07,Medical,0,19735.57
CLM0000162,POL0001017,98933.85,2018-08-07,Accident,0,61237.23
CLM0000163,POL0000115,41216.22,2023-07-06,Theft,0,51443.66
CLM0000164,POL0002770,68378.24,2022-05-10,Fire,0,24753.91
CLM0000165,POL0001246,19768.68,2018-07-24,Theft,1,74901.31
CLM0000166,POL0002230,40271.14,2018-03-14,Accident,0,17121.98
CLM0000167,POL0002819,49410.28,2023-07-07,Medical,0,68027.43
CLM0000168,POL0000469,21875.34,2020-03-29,Fire,0,55750.79
CLM0000169,POL0000426,90727.67,2019-05-22,Theft,0,9953.03
CLM0000170,POL0001576,71761.68,2019-01-18,Fire,1,44542.72
CLM0000171,POL0001866,28733.9,2020-08-25,Fire,0,74413.63
CLM0000172,POL0000834,13928.17,2018-03-07,Theft,0,49626.02
CLM0000173,POL0002029,29142.8,2018-10-23,Medical,0,42445.95
CLM0000174,POL0002533,62487.05,2022-12-07,Fire,0,29495.96
CLM0000175,POL0000011,82727.66,2021-03-27,Medical,0,63166.41
CLM0000176,POL0001409,50565.24,2018-09-05,Medical,0,73070.82
CLM0000177,POL0002090,10698.22,2024-10-10,Accident,1,60339.35
CLM0000178,POL0001726,25306.83,2023-11-10,Theft,1,58102.37
CLM0000179,POL0002171,34841.82,2019-09-09,Accident,0,15641.48
CLM0000180,POL0002749,63795.56,2021-06-02,Natural Disaster,0,66768.71
CLM0000181,POL0002300,25041.02,2018-10-05,Accident,0,3543.46
CLM0000182,POL0000973,23775.88,2019-02-20,Fire,0,60661.71
CLM0000183,POL0000604,28977.09,2023-02-04,Fire,0,17106.34
CLM0000184,POL0000213,59456.64,2023-04-16,Fire,0,39134.72
CLM0000185,POL0002316,49516.71,2018-04-17,Natural Disaster,0,55710.15
CLM0000186,POL0002755,84242.78,2021-01-29,Medical,0,60798.55
CLM0000187,POL0000540,69944.27,2020-05-30,Fire,0,71080.29
CLM0000188,POL0000706,66848.78,2018-09-09,Accident,0,22822.59
CLM0000189,POL0001759,15887.68,2019-04-01,Medical,1,18178.32
CLM0000190,POL0002667,5995.17,2021-03-25,Accident,0,79700.82
CLM0000191,POL0001685,51244.89,2022-01-13,Accident,0,16842.39
CLM0000192,POL0001159,7628.35,2022-01-17,Fire,0,53338.82
CLM0000193,POL0000498,36719.78,2019-03-29,Accident,0,76233.75
CLM0000194,POL0000782,3098.18,2018-08-15,Natural Disaster,0,71755.51
CLM0000195,POL0001910,18092.49,2019-06-08,Medical,0,35628.1
CLM0000196,POL0000126,11481.6,2021-09-27,Fire,0,51115.26
CLM0000197,POL0001527,80198.01,2021-07-24,Fire,0,42468.97
CLM0000198,POL0000841,34939.55,2018-05-27,Accident,0,27928.45
CLM0000199,POL0000983,8345.23,2020-09-26,Accident,0,11810.44
CLM0000200,POL0001342,26915.28,2019-11-04,Theft,0,64330.52
CLM0000201,POL0000012,68439.4,2020-09-25,Theft,0,7508.2
CLM0000202,POL0001501,74690.71,2024-09-14,Fire,0,48887.3
CLM0000203,POL0001318,12426.58,2018-10-26,Fire,1,47671.22
CLM0000204,POL0001464,77967.36,2019-04-21,Accident,0,26985.5
CLM0000205,POL0001831,37370.64,2019-02-16,Natural Disaster,0,11092.06
CLM0000206,POL0000516,68098.58,2018-03-20,Natural Disaster,0,64031.08
CLM0000207,POL0002364,67315.03,2023-05-11,Accident,0,37115.38
CLM0000208,POL0001704,79462.48,2018-08-04,Theft,0,58104.25
CLM0000209,POL0001148,69869.69,2020-06-15,Theft,0,1613.92
CLM0000210,POL0002362,4367.4,2018-01-04,Natural Disaster,0,6237.9
CLM0000211,POL0002595,52188.37,2022-04-29,Fire,0,14315.06
CLM0000212,POL0001549,17035.03,2021-08-27,Accident,0,9372.9
CLM0000213,POL0002087,97011.47,2022-08-16,Fire,0,15579.03
CLM0000214,POL0002301,25955.54,2021-09-26,Theft,0,55013.1
CLM0000215,POL0002351,42300.68,2018-01-20,Natural Disaster,0,4045.67
CLM0000216,POL0000979,20071.86,2019-10-14,Fire,0,3317.89
CLM0000217,POL0002306,13891.62,2021-09-11,Theft,0,2822.67
CLM0000218,POL0002590,60292.5,2019-04-29,Theft,0,55902.64
CLM0000219,POL0002007,49571.38,2024-11-17,Theft,0,43030.0
CLM0000220,POL0002688,37778.64,2024-09-23,Fire,0,29808.32
CLM0000221,POL0001847,8999.19,2020-02-27,Medical,0,54145.95
CLM0000222,POL0002600,73727.96,2024-05-20,Natural Disaster,0,44422.26
CLM0000223,POL0002509,1082.7,2023-10-08,Theft,1,884.59
CLM0000224,POL0000224,46037.33,2021-09-24,Fire,0,67132.41
CLM0000225,POL0002140,63440.91,2024-09-20,Accident,0,28209.7
CLM0000226,POL0000280,43355.73,2021-09-12,Natural Disaster,0,32145.03
CLM0000227,POL0001194,13057.79,2023-11-30,Accident,0,62648.51
CLM0000228,POL0001820,77935.86,2020-02-16,Accident,0,15211.14
CLM0000229,POL0001758,32732.42,2022-05-17,Fire,0,1102.73
CLM0000230,POL0002046,13908.18,2021-09-27,Medical,0,72734.42
CLM0000231,POL0000248,55251.45,2024-07-17,Fire,0,40586.62
CLM0000232,POL0001385,2407.57,2018-08-23,Fire,0,28157.31
CLM0000233,POL0001373,32744.34,2019-02-04,Natural Disaster,0,65577.93
CLM0000234,POL0002914,75188.92,2022-06-18,Fire,0,2395.7
CLM0000235,POL0002126,91314.78,2022-08-25,Natural Disaster,1,16422.58
CLM0000236,POL0002506,59376.88,2022-02-28,Theft,0,12676.46
CLM0000237,POL0002634,22152.35,2023-04-14,Natural Disaster,0,59105.11
CLM0000238,POL0000045,22390.01,2024-11-02,Fire,0,25173.31
CLM0000239,POL0002086,60585.23,2023-10-21,Theft,0,61900.67
CLM0000240,POL0000416,40972.79,2018-07-23,Theft,0,3605.67
CLM0000241,POL0002293,18137.8,2024-07-31,Medical,0,48766.81
CLM0000242,POL0002541,78846.01,2024-03-05,Fire,0,25662.19
CLM0000243,POL0002371,20424.18,2021-04-20,Accident,0,15197.52
CLM0000244,POL0001276,32503.26,2022-11-03,Fire,0,65396.17
CLM0000245,POL0002516,6612.23,2021-01-12,Accident,0,33156.33
CLM0000246,POL0001085,70286.53,2023-08-16,Medical,0,45858.88
CLM0000247,POL0001143,27890.15,2024-02-21,Fire,1,2936.78
CLM0000248,POL0000087,23670.26,2024-01-08,Medical,0,63392.47
CLM0000249,POL0002128,30684.15,2023-02-24,Accident,0,23164.54
CLM0000250,POL0000228,87475.99,2023-12-30,Natural Disaster,1,55564.47
CLM0000251,POL0002531,52042.85,2023-05-14,Fire,0,60909.82
CLM0000252,POL0001839,16209.53,2018-03-22,Theft,0,9634.17
CLM0000253,POL0000623,77560.85,2021-03-05,Theft,0,23883.27
CLM0000254,POL0001607,21241.1,2021-01-10,Medical,1,57958.17
CLM0000255,POL0002996,41541.38,2020-09-08,Natural Disaster,0,18804.55
CLM0000256,POL0000485,57023.54,2018-05-31,Theft,0,67899.46
CLM0000257,POL0002888,58652.07,2019-04-29,Theft,1,25164.29
CLM0000258,POL0000025,7368.7,2020-11-30,Fire,0,32365.72
CLM0000259,POL0001815,83762.05,2019-02-12,Theft,0,8249.54
CLM0000260,POL0001226,48203.36,2021-01-06,Accident,0,12069.71
CLM0000261,POL0001249,98931.44,2020-06-17,Medical,0,22251.1
CLM0000262,POL0000779,71885.52,2024-01-02,Theft,0,4198.03
CLM0000263,POL0000931,99260.61,2023-03-21,Fire,0,15684.67
CLM0000264,POL0002843,45620.79,2022-01-29,Accident,0,32892.76
CLM0000265,POL0001603,14507.75,2024-07-24,Theft,0,30582.99
CLM0000266,POL0001583,72867.28,2018-01-04,Medical,0,16135.94
CLM0000267,POL0000753,77887.15,2022-12-18,Medical,0,6711.92
CLM0000268,POL0001714,85357.11,2022-06-10,Medical,0,25656.38
CLM0000269,POL0001101,30494.18,2020-05-03,Theft,1,59704.12
CLM0000270,POL0000426,51313.06,2022-10-07,Accident,0,40954.94
CLM0000271,POL0000660,85821.8,2021-05-31,Natural Disaster,0,75760.28
CLM0000272,POL0001518,86541.26,2019-09-03,Medical,0,11448.94
CLM0000273,POL0002733,3055.54,2021-07-24,Accident,0,16823.24
CLM0000274,POL0000547,67256.22,2024-07-11,Fire,0,22639.87
CLM0000275,POL0001101,60367.89,2024-05-28,Fire,0,1336.25
CLM0000276,POL0002964,8792.11,2018-07-05,Accident,0,75487.42
CLM0000277,POL0002103,93048.54,2023-05-26,Fire,0,35795.5
CLM0000278,POL0001497,44814.54,2020-03-05,Fire,0,38687.46
CLM0000279,POL0001463,67588.64,2024-04-27,Medical,1,12881.24
CLM0000280,POL0001736,88338.38,2022-07-14,Theft,0,69854.01
CLM0000281,POL0001772,13447.05,2019-06-01,Theft,0,55502.79
CLM0000282,POL0002362,85656.39,2023-11-01,Theft,0,34679.47
CLM0000283,POL0001344,72568.41,2020-01-21,Theft,0,70274.33
CLM0000284,POL0002268,84039.44,2019-12-30,Accident,0,72464.98
CLM0000285,POL0001395,49736.15,2024-02-13,Medical,0,4243.6
CLM0000286,POL0001240,3831.74,2018-05-13,Accident,0,9810.17
CLM0000287,POL0000049,67216.33,2018-03-31,Fire,0,2501.98
CLM0000288,POL0001821,37765.98,2019-12-09,Medical,0,46663.9
CLM0000289,POL0002511,40540.38,2023-10-20,Natural Disaster,0,17670.13
CLM0000290,POL0002166,44405.59,2024-10-04,Theft,0,67640.77
CLM0000291,POL0002130,49544.51,2021-01-29,Fire,0,37433.33
CLM0000292,POL0001747,66362.46,2022-12-26,Theft,0,67065.47
CLM0000293,POL0000496,72814.18,2022-06-07,Theft,0,44581.74
CLM0000294,POL0000634,77795.81,2019-05-01,Theft,0,63754.57
CLM0000295,POL0002885,67324.82,2021-12-09,Natural Disaster,0,29936.84
CLM0000296,POL0000602,80446.2,2024-08-16,Fire,0,75647.89
CLM0000297,POL0002818,12653.85,2024-01-15,Theft,0,53472.55
CLM0000298,POL0002721,83763.36,2024-06-24,Theft,0,47760.6
CLM0000299,POL0000176,39034.27,2019-10-22,Medical,1,28382.83
CLM0000300,POL0002853,53113.28,2018-10-24,Theft,0,74993.56
CLM0000301,POL0000639,43661.05,2019-08-26,Medical,0,27217.43
CLM0000302,POL0000297,47833.86,2023-01-01,Fire,0,66918.0
CLM0000303,POL0001284,28900.05,2023-12-22,Fire,0,32523.36
CLM0000304,POL0001875,17410.12,2024-07-17,Fire,0,61444.56
CLM0000305,POL0000475,10937.03,2022-04-27,Medical,0,72976.67
CLM0000306,POL0001647,45414.18,2020-06-13,Natural Disaster,0,37408.89
CLM0000307,POL0001959,12963.47,2024-11-08,Natural Disaster,0,42232.98
CLM0000308,POL0002584,24876.35,2023-09-04,Theft,0,26628.33
CLM0000309,POL0001061,13794.78,2018-07-09,Fire,0,4659.25
CLM0000310,POL0001789,11357.56,2023-02-08,Accident,1,52302.75
CLM0000311,POL0000025,88304.88,2019-07-21,Theft,0,9835.51
CLM0000312,POL0000349,67565.58,2022-10-12,Natural Disaster,0,28518.5
CLM0000313,POL0000637,92414.03,2021-03-14,Natural Disaster,1,28154.66
CLM0000314,POL0000227,64579.21,2018-02-13,Fire,0,12335.0
CLM0000315,POL0001372,84473.13,2023-11-24,Medical,0,53436.81
CLM0000316,POL0000038,55752.21,2019-11-22,Theft,0,14215.57
CLM0000317,POL0001407,46531.69,2019-03-05,Medical,1,62333.41
CLM0000318,POL0002618,53083.5,2020-09-28,Natural Disaster,0,20167.54
CLM0000319,POL0002284,32362.44,2021-08-06,Fire,0,23196.81
CLM0000320,POL0001205,65968.25,2024-06-14,Natural Disaster,0,27695.15
CLM0000321,POL0002162,89768.9,2018-10-27,Fire,0,12474.38
CLM0000322,POL0002354,78344.17,2023-01-10,Accident,0,34910.88
CLM0000323,POL0002180,46469.0,2024-10-25,Medical,1,6701.91
CLM0000324,POL0000348,95414.95,2023-12-26,Theft,0,34341.15
CLM0000325,POL0001204,98549.6,2018-08-17,Fire,1,27391.0
CLM0000326,POL0002463,49563.51,2024-04-22,Accident,0,27259.76
CLM0000327,POL0000983,86531.66,2023-01-01,Accident,0,52955.74
CLM0000328,POL0000732,974.64,2023-05-13,Medical,0,61591.12
CLM0000329,POL0002702,7132.23,2021-09-25,Fire,0,28673.08
CLM0000330,POL0002433,2727.75,2019-12-27,Theft,1,21182.57
CLM0000331,POL0002560,77429.72,2019-03-14,Theft,1,39699.65
CLM0000332,POL0001067,8438.02,2020-10-30,Theft,0,63081.21
CLM0000333,POL0001504,2196.53,2022-04-08,Natural Disaster,0,51672.46
CLM0000334,POL0001142,15168.17,2020-01-30,Natural Disaster,0,3328.71
CLM0000335,POL0001595,30976.33,2024-03-30,Fire,0,38550.38
CLM0000336,POL0002109,46737.72,2022-01-16,Theft,0,79279.92
CLM0000337,POL0002601,7007.63,2018-04-13,Accident,0,28444.26
CLM0000338,POL0001810,50148.73,2019-06-24,Theft,0,35425.13
CLM0000339,POL0002236,25182.12,2024-07-24,Fire,0,23206.32
CLM0000340,POL0000453,27799.96,2021-04-21,Theft,0,39966.27
CLM0000341,POL0002895,82279.27,2024-07-15,Medical,0,13125.43
CLM0000342,POL0002235,98698.9,2020-07-21,Theft,0,19986.99
CLM0000343,POL0002986,46654.47,2023-02-27,Accident,0,57025.38
CLM0000344,POL0001764,32516.18,2022-05-14,Fire,0,11321.46
CLM0000345,POL0000164,93179.09,2019-04-10,Fire,0,74113.66
CLM0000346,POL0001448,50294.62,2023-05-30,Accident,0,24844.44
CLM0000347,POL0000102,73170.18,2020-02-16,Fire,0,46129.5
CLM0000348,POL0001453,41667.13,2024-08-17,Theft,0,25949.91
CLM0000349,POL0000691,20653.58,2018-07-10,Fire,0,38399.05
CLM0000350,POL0001451,65661.07,2022-01-18,Theft,0,72332.97
CLM0000351,POL0002626,66651.84,2023-09-23,Fire,0,5765.61
CLM0000352,POL0002659,46288.29,2018-05-17,Theft,0,68550.51
CLM0000353,POL0001967,27359.99,2023-05-05,Theft,0,44738.62
CLM0000354,POL0000536,83265.44,2022-08-07,Accident,0,53306.18
CLM0000355,POL0002809,27894.15,2020-12-15,Accident,0,4754.2
CLM0000356,POL0002026,66072.89,2021-05-23,Natural Disaster,0,60983.51
CLM0000357,POL0001701,38706.57,2024-08-24,Accident,0,10483.94
CLM0000358,POL0002944,47511.83,2018-01-05,Theft,0,77196.25
CLM0000359,POL0001464,21534.56,2023-05-04,Theft,0,64003.2
CLM0000360,POL0001630,65123.25,2021-05-31,Fire,0,39581.58
CLM0000361,POL0001879,22969.67,2022-07-16,Fire,0,73956.11
CLM0000362,POL0000124,48828.55,2023-06-18,Natural Disaster,0,13775.14
CLM0000363,POL0002716,33181.71,2024-05-20,Theft,0,79335.62
CLM0000364,POL0002397,96378.77,2024-10-18,Natural Disaster,0,57430.48
CLM0000365,POL0000249,98231.0,2022-03-14,Theft,0,8140.72
CLM0000366,POL0001972,75472.39,2020-11-10,Accident,0,43066.34
CLM0000367,POL0001295,98399.79,2021-03-21,Fire,0,56956.85
CLM0000368,POL0001453,11798.29,2019-01-25,Natural Disaster,0,49157.87
CLM0000369,POL0001594,99236.3,2023-11-11,Medical,0,34088.77
CLM0000370,POL0002755,10803.81,2018-03-20,Theft,1,20076.99
CLM0000371,POL0000713,41837.45,2020-12-18,Accident,1,19286.89
CLM0000372,POL0000247,24275.28,2021-03-25,Medical,0,74177.94
CLM0000373,POL0000481,95407.67,2023-07-09,Accident,0,19008.84
CLM0000374,POL0002146,63761.1,2024-11-04,Accident,0,77003.68
CLM0000375,POL0002377,59914.19,2018-09-29,Theft,0,17055.0
CLM0000376,POL0001449,99745.13,2018-08-02,Accident,0,30927.42
CLM0000377,POL0001029,61436.4,2023-06-22,Natural Disaster,0,1282.18
CLM0000378,POL0002014,64792.91,2018-12-04,Medical,0,72280.57
