location,crime_rate,flood_risk,weather_severity_index
"Toronto, Canada",0.821,0.408,0.623
"London, UK",0.186,0.504,0.972
"Johannesburg, South Africa",0.471,0.252,0.814
"Dubai, UAE",0.481,0.876,0.55
"Johannesburg, South Africa",0.469,0.839,0.617
Singapore,0.773,0.722,0.617
Singapore,0.749,0.259,0.731
"Toronto, Canada",0.506,0.462,0.404
"Dubai, UAE",0.723,0.842,0.708
"Berlin, Germany",0.147,0.59,0.329
Singapore,0.526,0.408,0.823
"Berlin, Germany",0.176,0.173,0.946
"New York, USA",0.794,0.18,0.605
"Lagos, Nigeria",0.503,0.643,0.164
Singapore,0.114,0.349,0.741
"Berlin, Germany",0.54,0.497,0.935
"Dubai, UAE",0.69,0.701,0.95
Singapore,0.208,0.246,0.92
"Johannesburg, South Africa",0.326,0.162,0.607
"Lagos, Nigeria",0.459,0.401,0.926
"Toronto, Canada",0.432,0.23,0.341
"Lagos, Nigeria",0.502,0.508,0.229
"Toronto, Canada",0.113,0.542,0.529
"Johannesburg, South Africa",0.691,0.188,0.128
"London, UK",0.352,0.734,0.17
"Dubai, UAE",0.661,0.119,0.641
"New York, USA",0.784,0.375,0.734
Singapore,0.65,0.137,0.225
"Lagos, Nigeria",0.638,0.666,0.407
"Lagos, Nigeria",0.563,0.803,0.827
"Dubai, UAE",0.101,0.379,0.281
Singapore,0.823,0.363,0.902
"Lagos, Nigeria",0.767,0.655,0.605
"New York, USA",0.256,0.797,0.634
"London, UK",0.244,0.81,0.235
"New York, USA",0.129,0.567,0.155
Singapore,0.404,0.575,0.426
"Berlin, Germany",0.888,0.595,0.185
Singapore,0.178,0.506,0.19
Singapore,0.552,0.525,0.954
"New York, USA",0.312,0.176,0.161
"Berlin, Germany",0.789,0.886,0.495
"Johannesburg, South Africa",0.506,0.15,0.78
"Lagos, Nigeria",0.783,0.484,0.356
"Johannesburg, South Africa",0.844,0.728,0.548
"London, UK",0.607,0.566,0.424
"Toronto, Canada",0.326,0.177,0.742
"London, UK",0.459,0.544,0.649
"Johannesburg, South Africa",0.605,0.824,0.378
"Johannesburg, South Africa",0.621,0.598,0.668
"Johannesburg, South Africa",0.154,0.723,0.103
"Berlin, Germany",0.38,0.47,0.704
"London, UK",0.526,0.35,0.804
"Johannesburg, South Africa",0.369,0.26,0.106
"Johannesburg, South Africa",0.562,0.779,0.695
"Dubai, UAE",0.241,0.665,0.595
"Johannesburg, South Africa",0.128,0.242,0.355
"Lagos, Nigeria",0.373,0.541,0.278
"New York, USA",0.555,0.668,0.962
"Berlin, Germany",0.109,0.554,0.533
"Berlin, Germany",0.589,0.86,0.512
"Johannesburg, South Africa",0.384,0.248,0.862
"Berlin, Germany",0.894,0.671,0.444
"Lagos, Nigeria",0.726,0.593,0.825
Singapore,0.333,0.835,0.611
"London, UK",0.877,0.79,0.29
"Johannesburg, South Africa",0.323,0.619,0.416
"Berlin, Germany",0.187,0.449,0.121
Singapore,0.121,0.231,0.496
Singapore,0.727,0.742,0.943
"Toronto, Canada",0.355,0.76,0.669
"Berlin, Germany",0.887,0.39,0.62
"London, UK",0.595,0.281,0.883
"London, UK",0.231,0.845,0.21
"Johannesburg, South Africa",0.369,0.475,0.817
Singapore,0.51,0.689,0.728
Singapore,0.677,0.597,0.577
"Johannesburg, South Africa",0.573,0.66,0.447
"Johannesburg, South Africa",0.308,0.115,0.132
"Toronto, Canada",0.481,0.601,0.656
"New York, USA",0.273,0.54,0.612
"Berlin, Germany",0.38,0.703,0.356
"London, UK",0.328,0.85,0.347
"Toronto, Canada",0.819,0.764,0.422
"Toronto, Canada",0.73,0.454,0.49
"Lagos, Nigeria",0.525,0.576,0.764
"London, UK",0.239,0.291,0.561
"Dubai, UAE",0.575,0.102,0.235
"Johannesburg, South Africa",0.384,0.216,0.902
"London, UK",0.13,0.158,0.531
"London, UK",0.651,0.7,0.908
"Lagos, Nigeria",0.305,0.25,0.652
"Dubai, UAE",0.287,0.189,0.612
"Toronto, Canada",0.631,0.328,0.401
Singapore,0.797,0.847,0.974
"Toronto, Canada",0.326,0.32,0.985
Singapore,0.722,0.626,0.427
"New York, USA",0.809,0.767,0.811
"Toronto, Canada",0.269,0.763,0.343
"Dubai, UAE",0.834,0.855,0.652
"London, UK",0.326,0.39,0.704
"Lagos, Nigeria",0.274,0.49,0.986
"Dubai, UAE",0.389,0.29,0.359
"Dubai, UAE",0.283,0.152,0.735
"Dubai, UAE",0.558,0.883,0.321
"New York, USA",0.478,0.793,0.133
"Toronto, Canada",0.636,0.352,0.357
Singapore,0.679,0.732,0.808
"Lagos, Nigeria",0.165,0.764,0.943
"Johannesburg, South Africa",0.223,0.296,0.124
"Berlin, Germany",0.732,0.847,0.201
"Toronto, Canada",0.153,0.356,0.433
"Lagos, Nigeria",0.627,0.554,0.507
"London, UK",0.631,0.738,0.935
"Dubai, UAE",0.69,0.572,0.119
"Dubai, UAE",0.275,0.308,0.864
"Berlin, Germany",0.221,0.846,0.563
"New York, USA",0.46,0.103,0.293
"New York, USA",0.134,0.52,0.277
"London, UK",0.773,0.136,0.145
"Lagos, Nigeria",0.697,0.624,0.322
"Berlin, Germany",0.808,0.134,0.977
"Toronto, Canada",0.156,0.145,0.818
"London, UK",0.837,0.495,0.966
"Dubai, UAE",0.705,0.65,0.24
"Dubai, UAE",0.19,0.437,0.594
"London, UK",0.184,0.831,0.939
Singapore,0.82,0.842,0.694
"London, UK",0.473,0.459,0.118
"London, UK",0.899,0.582,0.163
Singapore,0.608,0.883,0.48
"Johannesburg, South Africa",0.65,0.757,0.446
"Toronto, Canada",0.474,0.207,0.901
Singapore,0.45,0.157,0.802
"London, UK",0.741,0.555,0.219
"New York, USA",0.459,0.774,0.181
"New York, USA",0.499,0.706,0.88
"Dubai, UAE",0.413,0.601,0.505
Singapore,0.257,0.768,0.252
"London, UK",0.779,0.204,0.909
"Dubai, UAE",0.277,0.477,0.748
"Lagos, Nigeria",0.341,0.731,0.248
Singapore,0.574,0.228,0.646
"New York, USA",0.361,0.399,0.522
"Berlin, Germany",0.383,0.467,0.331
"Dubai, UAE",0.103,0.16,0.632
"Lagos, Nigeria",0.741,0.118,0.496
"Johannesburg, South Africa",0.496,0.506,0.605
"London, UK",0.257,0.826,0.364
"Toronto, Canada",0.67,0.182,0.753
"Dubai, UAE",0.625,0.204,0.484
"Lagos, Nigeria",0.401,0.146,0.832
"Berlin, Germany",0.563,0.39,0.647
"Dubai, UAE",0.633,0.415,0.319
"Lagos, Nigeria",0.15,0.887,0.407
"New York, USA",0.434,0.758,0.358
"New York, USA",0.52,0.392,0.423
Singapore,0.679,0.405,0.254
Singapore,0.405,0.433,0.528
Singapore,0.237,0.572,0.144
"Toronto, Canada",0.172,0.801,0.413
"Johannesburg, South Africa",0.747,0.284,0.484
"Dubai, UAE",0.483,0.296,0.788
"Dubai, UAE",0.283,0.892,0.876
"Lagos, Nigeria",0.744,0.491,0.796
"Dubai, UAE",0.75,0.648,0.174
"Dubai, UAE",0.621,0.747,0.696
"Toronto, Canada",0.196,0.491,0.867
"Lagos, Nigeria",0.343,0.113,0.576
"London, UK",0.806,0.7,0.942
"Lagos, Nigeria",0.197,0.566,0.895
"Dubai, UAE",0.66,0.802,0.89
"Johannesburg, South Africa",0.305,0.741,0.968
"Lagos, Nigeria",0.127,0.416,0.789
"London, UK",0.651,0.134,0.717
"Berlin, Germany",0.312,0.54,0.777
"Johannesburg, South Africa",0.694,0.885,0.422
"New York, USA",0.394,0.237,0.108
"Lagos, Nigeria",0.276,0.506,0.14
"Johannesburg, South Africa",0.828,0.196,0.867
"Toronto, Canada",0.384,0.851,0.469
"London, UK",0.832,0.762,0.426
Singapore,0.869,0.53,0.651
"Berlin, Germany",0.425,0.611,0.226
"New York, USA",0.675,0.617,0.59
"New York, USA",0.417,0.863,0.852
"Toronto, Canada",0.625,0.877,0.483
"Berlin, Germany",0.717,0.632,0.566
"Toronto, Canada",0.611,0.335,0.248
"New York, USA",0.332,0.612,0.763
"Dubai, UAE",0.347,0.545,0.606
Singapore,0.789,0.731,0.597
"Lagos, Nigeria",0.551,0.791,0.303
"London, UK",0.821,0.61,0.926
"London, UK",0.435,0.513,0.41
"Toronto, Canada",0.311,0.786,0.965
"Lagos, Nigeria",0.587,0.457,0.408
"New York, USA",0.812,0.482,0.91
"London, UK",0.501,0.114,0.603
"London, UK",0.322,0.158,0.158
"Toronto, Canada",0.277,0.444,0.959
"Johannesburg, South Africa",0.459,0.106,0.399
Singapore,0.783,0.263,0.833
"Berlin, Germany",0.329,0.644,0.609
"London, UK",0.543,0.603,0.32
"Dubai, UAE",0.238,0.553,0.226
"Toronto, Canada",0.694,0.76,0.311
"New York, USA",0.467,0.389,0.59
"London, UK",0.291,0.628,0.557
Singapore,0.704,0.616,0.343
"Toronto, Canada",0.682,0.627,0.241
"Johannesburg, South Africa",0.127,0.639,0.416
Singapore,0.453,0.742,0.243
"Johannesburg, South Africa",0.574,0.587,0.556
"Johannesburg, South Africa",0.305,0.801,0.49
"Berlin, Germany",0.145,0.442,0.504
"Lagos, Nigeria",0.327,0.879,0.335
"London, UK",0.794,0.127,0.184
"Toronto, Canada",0.371,0.207,0.628
"Lagos, Nigeria",0.729,0.167,0.977
"Berlin, Germany",0.662,0.451,0.702
Singapore,0.867,0.57,0.899
"Dubai, UAE",0.798,0.454,0.187
"London, UK",0.853,0.268,0.155
"Toronto, Canada",0.119,0.286,0.789
"Lagos, Nigeria",0.338,0.746,0.509
"Johannesburg, South Africa",0.798,0.143,0.844
"New York, USA",0.398,0.893,0.533
"New York, USA",0.142,0.677,0.167
"Toronto, Canada",0.843,0.837,0.508
"Lagos, Nigeria",0.462,0.246,0.699
"New York, USA",0.141,0.547,0.565
"London, UK",0.327,0.523,0.295
"Toronto, Canada",0.785,0.597,0.932
"Berlin, Germany",0.732,0.722,0.699
Singapore,0.898,0.671,0.574
"Dubai, UAE",0.452,0.414,0.527
"Johannesburg, South Africa",0.342,0.795,0.651
"London, UK",0.207,0.111,0.518
"Johannesburg, South Africa",0.338,0.303,0.378
"Toronto, Canada",0.26,0.516,0.45
Singapore,0.634,0.787,0.273
"New York, USA",0.713,0.419,0.785
"Berlin, Germany",0.743,0.721,0.826
"Johannesburg, South Africa",0.702,0.312,0.761
"London, UK",0.492,0.875,0.517
"Dubai, UAE",0.414,0.112,0.293
"Lagos, Nigeria",0.18,0.241,0.966
"Berlin, Germany",0.563,0.118,0.794
"Dubai, UAE",0.462,0.114,0.798
"New York, USA",0.295,0.825,0.662
Singapore,0.742,0.321,0.354
"Johannesburg, South Africa",0.669,0.287,0.265
"Dubai, UAE",0.555,0.314,0.201
Singapore,0.26,0.742,0.661
"Berlin, Germany",0.556,0.349,0.261
"New York, USA",0.263,0.574,0.438
"Johannesburg, South Africa",0.686,0.787,0.838
"Toronto, Canada",0.238,0.355,0.361
"Dubai, UAE",0.692,0.217,0.339
"London, UK",0.533,0.154,0.746
Singapore,0.881,0.551,0.569
"Dubai, UAE",0.474,0.585,0.606
"Toronto, Canada",0.292,0.797,0.216
"Berlin, Germany",0.772,0.479,0.357
"Toronto, Canada",0.564,0.794,0.432
"London, UK",0.529,0.512,0.973
"Berlin, Germany",0.184,0.572,0.137
"Toronto, Canada",0.405,0.53,0.87
"Dubai, UAE",0.104,0.34,0.213
"Toronto, Canada",0.272,0.775,0.989
"Johannesburg, South Africa",0.52,0.807,0.274
"Toronto, Canada",0.479,0.779,0.36
"Johannesburg, South Africa",0.554,0.186,0.847
"Johannesburg, South Africa",0.794,0.633,0.422
"Johannesburg, South Africa",0.308,0.455,0.683
"Johannesburg, South Africa",0.642,0.178,0.626
"Johannesburg, South Africa",0.541,0.149,0.718
"Lagos, Nigeria",0.756,0.658,0.841
"Johannesburg, South Africa",0.314,0.418,0.369
"Johannesburg, South Africa",0.892,0.406,0.886
Singapore,0.631,0.27,0.978
"Berlin, Germany",0.132,0.582,0.705
Singapore,0.104,0.219,0.609
"London, UK",0.794,0.103,0.985
"Berlin, Germany",0.309,0.111,0.182
"Dubai, UAE",0.29,0.394,0.446
"Berlin, Germany",0.54,0.675,0.312
"Toronto, Canada",0.236,0.582,0.174
"New York, USA",0.331,0.301,0.878
"Toronto, Canada",0.513,0.182,0.409
"New York, USA",0.886,0.389,0.224
"Johannesburg, South Africa",0.223,0.817,0.445
"Lagos, Nigeria",0.134,0.378,0.442
Singapore,0.666,0.196,0.214
"Lagos, Nigeria",0.593,0.813,0.579
"New York, USA",0.351,0.359,0.192
"Toronto, Canada",0.324,0.718,0.282
"Johannesburg, South Africa",0.794,0.318,0.751
"Toronto, Canada",0.357,0.795,0.373
Singapore,0.574,0.165,0.681
Singapore,0.44,0.303,0.29
"Berlin, Germany",0.522,0.682,0.576
Singapore,0.811,0.416,0.193
"Berlin, Germany",0.458,0.54,0.139
"Lagos, Nigeria",0.76,0.322,0.595
"Berlin, Germany",0.582,0.389,0.8
"Berlin, Germany",0.391,0.585,0.733
"Berlin, Germany",0.12,0.734,0.796
"Lagos, Nigeria",0.634,0.814,0.536
"Berlin, Germany",0.657,0.387,0.727
"New York, USA",0.894,0.604,0.173
"London, UK",0.669,0.498,0.852
"London, UK",0.756,0.625,0.405
"Berlin, Germany",0.234,0.597,0.887
"Berlin, Germany",0.71,0.596,0.62
Singapore,0.382,0.449,0.19
"Johannesburg, South Africa",0.884,0.335,0.477
Singapore,0.461,0.437,0.824
"Berlin, Germany",0.472,0.77,0.318
Singapore,0.498,0.374,0.264
Singapore,0.346,0.789,0.116
"New York, USA",0.404,0.233,0.72
"Lagos, Nigeria",0.414,0.543,0.438
"Johannesburg, South Africa",0.51,0.187,0.258
"London, UK",0.213,0.454,0.641
"Johannesburg, South Africa",0.578,0.876,0.229
Singapore,0.531,0.601,0.752
Singapore,0.886,0.114,0.625
"Toronto, Canada",0.8,0.758,0.322
"Berlin, Germany",0.47,0.5,0.887
Singapore,0.658,0.637,0.603
"Toronto, Canada",0.624,0.614,0.216
"Dubai, UAE",0.288,0.251,0.747
"New York, USA",0.366,0.424,0.383
"Dubai, UAE",0.127,0.272,0.797
"Lagos, Nigeria",0.177,0.243,0.461
"Toronto, Canada",0.348,0.546,0.168
"Berlin, Germany",0.722,0.263,0.667
"Berlin, Germany",0.673,0.261,0.379
"New York, USA",0.871,0.601,0.948
"Dubai, UAE",0.393,0.422,0.847
"Berlin, Germany",0.374,0.262,0.418
"Toronto, Canada",0.182,0.407,0.123
"Lagos, Nigeria",0.73,0.564,0.584
"Johannesburg, South Africa",0.232,0.579,0.681
"Berlin, Germany",0.863,0.818,0.714
"Berlin, Germany",0.353,0.844,0.414
"Toronto, Canada",0.618,0.262,0.227
"Lagos, Nigeria",0.46,0.492,0.603
"Toronto, Canada",0.279,0.456,0.539
"New York, USA",0.465,0.714,0.995
"Berlin, Germany",0.361,0.254,0.617
"London, UK",0.6,0.281,0.263
Singapore,0.541,0.227,0.425
Singapore,0.166,0.686,0.578
"New York, USA",0.158,0.282,0.854
"Dubai, UAE",0.872,0.436,0.533
"Dubai, UAE",0.341,0.308,0.82
"Dubai, UAE",0.172,0.886,0.24
"London, UK",0.245,0.618,0.444
"Toronto, Canada",0.224,0.329,0.567
"London, UK",0.268,0.193,0.121
"Lagos, Nigeria",0.138,0.451,0.783
"Johannesburg, South Africa",0.258,0.245,0.849
"Berlin, Germany",0.853,0.234,0.392
"Lagos, Nigeria",0.558,0.336,0.962
"Johannesburg, South Africa",0.36,0.873,0.758
"Lagos, Nigeria",0.732,0.42,0.847
"Toronto, Canada",0.817,0.268,0.689
"Lagos, Nigeria",0.157,0.363,0.837
"London, UK",0.375,0.482,0.985
"Dubai, UAE",0.755,0.157,0.865
Singapore,0.586,0.344,0.526
Singapore,0.646,0.215,0.673
"New York, USA",0.548,0.172,0.622
"Dubai, UAE",0.166,0.827,0.558
"New York, USA",0.781,0.327,0.793
"New York, USA",0.291,0.267,0.495
"London, UK",0.183,0.66,0.379
"Berlin, Germany",0.372,0.146,0.138
"London, UK",0.696,0.879,0.179
"New York, USA",0.804,0.888,0.299
"Johannesburg, South Africa",0.62,0.712,0.239
"Berlin, Germany",0.386,0.89,0.126
"Toronto, Canada",0.683,0.305,0.726
"London, UK",0.713,0.304,0.784
"Lagos, Nigeria",0.838,0.795,0.419
"Johannesburg, South Africa",0.195,0.586,0.988
Singapore,0.212,0.678,0.629
"Lagos, Nigeria",0.449,0.111,0.19
"Lagos, Nigeria",0.372,0.471,0.428
"London, UK",0.718,0.323,0.624
"Toronto, Canada",0.571,0.223,0.96
"Berlin, Germany",0.177,0.515,0.714
"London, UK",0.528,0.322,0.108
"London, UK",0.328,0.535,0.703
"London, UK",0.426,0.163,0.69
"Berlin, Germany",0.165,0.738,0.876
"Toronto, Canada",0.128,0.86,0.218
Singapore,0.872,0.604,0.826
"London, UK",0.693,0.214,0.888
"Johannesburg, South Africa",0.623,0.699,0.822
"Johannesburg, South Africa",0.641,0.803,0.469
"Dubai, UAE",0.61,0.393,0.722
"New York, USA",0.403,0.511,0.836
"Berlin, Germany",0.498,0.151,0.952
"Dubai, UAE",0.84,0.538,0.401
"Toronto, Canada",0.397,0.138,0.287
"New York, USA",0.253,0.382,0.781
"London, UK",0.143,0.323,0.188
"Dubai, UAE",0.308,0.246,0.606
"Dubai, UAE",0.205,0.782,0.874
"New York, USA",0.621,0.583,0.301
"Lagos, Nigeria",0.289,0.642,0.449
"Dubai, UAE",0.366,0.494,0.842
"Toronto, Canada",0.177,0.698,0.552
"Dubai, UAE",0.448,0.396,0.26
"Dubai, UAE",0.864,0.453,0.176
"Dubai, UAE",0.451,0.167,0.602
"Johannesburg, South Africa",0.701,0.356,0.12
"Dubai, UAE",0.556,0.184,0.406
"Toronto, Canada",0.354,0.485,0.651
"Lagos, Nigeria",0.853,0.851,0.105
"Dubai, UAE",0.515,0.749,0.881
"New York, USA",0.718,0.45,0.961
Singapore,0.198,0.341,0.47
"Johannesburg, South Africa",0.281,0.364,0.137
"Johannesburg, South Africa",0.462,0.478,0.352
"Toronto, Canada",0.716,0.294,0.697
"London, UK",0.753,0.371,0.138
"Lagos, Nigeria",0.882,0.494,0.869
"Toronto, Canada",0.861,0.773,0.823
"Dubai, UAE",0.438,0.176,0.516
"Toronto, Canada",0.526,0.424,0.793
Singapore,0.12,0.252,0.253
"Dubai, UAE",0.491,0.61,0.961
"Berlin, Germany",0.13,0.557,0.548
"Dubai, UAE",0.111,0.562,0.987
Singapore,0.545,0.526,0.574
"New York, USA",0.818,0.687,0.739
"Johannesburg, South Africa",0.872,0.223,0.82
"Lagos, Nigeria",0.687,0.249,0.812
"Toronto, Canada",0.698,0.667,0.763
"Lagos, Nigeria",0.453,0.205,0.223
"Johannesburg, South Africa",0.553,0.682,0.468
"London, UK",0.567,0.232,0.588
"Berlin, Germany",0.156,0.893,0.737
"Dubai, UAE",0.137,0.136,0.456
Singapore,0.216,0.721,0.601
"New York, USA",0.736,0.286,0.481
"Dubai, UAE",0.549,0.359,0.742
Singapore,0.573,0.829,0.171
"New York, USA",0.379,0.345,0.743
"London, UK",0.795,0.402,0.855
"Toronto, Canada",0.871,0.246,0.111
"Berlin, Germany",0.271,0.162,0.581
"Johannesburg, South Africa",0.352,0.186,0.326
"New York, USA",0.362,0.575,0.489
"Dubai, UAE",0.87,0.137,0.771
"Lagos, Nigeria",0.514,0.281,0.798
"London, UK",0.554,0.415,0.461
"Dubai, UAE",0.395,0.187,0.182
"New York, USA",0.82,0.699,0.649
"Johannesburg, South Africa",0.253,0.877,0.351
"Dubai, UAE",0.466,0.816,0.205
"Toronto, Canada",0.28,0.863,0.383
"Berlin, Germany",0.568,0.536,0.622
Singapore,0.538,0.218,0.918
"New York, USA",0.205,0.633,0.294
"Johannesburg, South Africa",0.764,0.148,0.788
"Toronto, Canada",0.198,0.481,0.876
"Toronto, Canada",0.241,0.731,0.233
"London, UK",0.317,0.784,0.105
"Johannesburg, South Africa",0.751,0.336,0.951
"Johannesburg, South Africa",0.263,0.278,0.188
"Dubai, UAE",0.275,0.652,0.245
"Toronto, Canada",0.622,0.211,0.467
"London, UK",0.764,0.895,0.366
"Lagos, Nigeria",0.659,0.366,0.983
"Dubai, UAE",0.53,0.699,0.843
"London, UK",0.62,0.68,0.684
"Johannesburg, South Africa",0.538,0.348,0.124
"New York, USA",0.385,0.409,0.318
"London, UK",0.653,0.773,0.274
"Berlin, Germany",0.65,0.282,0.335
"Lagos, Nigeria",0.606,0.148,0.954
"London, UK",0.608,0.218,0.466
"Johannesburg, South Africa",0.289,0.647,0.887
"Lagos, Nigeria",0.842,0.29,0.526
"Dubai, UAE",0.894,0.554,0.697
"London, UK",0.544,0.415,0.947
"Toronto, Canada",0.279,0.795,0.624
"Johannesburg, South Africa",0.354,0.49,0.421
"Toronto, Canada",0.692,0.212,0.526
"Dubai, UAE",0.318,0.766,0.522
"New York, USA",0.587,0.166,0.82
"Toronto, Canada",0.182,0.763,0.402
"Berlin, Germany",0.874,0.133,0.139
"Toronto, Canada",0.773,0.103,0.706
"Berlin, Germany",0.757,0.704,0.87
"London, UK",0.721,0.548,0.551
"Dubai, UAE",0.1,0.272,0.226
"London, UK",0.155,0.873,0.23
"Berlin, Germany",0.571,0.61,0.903
"New York, USA",0.715,0.291,0.166
Singapore,0.704,0.433,0.553
"Toronto, Canada",0.523,0.831,0.398
"Berlin, Germany",0.517,0.263,0.348
"Toronto, Canada",0.17,0.841,0.255
Singapore,0.843,0.273,0.37
"Lagos, Nigeria",0.35,0.119,0.744
"New York, USA",0.268,0.315,0.638
"London, UK",0.577,0.144,0.174
"Berlin, Germany",0.119,0.286,0.778
"Lagos, Nigeria",0.869,0.318,0.419
"Dubai, UAE",0.393,0.433,0.296
"Berlin, Germany",0.336,0.326,0.836
"Dubai, UAE",0.221,0.669,0.672
Singapore,0.507,0.877,0.75
"Berlin, Germany",0.412,0.138,0.375
"Dubai, UAE",0.345,0.51,0.774
Singapore,0.206,0.309,0.348
"Berlin, Germany",0.36,0.47,0.712
"Berlin, Germany",0.756,0.664,0.296
"London, UK",0.736,0.801,0.67
"London, UK",0.558,0.809,0.511
"London, UK",0.702,0.231,0.241
"New York, USA",0.59,0.55,0.634
"Dubai, UAE",0.192,0.326,0.11
"London, UK",0.841,0.498,0.721
"Toronto, Canada",0.5,0.836,0.951
"London, UK",0.692,0.149,0.906
"Berlin, Germany",0.8,0.575,0.978
"Berlin, Germany",0.803,0.388,0.494
"Toronto, Canada",0.847,0.794,0.847
"Lagos, Nigeria",0.618,0.275,0.227
"Berlin, Germany",0.607,0.366,0.115
"Johannesburg, South Africa",0.292,0.116,0.243
"Berlin, Germany",0.351,0.444,0.499
"London, UK",0.583,0.607,0.246
"London, UK",0.301,0.257,0.509
"Berlin, Germany",0.387,0.609,0.312
"Toronto, Canada",0.233,0.696,0.295
"Berlin, Germany",0.701,0.254,0.928
"London, UK",0.605,0.704,0.568
"Dubai, UAE",0.679,0.846,0.707
"Johannesburg, South Africa",0.456,0.278,0.459
"Johannesburg, South Africa",0.689,0.208,0.249
"London, UK",0.473,0.367,0.743
Singapore,0.526,0.253,0.499
"London, UK",0.202,0.72,0.857
Singapore,0.129,0.206,0.174
"Toronto, Canada",0.696,0.118,0.445
"Berlin, Germany",0.812,0.381,0.245
"London, UK",0.389,0.728,0.725
"Lagos, Nigeria",0.777,0.621,0.404
"Dubai, UAE",0.32,0.524,0.475
"London, UK",0.686,0.466,0.415
"New York, USA",0.566,0.62,0.857
Singapore,0.127,0.494,0.607
"Johannesburg, South Africa",0.293,0.72,0.738
"Lagos, Nigeria",0.603,0.793,0.767
"London, UK",0.266,0.239,0.737
"New York, USA",0.572,0.286,0.95
"Toronto, Canada",0.665,0.511,0.687
"New York, USA",0.377,0.793,0.684
"Berlin, Germany",0.653,0.835,0.828
"Dubai, UAE",0.614,0.201,0.115
"Johannesburg, South Africa",0.89,0.343,0.152
