policy_id,customer_id,policy_type,premium_amount,coverage_amount,start_date,end_date,underwriting_score
POL0000024,CUST0001565,Auto,1776.09,209203.77,2021-09-06,2022-12-04,0.7
POL0000025,CUST0000783,Life,561.31,434262.32,2022-06-12,2024-08-16,0.454
POL0000026,CUST0000535,Property,552.13,470052.82,2020-08-24,2021-04-22,0.221
POL0000027,CUST0000210,Property,1140.03,496435.06,2023-11-22,2025-08-29,0.745
POL0000028,CUST0002094,Health,2529.22,480004.81,2024-09-29,2026-09-06,0.469
POL0000029,CUST0001564,Auto,3966.92,12911.46,2019-06-22,2020-05-16,0.16
POL0000030,CUST0000026,Auto,2530.38,33377.09,2023-06-15,2024-05-01,0.675
POL0000031,CUST0000175,Auto,1810.29,82327.34,2018-02-24,2018-12-16,0.333
POL0000032,CUST0001540,Life,595.29,180942.43,2023-09-17,2024-05-18,0.139
POL0000033,CUST0001335,Health,2841.42,416659.84,2019-11-10,2021-07-10,0.822
POL0000034,CUST0000322,Health,1502.09,447401.54,2020-09-01,2022-01-03,0.486
POL0000035,CUST0001603,Health,3151.68,101548.86,2024-12-14,2027-05-18,0.325
POL0000036,CUST0001159,Life,4890.5,313635.43,2023-07-11,2025-03-11,0.673
POL0000037,CUST0000055,Health,734.31,459507.37,2021-04-03,2022-03-09,0.809
POL0000038,CUST0001567,Property,1218.2,237228.55,2023-01-04,2024-05-03,0.1
POL0000039,CUST0001610,Health,2470.85,60736.35,2022-06-28,2023-12-20,0.65
POL0000040,CUST0001873,Health,4849.35,234328.69,2019-12-10,2021-03-11,0.714
POL0000041,CUST0002716,Health,3904.69,194139.5,2020-10-25,2022-02-12,0.268
POL0000042,CUST0002195,Life,4511.5,293052.42,2020-05-14,2022-05-14,0.492
POL0000043,CUST0001509,Property,1801.83,224942.76,2024-04-22,2025-04-05,0.171
POL0000044,CUST0002647,Property,4961.78,18499.5,2019-03-10,2020-12-07,0.697
POL0000045,CUST0002068,Auto,693.6,497058.89,2020-08-13,2022-09-11,0.778
POL0000046,CUST0000333,Auto,454.27,276334.72,2022-03-26,2022-09-28,0.187
POL0000047,CUST0001579,Property,4306.89,242079.07,2023-06-18,2025-08-02,0.753
POL0000048,CUST0000907,Health,4650.87,477762.51,2021-05-21,2023-10-28,0.717
POL0000049,CUST0002992,Health,634.81,86371.58,2024-06-02,2025-04-09,0.378
POL0000050,CUST0000911,Health,744.45,102726.43,2020-12-22,2023-01-28,0.652
POL0000051,CUST0000401,Life,359.24,405927.23,2024-08-22,2027-03-21,0.1
POL0000052,CUST0000950,Health,701.64,137807.23,2024-04-26,2025-10-04,0.845
POL0000053,CUST0001330,Life,1205.22,401621.28,2021-04-07,2023-09-24,0.54
POL0000054,CUST0002076,Property,4856.37,143051.41,2020-12-31,2023-02-14,0.596
POL0000055,CUST0002515,Health,3405.73,26261.94,2022-09-20,2025-03-22,0.632
POL0000056,CUST0001911,Health,3937.05,263337.21,2023-01-19,2024-03-26,0.549
POL0000057,CUST0000101,Auto,3925.47,106376.35,2023-07-15,2025-02-23,0.785
POL0000058,CUST0000551,Property,2768.35,381344.68,2023-01-08,2024-12-30,0.588
POL0000059,CUST0002850,Health,4027.95,324187.82,2018-09-08,2020-02-24,0.826
POL0000060,CUST0002401,Life,3059.88,462565.31,2024-03-25,2026-09-03,0.566
POL0000061,CUST0001706,Property,1709.82,393664.3,2021-09-29,2023-10-12,0.237
POL0000062,CUST0002344,Auto,2893.33,98580.22,2024-03-30,2025-09-28,0.831
POL0000063,CUST0000353,Property,2760.84,402077.54,2021-06-21,2023-07-24,0.645
POL0000064,CUST0002956,Life,4152.57,324451.15,2018-11-27,2020-10-17,0.659
POL0000065,CUST0001019,Auto,4912.29,337786.3,2018-05-06,2020-04-17,0.888
POL0000066,CUST0001180,Life,2173.0,417808.81,2023-09-30,2025-09-06,0.16
POL0000067,CUST0001098,Property,3864.28,291173.79,2019-11-25,2021-11-01,0.443
POL0000068,CUST0002503,Auto,678.86,238341.72,2021-12-24,2023-07-28,0.291
POL0000069,CUST0002760,Life,3928.79,321954.11,2018-07-14,2019-07-03,0.604
POL0000070,CUST0000980,Property,1982.8,155999.14,2024-10-06,2025-06-20,0.745
POL0000071,CUST0001356,Life,389.07,99472.59,2019-12-15,2021-08-25,0.873
POL0000072,CUST0000739,Health,1943.58,312128.04,2023-08-19,2026-03-07,0.464
POL0000073,CUST0000977,Property,3131.09,124585.7,2018-10-26,2020-10-23,0.729
POL0000074,CUST0001372,Auto,772.4,49158.4,2021-02-03,2022-03-21,0.834
POL0000075,CUST0002281,Auto,4635.37,10271.55,2023-08-06,2025-03-07,0.647
POL0000076,CUST0001802,Health,572.83,308076.51,2018-04-30,2019-05-27,0.294
POL0000077,CUST0002150,Life,4664.03,187452.9,2022-02-09,2023-02-16,0.586
POL0000078,CUST0000953,Life,3594.26,378632.38,2018-08-31,2020-09-20,0.876
POL0000079,CUST0000481,Auto,1782.62,193836.44,2024-03-31,2026-08-28,0.89
POL0000080,CUST0001238,Life,2075.6,248141.69,2018-01-05,2019-03-27,0.614
POL0000081,CUST0000108,Property,3755.88,209471.64,2020-10-24,2021-08-25,0.81
POL0000082,CUST0000973,Property,3087.06,328781.65,2021-09-11,2024-02-22,0.26
POL0000083,CUST0001627,Auto,3423.89,184508.19,2022-09-07,2024-03-21,0.297
POL0000084,CUST0000704,Property,2067.99,482246.15,2023-07-07,2025-06-29,0.862
POL0000085,CUST0002383,Auto,2541.5,468712.02,2018-06-05,2020-04-16,0.208
POL0000086,CUST0002134,Life,4951.36,425533.67,2022-09-22,2024-04-26,0.253
POL0000087,CUST0002782,Life,1226.83,460947.13,2022-11-26,2024-02-09,0.436
POL0000088,CUST0000875,Life,2205.71,230078.45,2021-01-08,2022-07-28,0.572
POL0000089,CUST0001448,Health,1600.75,272850.89,2018-04-09,2019-11-21,0.583
POL0000090,CUST0002412,Auto,3872.54,373625.37,2019-11-17,2021-04-25,0.334
POL0000091,CUST0002108,Property,3867.26,351111.5,2021-04-13,2022-01-11,0.836
POL0000092,CUST0001274,Life,1603.74,446432.51,2019-04-08,2020-08-27,0.832
POL0000093,CUST0000560,Health,590.67,361002.2,2024-06-03,2025-03-09,0.414
POL0000094,CUST0000117,Property,254.88,498963.51,2020-07-18,2023-03-21,0.447
POL0000095,CUST0000874,Property,2251.76,180767.84,2018-08-24,2020-05-25,0.662
POL0000096,CUST0002963,Property,2169.62,418168.89,2022-10-24,2024-03-01,0.63
POL0000097,CUST0000968,Life,4944.27,351841.06,2024-04-22,2024-11-12,0.406
POL0000098,CUST0001569,Property,2455.05,348779.36,2020-02-24,2021-12-28,0.431
POL0000099,CUST0000044,Auto,1430.81,169659.44,2021-07-11,2022-12-25,0.378
POL0000100,CUST0000509,Health,4477.9,394944.88,2021-09-18,2022-07-11,0.288
POL0000101,CUST0002012,Property,2557.13,451184.25,2020-07-11,2021-07-24,0.467
POL0000102,CUST0001189,Property,3076.04,117088.75,2022-12-14,2024-03-16,0.649
POL0000103,CUST0001316,Auto,659.21,316493.45,2024-10-18,2026-11-18,0.694
POL0000104,CUST0000849,Property,2038.0,202146.07,2020-09-07,2021-05-23,0.723
POL0000105,CUST0001880,Life,4732.27,494878.58,2023-09-15,2025-05-10,0.4
POL0000106,CUST0000917,Life,3029.63,244628.08,2020-02-28,2021-08-14,0.712
POL0000107,CUST0002946,Life,1853.61,121876.89,2022-05-05,2024-04-09,0.105
POL0000108,CUST0000799,Property,3203.2,197110.24,2022-07-20,2024-07-09,0.482
POL0000109,CUST0000876,Health,4569.97,330380.81,2024-10-26,2027-02-08,0.735
POL0000110,CUST0001761,Health,1515.15,47283.79,2020-05-31,2022-03-18,0.604
POL0000111,CUST0002334,Property,2624.56,305764.94,2024-12-07,2025-06-14,0.479
POL0000112,CUST0002732,Health,4801.72,466300.13,2018-04-07,2020-04-14,0.616
POL0000113,CUST0000819,Health,1027.5,426677.77,2022-09-08,2024-07-21,0.826
POL0000114,CUST0002169,Property,3654.39,43160.03,2024-08-09,2025-10-22,0.553
POL0000115,CUST0000945,Life,3149.51,496761.04,2024-06-29,2026-06-02,0.74
POL0000116,CUST0000907,Property,3462.44,352376.19,2023-02-24,2025-11-09,0.885
POL0000117,CUST0000013,Life,1885.85,89517.6,2022-07-17,2025-01-19,0.664
POL0000118,CUST0000603,Life,1706.62,16083.88,2018-02-09,2020-09-17,0.559
POL0000119,CUST0000200,Health,3484.21,93928.49,2019-12-10,2022-01-23,0.13
POL0000120,CUST0002634,Health,1234.61,420706.2,2019-09-13,2020-03-16,0.4
POL0000121,CUST0001792,Life,2214.34,20603.27,2021-09-13,2024-04-08,0.552
POL0000122,CUST0000448,Life,1103.24,124242.18,2024-06-10,2025-01-10,0.738
POL0000123,CUST0001812,Health,239.86,381079.74,2020-05-31,2021-05-20,0.45
POL0000124,CUST0000841,Auto,4856.28,297194.16,2022-02-28,2023-11-11,0.868
POL0000125,CUST0000590,Life,2272.17,393540.5,2022-02-18,2024-03-15,0.317
POL0000126,CUST0001154,Life,4852.88,375613.75,2024-06-13,2025-05-05,0.696
POL0000127,CUST0002937,Life,873.55,34794.68,2023-05-12,2025-05-29,0.435
POL0000128,CUST0002091,Health,3019.36,447330.6,2019-09-11,2020-09-17,0.489
POL0000129,CUST0000520,Property,1164.68,121245.6,2018-07-24,2019-02-01,0.742
POL0000130,CUST0001037,Life,3992.36,281162.3,2021-02-11,2023-01-21,0.337
POL0000131,CUST0000725,Life,3961.77,325701.2,2022-05-22,2023-07-21,0.177
POL0000132,CUST0002671,Life,740.51,92627.82,2022-04-19,2024-08-20,0.516
POL0000133,CUST0000988,Property,4577.91,488353.32,2024-05-02,2025-02-19,0.523
POL0000134,CUST0000803,Property,1134.22,249196.42,2024-03-13,2026-11-11,0.738
POL0000135,CUST0002583,Life,3142.29,38244.92,2021-04-10,2022-05-27,0.875
POL0000136,CUST0002350,Life,4931.04,469258.4,2018-07-23,2020-11-26,0.144
POL0000137,CUST0000527,Auto,4435.5,297271.24,2022-07-30,2023-12-13,0.573
POL0000138,CUST0001666,Property,4791.51,352604.67,2023-11-04,2025-10-21,0.645
POL0000139,CUST0001139,Auto,1844.47,267336.14,2022-05-09,2023-03-10,0.889
POL0000140,CUST0000460,Life,706.76,419021.6,2019-10-16,2021-02-19,0.854
POL0000141,CUST0002880,Life,1104.06,26235.4,2020-01-20,2021-12-10,0.67
POL0000142,CUST0002553,Life,2602.38,141505.4,2019-08-24,2021-06-17,0.517
POL0000143,CUST0000932,Life,4007.5,240127.69,2019-12-03,2021-03-07,0.229
POL0000144,CUST0001987,Health,920.74,47535.77,2019-07-03,2022-03-06,0.407
POL0000145,CUST0000325,Health,3366.71,355894.27,2021-06-06,2022-09-11,0.568
POL0000146,CUST0000579,Health,1753.17,202895.07,2023-03-08,2025-06-15,0.68
POL0000147,CUST0002809,Auto,1837.77,143607.32,2020-08-10,2022-10-11,0.608
POL0000148,CUST0002899,Property,3377.21,11655.63,2024-01-07,2025-07-31,0.671
POL0000149,CUST0001538,Life,2441.6,362716.85,2021-09-20,2023-08-23,0.443
POL0000150,CUST0002550,Property,4097.76,418566.56,2021-12-12,2023-06-26,0.682
POL0000151,CUST0002001,Health,948.41,203569.86,2024-05-14,2025-06-13,0.215
POL0000152,CUST0002382,Life,3991.75,286466.81,2019-02-19,2021-02-09,0.23
POL0000153,CUST0002332,Life,508.33,121566.45,2023-01-02,2025-02-25,0.23
POL0000154,CUST0000475,Auto,1131.46,314876.85,2019-12-29,2020-10-19,0.813
POL0000155,CUST0001078,Property,3349.52,15947.35,2020-03-13,2022-01-30,0.161
POL0000156,CUST0001482,Auto,4303.64,249435.51,2022-10-11,2024-08-20,0.741
POL0000157,CUST0001603,Health,1412.86,325660.69,2018-11-24,2020-02-17,0.287
POL0000158,CUST0001444,Property,1770.52,459913.97,2023-06-17,2025-02-25,0.475
POL0000159,CUST0000632,Health,2778.18,196854.55,2024-05-15,2025-08-28,0.833
POL0000160,CUST0000703,Auto,1215.55,384943.2,2019-10-18,2020-05-23,0.569
POL0000161,CUST0002457,Auto,4093.55,302866.64,2019-01-23,2019-08-14,0.268
POL0000162,CUST0000982,Life,3913.46,464235.94,2022-02-11,2024-09-23,0.327
POL0000163,CUST0001328,Property,897.4,205205.06,2021-03-16,2021-10-24,0.836
POL0000164,CUST0001959,Property,2426.38,166356.72,2019-05-22,2020-05-05,0.442
POL0000165,CUST0000559,Life,3919.17,444699.58,2021-01-02,2022-06-05,0.57
POL0000166,CUST0000222,Property,1819.18,34129.76,2021-11-29,2022-11-12,0.468
POL0000167,CUST0001557,Health,3238.91,76828.84,2022-09-10,2025-05-31,0.403
POL0000168,CUST0002206,Health,441.02,50378.17,2020-08-18,2022-08-05,0.279
POL0000169,CUST0000348,Auto,3121.71,423123.88,2023-12-08,2026-04-27,0.649
POL0000170,CUST0001183,Health,932.73,15197.64,2020-09-26,2022-07-09,0.675
POL0000171,CUST0000889,Property,4186.8,432212.01,2019-12-01,2022-03-21,0.32
POL0000172,CUST0000922,Life,1906.16,231121.22,2021-02-06,2023-05-11,0.731
POL0000173,CUST0001259,Auto,1551.46,11972.39,2018-09-02,2019-07-21,0.784
POL0000174,CUST0002710,Life,4236.27,206806.14,2019-07-08,2021-11-09,0.837
POL0000175,CUST0000405,Auto,440.69,101532.41,2018-01-02,2018-10-09,0.229
POL0000176,CUST0001281,Auto,2103.72,315956.24,2022-04-23,2024-05-16,0.343
POL0000177,CUST0000677,Life,1976.02,342885.81,2024-03-23,2026-05-16,0.788
POL0000178,CUST0000589,Health,1567.04,248888.51,2023-06-18,2025-12-02,0.259
POL0000179,CUST0001621,Health,4576.42,29854.57,2024-01-31,2025-11-15,0.103
POL0000180,CUST0002606,Health,3804.46,331503.11,2021-02-04,2022-06-09,0.797
POL0000181,CUST0002953,Health,506.83,422599.0,2022-01-10,2024-02-12,0.361
POL0000182,CUST0002527,Life,3630.5,362958.9,2022-09-17,2023-05-14,0.432
POL0000183,CUST0002535,Property,2731.04,416679.38,2018-07-22,2019-02-15,0.457
POL0000184,CUST0001595,Auto,4524.17,108249.67,2019-10-25,2021-10-04,0.779
POL0000185,CUST0000566,Life,1702.14,445555.09,2023-06-05,2024-02-12,0.37
POL0000186,CUST0002572,Health,2955.98,167874.79,2020-01-03,2021-07-29,0.814
POL0000187,CUST0000704,Health,2603.63,16568.36,2023-09-07,2025-04-02,0.594
POL0000188,CUST0002869,Life,2549.89,423261.91,2023-02-02,2025-08-27,0.522
POL0000189,CUST0000858,Auto,2389.31,471492.42,2024-08-04,2026-05-26,0.36
POL0000190,CUST0001285,Life,1187.02,331223.52,2024-12-04,2026-09-17,0.295
POL0000191,CUST0000585,Life,3827.41,123403.95,2019-06-13,2020-10-17,0.599
POL0000192,CUST0002734,Property,2366.41,133354.79,2024-05-04,2026-01-11,0.458
POL0000193,CUST0000232,Life,4800.88,238630.51,2019-08-25,2021-01-09,0.828
POL0000194,CUST0002318,Property,1451.88,449937.23,2022-02-26,2022-11-19,0.493
POL0000195,CUST0002988,Auto,3477.17,83302.85,2024-05-13,2025-11-02,0.509
POL0000196,CUST0002922,Life,4715.44,414727.1,2021-07-13,2023-12-04,0.433
POL0000197,CUST0001246,Life,3384.6,152738.38,2023-09-19,2024-09-29,0.731
POL0000198,CUST0000052,Health,4382.11,406207.22,2019-12-12,2022-07-04,0.44
POL0000199,CUST0002164,Life,4171.91,460932.89,2024-05-05,2025-11-20,0.315
POL0000200,CUST0000538,Health,1928.57,219472.0,2020-09-19,2021-07-13,0.79
POL0000201,CUST0000541,Health,3080.59,188874.82,2021-06-05,2023-04-13,0.577
POL0000202,CUST0001043,Health,950.05,403088.45,2019-03-05,2020-12-05,0.573
POL0000203,CUST0000815,Auto,2770.52,269446.61,2019-01-05,2020-11-10,0.589
POL0000204,CUST0001416,Property,1306.03,345380.03,2019-05-24,2021-07-05,0.675
POL0000205,CUST0002839,Health,3769.94,315186.33,2022-10-20,2023-12-20,0.35
POL0000206,CUST0001653,Life,2734.68,84915.53,2024-06-19,2025-08-06,0.127
POL0000207,CUST0002666,Life,2173.89,423947.28,2024-10-04,2026-05-23,0.748
POL0000208,CUST0000419,Health,1490.23,105929.8,2021-08-06,2023-05-14,0.203
POL0000209,CUST0002357,Health,4993.75,466818.25,2018-09-03,2020-06-25,0.677
POL0000210,CUST0000864,Life,544.21,132779.93,2018-10-31,2020-04-27,0.166
POL0000211,CUST0000186,Health,409.09,369601.68,2022-01-19,2022-12-17,0.4
POL0000212,CUST0000261,Property,1242.84,149481.14,2022-10-04,2023-12-29,0.15
POL0000213,CUST0001552,Property,4861.15,165714.85,2019-09-09,2021-04-02,0.518
POL0000214,CUST0001297,Auto,4900.34,161900.91,2018-12-13,2020-12-08,0.623
POL0000215,CUST0002208,Health,3343.65,376467.2,2024-10-02,2027-03-25,0.237
POL0000216,CUST0002918,Auto,4424.51,282839.41,2019-09-14,2022-03-04,0.397
POL0000217,CUST0000762,Auto,1227.02,442646.7,2022-11-01,2024-07-02,0.844
POL0000218,CUST0000224,Auto,4865.8,160612.63,2023-11-15,2026-02-22,0.454
POL0000219,CUST0001280,Health,885.37,349076.34,2024-05-16,2025-05-19,0.742
POL0000220,CUST0000180,Auto,685.4,378944.81,2021-02-04,2023-10-23,0.842
POL0000221,CUST0002068,Property,738.62,84226.24,2023-09-07,2024-11-11,0.879
POL0000222,CUST0001648,Auto,2951.01,206288.79,2018-03-04,2019-09-29,0.819
POL0000223,CUST0000632,Property,3948.68,246580.57,2022-06-21,2024-10-09,0.354
POL0000224,CUST0001537,Property,1960.0,184286.82,2021-12-17,2023-01-19,0.87
POL0000225,CUST0002106,Health,4893.9,167835.17,2018-02-16,2020-03-30,0.75
POL0000226,CUST0002771,Auto,2285.22,346345.75,2024-09-10,2025-09-14,0.77
POL0000227,CUST0001964,Health,922.15,115774.53,2024-12-26,2026-02-12,0.112
POL0000228,CUST0000615,Property,2436.64,357601.47,2022-07-23,2024-12-06,0.863
POL0000229,CUST0000562,Life,3459.38,468171.66,2019-10-29,2020-12-13,0.722
POL0000230,CUST0002422,Auto,4194.68,286946.79,2021-01-22,2022-07-13,0.714
POL0000231,CUST0000622,Health,2402.09,309602.78,2024-07-11,2026-04-29,0.165
POL0000232,CUST0002136,Life,3049.31,43777.02,2020-06-18,2022-07-12,0.286
POL0000233,CUST0001014,Auto,1483.25,433593.68,2023-07-19,2025-03-18,0.87
POL0000234,CUST0002062,Auto,3300.4,149869.42,2020-10-20,2021-12-10,0.501
POL0000235,CUST0002181,Health,4932.67,311375.07,2020-02-11,2020-09-10,0.418
POL0000236,CUST0001961,Life,435.46,489764.96,2019-04-02,2020-04-28,0.772
POL0000237,CUST0001058,Health,4455.35,301796.27,2024-08-04,2026-08-25,0.17
POL0000238,CUST0002940,Auto,2898.96,365107.65,2023-12-28,2025-07-08,0.434
POL0000239,CUST0000592,Auto,1410.07,228206.61,2018-02-11,2018-08-11,0.401
POL0000240,CUST0000583,Property,4783.47,39579.26,2024-11-14,2026-08-05,0.38
POL0000241,CUST0001614,Auto,2520.1,400823.68,2020-01-07,2022-01-24,0.346
POL0000242,CUST0001102,Auto,1792.11,27149.43,2022-03-06,2023-11-02,0.268
POL0000243,CUST0000289,Life,1071.19,353322.34,2022-03-26,2024-12-12,0.238
POL0000244,CUST0001569,Life,1373.37,21231.57,2020-05-25,2023-01-28,0.612
POL0000245,CUST0002927,Property,4197.68,432529.57,2018-09-14,2020-12-21,0.836
POL0000246,CUST0001444,Property,3149.17,87241.66,2023-09-16,2024-12-17,0.507
POL0000247,CUST0000007,Property,4583.58,261993.03,2022-02-14,2023-03-14,0.338
POL0000248,CUST0001184,Health,1313.45,302603.85,2018-02-24,2020-09-11,0.227
POL0000249,CUST0000240,Health,781.47,234197.25,2024-11-18,2026-02-25,0.764
POL0000250,CUST0001987,Property,229.22,176974.11,2021-11-21,2023-11-13,0.877
POL0000251,CUST0001447,Health,2637.74,239229.01,2024-06-10,2026-11-24,0.379
POL0000252,CUST0002584,Auto,4991.87,162593.72,2020-07-28,2021-10-24,0.333
POL0000253,CUST0001750,Property,3535.83,224679.95,2024-07-13,2025-01-19,0.581
POL0000254,CUST0002118,Property,1680.29,185867.37,2020-03-29,2020-11-10,0.72
POL0000255,CUST0001904,Health,4408.92,287440.36,2020-05-27,2022-04-21,0.464
POL0000256,CUST0002264,Life,3952.27,126582.84,2018-11-07,2021-02-05,0.604
POL0000257,CUST0001078,Property,273.99,494441.71,2019-11-25,2021-08-03,0.673
POL0000258,CUST0002854,Health,4120.93,255426.28,2021-01-09,2023-02-11,0.868
POL0000259,CUST0002378,Health,1642.53,105139.42,2021-05-28,2023-09-25,0.232
POL0000260,CUST0000848,Life,918.43,243762.71,2021-01-24,2022-09-22,0.898
POL0000261,CUST0001312,Property,1286.39,434543.41,2018-02-01,2019-10-05,0.414
POL0000262,CUST0002093,Life,2449.18,20685.33,2018-05-18,2019-03-23,0.679
POL0000263,CUST0002877,Auto,2239.37,342981.52,2020-11-08,2021-05-28,0.558
POL0000264,CUST0002246,Life,1586.66,278504.22,2020-09-02,2022-03-24,0.489
POL0000265,CUST0001240,Life,1026.65,93083.42,2019-05-05,2020-03-14,0.658
POL0000266,CUST0001505,Health,3858.71,410563.46,2018-07-13,2020-06-23,0.417
POL0000267,CUST0001333,Life,4952.53,190753.46,2023-02-27,2024-04-01,0.201
POL0000268,CUST0002944,Auto,3933.4,153962.99,2022-03-09,2023-08-03,0.491
POL0000269,CUST0002380,Health,1620.5,415781.34,2021-03-31,2022-02-03,0.518
POL0000270,CUST0000696,Auto,1375.08,322877.27,2018-06-03,2018-12-31,0.262
POL0000271,CUST0000027,Life,1244.8,450146.95,2024-01-01,2026-02-20,0.848
POL0000272,CUST0002366,Auto,856.14,318643.01,2019-08-28,2022-04-04,0.282
POL0000273,CUST0002413,Auto,2846.39,373000.65,2024-03-21,2025-11-15,0.427
POL0000274,CUST0000960,Life,3105.92,419858.49,2018-09-18,2020-01-08,0.224
POL0000275,CUST0001527,Life,3586.41,36822.42,2024-05-01,2026-03-15,0.529
POL0000276,CUST0001869,Health,3465.02,390263.99,2023-02-20,2025-09-17,0.346
POL0000277,CUST0000373,Health,1603.2,310716.18,2023-10-24,2026-03-06,0.491
POL0000278,CUST0001950,Property,1785.49,44058.82,2024-04-14,2025-10-02,0.28
POL0000279,CUST0000245,Health,3471.27,259203.18,2019-05-29,2021-02-21,0.143
POL0000280,CUST0001841,Life,1877.35,50404.46,2023-05-26,2024-12-26,0.723
POL0000281,CUST0001677,Auto,1220.59,370614.13,2023-12-25,2026-01-01,0.613
POL0000282,CUST0002526,Auto,1996.81,277785.84,2024-12-17,2027-05-24,0.373
POL0000283,CUST0000125,Health,1506.0,477251.03,2018-07-28,2020-04-22,0.138
POL0000284,CUST0000537,Health,623.9,99736.33,2018-06-23,2019-01-22,0.792
POL0000285,CUST0002754,Life,4184.67,306956.39,2019-01-09,2021-08-11,0.236
POL0000286,CUST0001920,Auto,4294.93,113675.25,2021-11-07,2023-01-08,0.845
POL0000287,CUST0001636,Property,1254.8,310891.84,2020-12-02,2021-07-11,0.483
POL0000288,CUST0001426,Property,510.91,364098.35,2021-11-17,2024-07-24,0.372
POL0000289,CUST0001541,Health,3746.37,363929.12,2021-09-21,2022-07-20,0.693
POL0000290,CUST0000531,Property,1215.34,409386.26,2021-02-05,2021-08-30,0.801
POL0000291,CUST0002834,Life,2088.49,428239.61,2020-03-17,2021-12-18,0.397
POL0000292,CUST0000254,Property,507.85,47863.15,2021-02-01,2023-02-21,0.426
POL0000293,CUST0002169,Health,1286.09,178200.91,2019-06-18,2020-05-09,0.447
POL0000294,CUST0000661,Life,4005.93,346690.03,2019-07-01,2021-05-06,0.838
POL0000295,CUST0001802,Auto,4061.1,254307.28,2019-05-27,2021-08-10,0.654
POL0000296,CUST0001061,Life,1194.01,103431.21,2019-03-09,2021-01-02,0.298
POL0000297,CUST0001366,Health,1812.39,280827.69,2022-12-01,2024-08-31,0.248
POL0000298,CUST0001037,Health,844.34,209643.47,2020-08-27,2023-02-03,0.284
POL0000299,CUST0001207,Property,556.03,201118.76,2020-07-06,2021-05-09,0.311
POL0000300,CUST0002136,Property,4962.42,406779.32,2022-04-25,2023-11-01,0.284
POL0000301,CUST0002094,Auto,3346.85,209723.18,2021-08-08,2023-11-30,0.627
POL0000302,CUST0001143,Auto,2802.06,22962.71,2024-03-24,2026-11-11,0.193
POL0000303,CUST0002981,Health,3874.39,38451.04,2023-02-01,2023-10-21,0.41
POL0000304,CUST0001555,Health,4232.37,429559.58,2020-06-20,2022-06-04,0.6
POL0000305,CUST0001756,Health,4072.23,480694.4,2021-03-30,2023-03-02,0.333
POL0000306,CUST0001966,Auto,279.39,347320.57,2019-07-27,2021-12-21,0.152
POL0000307,CUST0000745,Health,1096.68,188540.46,2020-04-25,2022-07-11,0.165
POL0000308,CUST0001630,Auto,3343.55,469914.15,2022-02-25,2024-06-27,0.201
POL0000309,CUST0000967,Health,2003.64,334773.51,2023-01-12,2023-10-21,0.769
POL0000310,CUST0000763,Life,4915.92,423723.44,2021-04-06,2023-10-27,0.626
POL0000311,CUST0002810,Life,3393.94,385267.63,2022-08-21,2024-07-19,0.152
POL0000312,CUST0000794,Health,4791.43,195778.26,2022-09-05,2024-02-28,0.413
POL0000313,CUST0000744,Life,1166.94,244564.08,2018-05-31,2020-10-10,0.323
POL0000314,CUST0001070,Auto,4346.99,101204.76,2018-06-16,2019-08-25,0.562
POL0000315,CUST0001532,Property,1742.49,153086.91,2019-06-03,2020-08-02,0.518
