claim_id,anomaly_score,network_flag,fraud_reason
CLM0001217,0.772,1,Inflated Amount
CLM0002206,0.275,0,Suspicious Pattern
CLM0001174,0.915,0,Duplicate Claim
CLM0002825,0.388,1,Suspicious Pattern
CLM0001333,0.983,1,Duplicate Claim
CLM0002036,0.698,0,Duplicate Claim
CLM0002653,0.208,0,Fake Identity
CLM0001874,0.396,0,Inflated Amount
CLM0001256,0.665,0,Inflated Amount
CLM0001756,0.788,1,Duplicate Claim
CLM0002889,0.576,1,Duplicate Claim
CLM0000262,0.74,1,Suspicious Pattern
CLM0002944,0.482,1,Inflated Amount
CLM0001750,0.285,1,Suspicious Pattern
CLM0002342,0.705,0,Inflated Amount
CLM0002370,0.825,0,Suspicious Pattern
CLM0000485,0.318,1,Suspicious Pattern
CLM0002183,0.428,1,Suspicious Pattern
CLM0002080,0.338,1,Inflated Amount
CLM0002991,0.146,0,Suspicious Pattern
CLM0000584,0.767,0,Duplicate Claim
CLM0000415,0.51,1,Inflated Amount
CLM0000757,0.162,1,Duplicate Claim
CLM0002725,0.346,1,Fake Identity
CLM0000404,0.741,0,Inflated Amount
CLM0002503,0.378,1,Suspicious Pattern
CLM0001954,0.072,0,Duplicate Claim
CLM0001558,0.105,0,Suspicious Pattern
CLM0000076,0.998,0,Suspicious Pattern
CLM0002102,0.428,0,Inflated Amount
CLM0001706,0.636,0,Duplicate Claim
CLM0001710,0.619,0,Suspicious Pattern
CLM0000249,0.166,0,Duplicate Claim
CLM0002650,0.399,0,Inflated Amount
CLM0001276,0.714,0,Duplicate Claim
CLM0001481,0.425,0,Fake Identity
CLM0000411,0.589,0,Duplicate Claim
CLM0001191,0.371,1,Fake Identity
CLM0001628,0.265,0,Duplicate Claim
CLM0000628,0.019,0,Duplicate Claim
CLM0000736,0.424,0,Suspicious Pattern
CLM0002786,0.397,1,Duplicate Claim
CLM0000568,0.461,1,Inflated Amount
CLM0001248,0.007,0,Inflated Amount
CLM0000970,0.517,0,Fake Identity
CLM0001827,0.118,1,Fake Identity
CLM0002962,0.496,0,Duplicate Claim
CLM0002469,0.342,1,Inflated Amount
CLM0001304,0.044,0,Inflated Amount
CLM0000542,0.166,1,Fake Identity
CLM0000155,0.258,0,Fake Identity
CLM0002718,0.233,1,Inflated Amount
CLM0002843,0.604,1,Suspicious Pattern
CLM0001133,0.044,0,Inflated Amount
CLM0002499,0.444,0,Suspicious Pattern
CLM0000134,0.816,1,Suspicious Pattern
CLM0001543,0.285,0,Duplicate Claim
CLM0000341,0.605,0,Suspicious Pattern
CLM0000457,0.922,1,Duplicate Claim
CLM0002800,0.789,1,Fake Identity
CLM0002083,0.831,1,Suspicious Pattern
CLM0000213,0.438,0,Inflated Amount
CLM0002833,0.084,0,Duplicate Claim
CLM0002886,0.487,1,Fake Identity
CLM0001167,0.073,0,Fake Identity
CLM0001548,0.497,0,Inflated Amount
CLM0002721,0.497,1,Duplicate Claim
CLM0002954,0.817,1,Duplicate Claim
CLM0001706,0.546,1,Fake Identity
CLM0002721,0.101,0,Suspicious Pattern
CLM0001912,0.457,1,Inflated Amount
CLM0000013,0.732,0,Suspicious Pattern
CLM0002769,0.104,0,Inflated Amount
CLM0002824,0.49,1,Suspicious Pattern
CLM0000477,0.505,0,Fake Identity
CLM0001926,0.931,1,Inflated Amount
CLM0000719,0.777,0,Fake Identity
CLM0000607,0.244,0,Suspicious Pattern
CLM0001453,0.808,1,Suspicious Pattern
CLM0000980,0.429,0,Inflated Amount
CLM0002714,0.499,1,Duplicate Claim
CLM0000660,0.37,1,Suspicious Pattern
CLM0000440,0.091,1,Inflated Amount
CLM0002108,0.99,1,Suspicious Pattern
CLM0002856,0.087,0,Suspicious Pattern
CLM0001456,0.083,1,Inflated Amount
CLM0001552,0.12,0,Duplicate Claim
CLM0000866,0.277,1,Duplicate Claim
CLM0000195,0.545,0,Fake Identity
CLM0001855,0.774,1,Inflated Amount
CLM0002342,0.764,1,Inflated Amount
CLM0002929,0.502,0,Fake Identity
CLM0002259,0.846,0,Suspicious Pattern
CLM0002506,0.021,0,Duplicate Claim
CLM0002186,0.04,1,Suspicious Pattern
CLM0002277,0.646,1,Inflated Amount
CLM0001913,0.465,1,Suspicious Pattern
CLM0002275,0.505,0,Suspicious Pattern
CLM0001713,0.218,1,Suspicious Pattern
CLM0000947,0.837,0,Fake Identity
CLM0002783,0.503,1,Fake Identity
CLM0002404,0.211,0,Inflated Amount
CLM0000211,0.138,0,Fake Identity
CLM0001910,0.995,1,Fake Identity
CLM0001799,0.727,0,Fake Identity
CLM0000393,0.533,1,Suspicious Pattern
CLM0002199,0.566,0,Suspicious Pattern
CLM0001911,0.11,1,Fake Identity
CLM0001578,0.722,0,Inflated Amount
CLM0001379,0.919,1,Duplicate Claim
CLM0001442,0.897,0,Suspicious Pattern
CLM0000557,0.788,0,Fake Identity
CLM0000267,0.653,1,Duplicate Claim
CLM0002868,0.267,1,Suspicious Pattern
CLM0002643,0.345,1,Fake Identity
CLM0000828,0.832,0,Duplicate Claim
CLM0002864,0.717,1,Inflated Amount
CLM0001820,0.99,1,Suspicious Pattern
CLM0001008,0.085,0,Suspicious Pattern
CLM0001721,0.348,0,Inflated Amount
CLM0000422,0.88,1,Suspicious Pattern
CLM0000398,0.026,1,Suspicious Pattern
CLM0001223,0.336,0,Suspicious Pattern
CLM0001782,0.974,0,Inflated Amount
CLM0002720,0.547,1,Inflated Amount
CLM0000696,0.308,0,Duplicate Claim
CLM0001793,0.93,0,Fake Identity
CLM0002109,0.347,1,Inflated Amount
CLM0000470,0.133,1,Suspicious Pattern
CLM0001164,0.579,1,Fake Identity
CLM0002845,0.714,0,Duplicate Claim
CLM0000801,0.079,0,Inflated Amount
CLM0002849,0.622,1,Suspicious Pattern
CLM0002326,0.372,0,Suspicious Pattern
CLM0002035,0.125,1,Suspicious Pattern
CLM0001631,0.636,1,Suspicious Pattern
CLM0001785,0.269,0,Suspicious Pattern
CLM0001748,0.17,0,Inflated Amount
CLM0000929,0.094,1,Suspicious Pattern
CLM0001954,0.401,0,Inflated Amount
CLM0001253,0.621,1,Duplicate Claim
CLM0002487,0.975,1,Fake Identity
CLM0000229,0.338,0,Inflated Amount
CLM0002239,0.612,0,Inflated Amount
CLM0001030,0.118,0,Fake Identity
CLM0002860,0.936,0,Fake Identity
CLM0002433,0.741,0,Suspicious Pattern
CLM0000037,0.712,1,Inflated Amount
CLM0000982,0.548,1,Inflated Amount
CLM0002450,0.563,1,Duplicate Claim
CLM0000102,0.447,1,Inflated Amount
CLM0000093,0.046,0,Duplicate Claim
CLM0002753,0.07,1,Duplicate Claim
CLM0002886,0.192,1,Fake Identity
CLM0000752,0.188,0,Suspicious Pattern
CLM0002559,0.057,1,Suspicious Pattern
CLM0000667,0.497,0,Suspicious Pattern
CLM0000874,0.509,1,Suspicious Pattern
CLM0001870,0.599,1,Suspicious Pattern
CLM0002443,0.787,0,Duplicate Claim
CLM0000005,0.936,1,Duplicate Claim
CLM0002387,0.948,1,Inflated Amount
CLM0001499,0.9,0,Inflated Amount
CLM0000110,0.742,1,Duplicate Claim
CLM0002425,0.67,1,Duplicate Claim
CLM0002625,0.118,1,Duplicate Claim
CLM0002089,0.656,1,Suspicious Pattern
CLM0000353,0.157,1,Duplicate Claim
CLM0001949,0.746,1,Suspicious Pattern
CLM0001985,0.162,1,Duplicate Claim
CLM0000374,0.682,1,Duplicate Claim
CLM0002749,0.072,1,Duplicate Claim
CLM0001065,0.313,1,Suspicious Pattern
CLM0001088,0.374,0,Duplicate Claim
CLM0000491,0.314,0,Suspicious Pattern
CLM0000479,0.311,0,Fake Identity
CLM0000875,0.532,1,Inflated Amount
CLM0001525,0.824,0,Fake Identity
CLM0002157,0.873,1,Inflated Amount
CLM0001538,0.073,0,Fake Identity
CLM0001011,0.192,0,Inflated Amount
CLM0002279,0.309,0,Suspicious Pattern
CLM0000560,0.684,1,Duplicate Claim
CLM0002260,0.402,1,Duplicate Claim
CLM0001399,0.477,0,Inflated Amount
CLM0002134,0.784,1,Fake Identity
CLM0001307,0.642,0,Suspicious Pattern
CLM0001231,0.587,1,Duplicate Claim
CLM0001295,0.58,0,Inflated Amount
CLM0001375,0.199,1,Suspicious Pattern
CLM0001931,0.111,1,Duplicate Claim
CLM0001422,0.327,0,Duplicate Claim
CLM0002820,0.768,0,Suspicious Pattern
CLM0002912,0.853,1,Duplicate Claim
CLM0000306,0.797,1,Inflated Amount
CLM0000334,0.158,1,Suspicious Pattern
CLM0002804,0.919,0,Suspicious Pattern
CLM0001979,0.388,0,Duplicate Claim
CLM0002341,0.838,0,Inflated Amount
CLM0001969,0.626,1,Duplicate Claim
CLM0001815,0.793,0,Duplicate Claim
CLM0000342,0.03,1,Fake Identity
CLM0001970,0.435,0,Fake Identity
CLM0001780,0.606,0,Inflated Amount
CLM0001008,0.37,0,Fake Identity
CLM0001525,0.789,0,Suspicious Pattern
CLM0002934,0.724,1,Suspicious Pattern
CLM0000620,0.39,1,Inflated Amount
CLM0002302,0.439,1,Suspicious Pattern
CLM0001151,0.491,1,Duplicate Claim
CLM0002276,0.545,0,Duplicate Claim
CLM0000782,0.298,1,Fake Identity
CLM0001594,0.229,0,Suspicious Pattern
CLM0001233,0.113,1,Suspicious Pattern
CLM0001277,0.14,0,Fake Identity
CLM0001679,0.468,1,Inflated Amount
CLM0002363,0.664,0,Inflated Amount
CLM0000603,0.666,0,Fake Identity
CLM0000256,0.456,0,Fake Identity
CLM0001145,0.619,0,Fake Identity
CLM0000239,0.959,1,Suspicious Pattern
CLM0000721,0.982,1,Inflated Amount
CLM0000642,0.845,1,Duplicate Claim
CLM0002649,0.914,0,Fake Identity
CLM0002376,0.136,1,Duplicate Claim
CLM0001290,0.279,1,Duplicate Claim
CLM0001722,0.954,0,Fake Identity
CLM0002418,0.13,0,Duplicate Claim
CLM0001512,0.875,0,Duplicate Claim
CLM0001955,0.439,1,Inflated Amount
CLM0002298,0.975,1,Fake Identity
CLM0001076,0.717,0,Inflated Amount
CLM0002625,0.337,0,Duplicate Claim
CLM0002646,0.118,0,Duplicate Claim
CLM0000196,0.239,1,Suspicious Pattern
CLM0001212,0.704,1,Suspicious Pattern
CLM0001126,0.321,0,Duplicate Claim
CLM0000075,0.949,1,Fake Identity
CLM0000543,0.535,1,Duplicate Claim
CLM0001367,0.525,0,Inflated Amount
CLM0002092,0.807,0,Fake Identity
CLM0002020,0.797,1,Inflated Amount
CLM0001524,0.687,1,Suspicious Pattern
CLM0001560,0.952,1,Fake Identity
CLM0001061,0.58,1,Fake Identity
CLM0002444,0.9,0,Inflated Amount
CLM0002238,0.47,0,Fake Identity
CLM0001589,0.762,0,Inflated Amount
CLM0001513,0.234,0,Inflated Amount
CLM0001034,0.85,0,Duplicate Claim
CLM0001462,0.353,1,Duplicate Claim
CLM0001636,0.726,0,Duplicate Claim
CLM0002974,0.322,0,Suspicious Pattern
CLM0000143,0.953,1,Inflated Amount
CLM0000583,0.191,0,Fake Identity
CLM0001568,0.527,1,Suspicious Pattern
CLM0000455,0.395,1,Suspicious Pattern
CLM0000812,0.535,1,Duplicate Claim
CLM0002654,0.231,0,Fake Identity
CLM0001260,0.504,1,Fake Identity
CLM0002736,0.132,1,Suspicious Pattern
CLM0001509,0.231,0,Inflated Amount
CLM0002374,0.672,0,Suspicious Pattern
CLM0000539,0.469,0,Fake Identity
CLM0000306,0.497,1,Inflated Amount
CLM0002985,0.932,1,Inflated Amount
CLM0001962,0.215,0,Inflated Amount
CLM0001604,0.552,0,Inflated Amount
CLM0000720,0.532,0,Inflated Amount
CLM0001743,0.445,1,Inflated Amount
CLM0002997,0.83,1,Fake Identity
CLM0002585,0.567,0,Duplicate Claim
CLM0000822,0.82,0,Suspicious Pattern
CLM0001568,0.86,0,Duplicate Claim
CLM0001529,0.071,1,Duplicate Claim
CLM0000628,0.938,0,Suspicious Pattern
CLM0002623,0.763,0,Fake Identity
CLM0002413,0.484,1,Fake Identity
CLM0000325,0.82,0,Inflated Amount
CLM0000933,0.23,1,Duplicate Claim
CLM0002397,0.819,1,Fake Identity
CLM0001813,0.556,0,Suspicious Pattern
CLM0001735,0.444,1,Inflated Amount
CLM0002118,0.571,1,Duplicate Claim
CLM0001363,0.717,1,Inflated Amount
CLM0000764,0.277,1,Duplicate Claim
CLM0001320,0.097,0,Suspicious Pattern
CLM0001550,0.907,0,Duplicate Claim
CLM0000518,0.951,1,Suspicious Pattern
CLM0002235,0.625,0,Duplicate Claim
CLM0002569,0.511,0,Fake Identity
CLM0002016,0.054,1,Inflated Amount
CLM0001736,0.416,1,Suspicious Pattern
CLM0001532,0.34,0,Inflated Amount
CLM0000105,0.383,1,Suspicious Pattern
CLM0000200,0.719,1,Fake Identity
CLM0000364,0.361,1,Duplicate Claim
CLM0002494,0.791,0,Duplicate Claim
CLM0000290,0.991,1,Duplicate Claim
CLM0002441,0.546,0,Inflated Amount
CLM0001994,0.278,1,Inflated Amount
CLM0000426,0.958,1,Inflated Amount
CLM0000499,0.732,0,Suspicious Pattern
CLM0002760,0.225,0,Duplicate Claim
CLM0002787,0.994,0,Duplicate Claim
CLM0001790,0.01,1,Duplicate Claim
CLM0001226,0.576,1,Inflated Amount
CLM0001950,0.684,1,Suspicious Pattern
CLM0000635,0.182,1,Suspicious Pattern
CLM0002502,0.051,0,Duplicate Claim
CLM0001309,0.007,1,Duplicate Claim
CLM0000294,0.926,1,Fake Identity
CLM0000005,0.583,0,Inflated Amount
CLM0000263,0.171,0,Suspicious Pattern
CLM0001051,0.616,1,Inflated Amount
CLM0002127,0.003,0,Inflated Amount
CLM0000349,0.374,1,Inflated Amount
CLM0000268,0.768,0,Fake Identity
CLM0000443,0.1,0,Suspicious Pattern
CLM0000826,0.604,1,Fake Identity
CLM0000294,0.316,1,Suspicious Pattern
CLM0002849,0.099,1,Fake Identity
CLM0000931,0.825,1,Fake Identity
CLM0000889,0.548,0,Suspicious Pattern
CLM0001840,0.791,1,Duplicate Claim
CLM0001889,0.968,0,Duplicate Claim
CLM0001935,0.184,1,Fake Identity
CLM0001764,0.137,1,Duplicate Claim
CLM0002413,0.981,0,Inflated Amount
CLM0001207,0.233,0,Duplicate Claim
CLM0000863,0.427,0,Duplicate Claim
CLM0001260,0.836,0,Suspicious Pattern
CLM0000042,0.23,0,Suspicious Pattern
CLM0002818,0.711,0,Duplicate Claim
CLM0000041,0.787,0,Duplicate Claim
CLM0002988,0.496,1,Suspicious Pattern
CLM0001330,0.487,0,Fake Identity
CLM0001626,0.229,1,Suspicious Pattern
CLM0000839,0.626,0,Duplicate Claim
CLM0000556,0.201,0,Duplicate Claim
CLM0001114,0.263,0,Inflated Amount
CLM0001723,0.596,0,Suspicious Pattern
CLM0001064,0.278,0,Fake Identity
CLM0001531,0.464,1,Inflated Amount
CLM0001167,0.95,1,Duplicate Claim
CLM0000606,0.595,0,Duplicate Claim
CLM0002108,0.751,0,Inflated Amount
CLM0001141,0.703,0,Inflated Amount
CLM0001959,0.953,1,Suspicious Pattern
CLM0001754,0.107,0,Duplicate Claim
CLM0000397,0.184,1,Inflated Amount
CLM0000096,0.686,0,Suspicious Pattern
CLM0001389,0.846,0,Duplicate Claim
CLM0002663,0.747,0,Duplicate Claim
CLM0000490,0.148,1,Suspicious Pattern
CLM0000270,0.68,0,Suspicious Pattern
CLM0000591,0.628,0,Fake Identity
CLM0000761,0.537,1,Inflated Amount
CLM0000362,0.564,0,Fake Identity
CLM0000840,0.607,0,Duplicate Claim
CLM0002122,0.181,1,Fake Identity
CLM0000912,0.332,1,Suspicious Pattern
CLM0001993,0.612,1,Suspicious Pattern
CLM0001118,0.079,0,Fake Identity
CLM0002817,0.71,0,Duplicate Claim
CLM0000971,0.746,0,Duplicate Claim
CLM0000418,0.144,0,Fake Identity
CLM0002950,0.284,0,Fake Identity
CLM0001483,0.231,1,Inflated Amount
CLM0002954,0.21,1,Fake Identity
CLM0001661,0.367,1,Inflated Amount
CLM0000465,0.755,0,Suspicious Pattern
CLM0002227,0.407,0,Suspicious Pattern
CLM0000710,0.535,0,Fake Identity
CLM0002770,0.123,1,Suspicious Pattern
CLM0001656,0.614,0,Inflated Amount
CLM0002563,0.999,1,Fake Identity
CLM0001233,0.729,1,Duplicate Claim
CLM0002159,0.485,1,Suspicious Pattern
CLM0001728,0.471,0,Duplicate Claim
CLM0001066,0.923,0,Fake Identity
CLM0002486,0.408,0,Suspicious Pattern
CLM0002191,0.726,0,Fake Identity
CLM0001040,0.61,0,Fake Identity
CLM0000948,0.627,0,Duplicate Claim
CLM0001855,0.084,1,Fake Identity
CLM0002152,0.666,0,Duplicate Claim
CLM0001454,0.642,0,Suspicious Pattern
CLM0001940,0.742,0,Fake Identity
CLM0001142,0.677,1,Fake Identity
CLM0000322,0.88,1,Suspicious Pattern
CLM0002563,0.997,1,Suspicious Pattern
CLM0001266,0.191,0,Fake Identity
CLM0001964,0.888,1,Suspicious Pattern
CLM0000969,0.292,0,Suspicious Pattern
CLM0001876,0.262,1,Suspicious Pattern
CLM0002764,0.225,0,Duplicate Claim
CLM0000195,0.546,0,Inflated Amount
CLM0002715,0.527,1,Fake Identity
CLM0001554,0.851,1,Duplicate Claim
CLM0001902,0.439,1,Fake Identity
CLM0002466,0.784,1,Duplicate Claim
CLM0001460,0.974,1,Duplicate Claim
CLM0002891,0.194,1,Inflated Amount
CLM0000460,0.084,0,Suspicious Pattern
CLM0001095,0.35,0,Fake Identity
CLM0000510,0.958,0,Fake Identity
CLM0002128,0.783,1,Suspicious Pattern
CLM0002003,0.454,1,Duplicate Claim
CLM0002588,0.093,0,Suspicious Pattern
CLM0002217,0.296,0,Fake Identity
CLM0002183,0.887,1,Inflated Amount
CLM0000946,0.154,1,Fake Identity
CLM0001513,0.654,1,Duplicate Claim
CLM0001087,0.613,0,Duplicate Claim
CLM0002365,0.311,1,Suspicious Pattern
CLM0001058,0.59,1,Duplicate Claim
CLM0002295,0.737,0,Fake Identity
CLM0000957,0.059,0,Duplicate Claim
CLM0001407,0.797,0,Suspicious Pattern
CLM0001423,0.46,1,Duplicate Claim
CLM0000284,0.222,1,Fake Identity
CLM0000172,0.539,0,Suspicious Pattern
CLM0000655,0.059,1,Fake Identity
CLM0000721,0.842,1,Duplicate Claim
CLM0000845,0.992,1,Suspicious Pattern
CLM0000042,0.678,0,Suspicious Pattern
CLM0000959,0.318,0,Suspicious Pattern
CLM0002197,0.893,0,Duplicate Claim
CLM0002713,0.312,0,Duplicate Claim
CLM0000275,0.361,0,Suspicious Pattern
CLM0000112,0.922,0,Duplicate Claim
CLM0002307,0.621,0,Inflated Amount
CLM0001944,0.38,0,Inflated Amount
CLM0000021,0.442,1,Duplicate Claim
CLM0001281,0.68,0,Fake Identity
CLM0001145,0.653,0,Fake Identity
CLM0001202,0.364,0,Inflated Amount
CLM0002567,0.119,1,Inflated Amount
CLM0002720,0.421,0,Suspicious Pattern
CLM0001067,0.67,1,Inflated Amount
CLM0001124,0.266,1,Fake Identity
CLM0001731,0.884,0,Inflated Amount
CLM0002236,0.339,1,Suspicious Pattern
CLM0001217,0.205,1,Suspicious Pattern
CLM0001802,0.42,0,Fake Identity
CLM0000281,0.238,0,Fake Identity
CLM0002523,0.455,1,Suspicious Pattern
CLM0002395,0.089,0,Inflated Amount
CLM0000061,0.437,1,Duplicate Claim
CLM0001364,0.739,0,Duplicate Claim
CLM0002609,0.282,1,Fake Identity
CLM0001532,0.984,1,Fake Identity
CLM0001513,0.185,0,Inflated Amount
CLM0002592,0.343,0,Duplicate Claim
CLM0000855,0.492,0,Inflated Amount
CLM0000065,0.843,0,Duplicate Claim
CLM0001023,0.435,0,Fake Identity
CLM0002195,0.736,0,Inflated Amount
CLM0001417,0.015,0,Fake Identity
CLM0000809,0.026,1,Inflated Amount
CLM0002589,0.038,0,Suspicious Pattern
CLM0000303,0.023,0,Suspicious Pattern
CLM0001986,0.204,0,Inflated Amount
CLM0002671,0.596,1,Fake Identity
CLM0002675,0.79,0,Suspicious Pattern
CLM0002271,0.568,0,Fake Identity
CLM0001402,0.081,1,Inflated Amount
CLM0001695,0.704,0,Duplicate Claim
CLM0002711,0.553,0,Inflated Amount
CLM0002271,0.316,0,Suspicious Pattern
CLM0001160,0.177,1,Fake Identity
CLM0001484,0.081,1,Fake Identity
CLM0000897,0.495,0,Inflated Amount
CLM0001724,0.841,0,Fake Identity
CLM0000680,0.101,0,Inflated Amount
CLM0002062,0.106,1,Inflated Amount
CLM0000193,0.274,1,Fake Identity
CLM0000470,0.38,1,Inflated Amount
CLM0000493,0.993,0,Suspicious Pattern
CLM0002972,0.539,0,Fake Identity
CLM0001101,0.828,0,Inflated Amount
CLM0001786,0.225,0,Suspicious Pattern
CLM0002227,0.91,1,Duplicate Claim
CLM0002695,0.744,1,Inflated Amount
CLM0001155,0.334,0,Fake Identity
CLM0002139,0.754,1,Duplicate Claim
CLM0000787,0.887,1,Suspicious Pattern
CLM0000366,0.359,0,Fake Identity
CLM0001301,0.832,0,Duplicate Claim
CLM0002045,0.445,1,Inflated Amount
CLM0002240,0.745,0,Duplicate Claim
CLM0000065,0.294,1,Fake Identity
CLM0001886,0.691,0,Inflated Amount
CLM0001940,0.876,1,Suspicious Pattern
CLM0001156,0.48,0,Suspicious Pattern
CLM0002396,0.779,1,Duplicate Claim
CLM0000319,0.557,0,Suspicious Pattern
CLM0000451,0.849,1,Suspicious Pattern
CLM0002301,0.237,1,Duplicate Claim
CLM0002887,0.023,0,Inflated Amount
CLM0001026,0.67,0,Fake Identity
CLM0002425,0.777,0,Inflated Amount
CLM0001229,0.079,1,Inflated Amount
CLM0001997,0.659,0,Fake Identity
CLM0001633,0.21,0,Duplicate Claim
CLM0002158,0.99,1,Duplicate Claim
CLM0000801,0.783,0,Inflated Amount
CLM0000108,0.155,1,Fake Identity
CLM0001385,0.475,1,Duplicate Claim
CLM0000816,0.788,0,Duplicate Claim
CLM0002700,0.522,1,Inflated Amount
CLM0002150,0.979,0,Inflated Amount
CLM0001725,0.433,0,Duplicate Claim
CLM0001856,0.887,1,Fake Identity
CLM0002220,0.092,1,Fake Identity
CLM0000675,0.549,0,Inflated Amount
CLM0000544,0.995,1,Fake Identity
CLM0002114,0.679,1,Fake Identity
CLM0002111,0.154,1,Inflated Amount
CLM0000684,0.661,1,Duplicate Claim
CLM0001095,0.425,1,Duplicate Claim
CLM0001147,0.704,0,Inflated Amount
CLM0002280,0.351,0,Fake Identity
CLM0001471,0.494,0,Inflated Amount
CLM0000632,0.217,1,Duplicate Claim
CLM0002553,0.161,0,Inflated Amount
CLM0000847,0.299,0,Inflated Amount
CLM0001466,0.776,1,Duplicate Claim
CLM0001222,0.793,1,Suspicious Pattern
CLM0001030,0.544,1,Suspicious Pattern
CLM0000268,0.187,1,Inflated Amount
CLM0001250,0.809,1,Inflated Amount
CLM0000546,0.867,1,Duplicate Claim
CLM0001735,0.102,0,Fake Identity
CLM0001483,0.414,1,Inflated Amount
CLM0001377,0.551,1,Fake Identity
CLM0001915,0.806,1,Fake Identity
CLM0002055,0.632,0,Fake Identity
CLM0001495,0.412,1,Fake Identity
CLM0001929,0.464,1,Inflated Amount
CLM0001053,0.429,0,Duplicate Claim
CLM0001275,0.127,0,Inflated Amount
CLM0000179,0.786,1,Suspicious Pattern
CLM0001287,0.064,1,Fake Identity
CLM0002680,0.686,1,Fake Identity
CLM0002066,0.153,0,Inflated Amount
CLM0001748,0.419,0,Fake Identity
CLM0000863,0.121,1,Suspicious Pattern
CLM0002836,0.591,0,Fake Identity
CLM0001471,0.901,0,Inflated Amount
CLM0001815,0.609,1,Inflated Amount
CLM0000726,0.393,1,Duplicate Claim
CLM0001839,0.938,0,Fake Identity
CLM0001046,0.296,0,Suspicious Pattern
CLM0000438,0.256,1,Fake Identity
CLM0002476,0.715,1,Inflated Amount
CLM0002729,0.957,0,Suspicious Pattern
CLM0002895,0.778,0,Suspicious Pattern
CLM0001291,0.386,1,Inflated Amount
CLM0001819,0.275,0,Suspicious Pattern
CLM0000474,0.464,0,Fake Identity
CLM0000303,0.741,0,Suspicious Pattern
CLM0001042,0.28,0,Inflated Amount
CLM0000348,0.839,0,Suspicious Pattern
CLM0000642,0.636,0,Inflated Amount
CLM0002937,0.483,1,Inflated Amount
CLM0002564,0.09,0,Fake Identity
CLM0001833,0.42,1,Suspicious Pattern
CLM0000784,0.24,1,Fake Identity
CLM0001697,0.509,1,Duplicate Claim
CLM0002988,0.654,1,Duplicate Claim
CLM0001083,0.318,0,Duplicate Claim
CLM0001986,0.813,0,Duplicate Claim
CLM0001775,0.867,1,Fake Identity
CLM0000727,0.236,0,Inflated Amount
CLM0002076,0.028,1,Fake Identity
CLM0001527,0.171,1,Suspicious Pattern
CLM0002300,0.454,1,Fake Identity
CLM0002555,0.673,1,Fake Identity
CLM0001200,0.597,0,Duplicate Claim
CLM0000344,0.583,0,Suspicious Pattern
CLM0000999,0.231,1,Inflated Amount
CLM0001435,0.16,0,Inflated Amount
CLM0000013,0.036,1,Fake Identity
CLM0002234,0.431,1,Duplicate Claim
CLM0002050,0.301,0,Fake Identity
CLM0001404,0.548,1,Inflated Amount
CLM0001373,0.602,1,Inflated Amount
CLM0000444,0.288,1,Suspicious Pattern
CLM0000910,0.553,0,Suspicious Pattern
CLM0002394,0.609,1,Fake Identity
CLM0002500,0.88,1,Suspicious Pattern
CLM0001286,0.146,0,Suspicious Pattern
CLM0000400,0.384,1,Inflated Amount
CLM0002475,0.318,1,Duplicate Claim
CLM0000175,0.255,1,Inflated Amount
CLM0001224,0.425,0,Fake Identity
CLM0002811,0.943,1,Inflated Amount
CLM0001199,0.843,0,Fake Identity
CLM0002887,0.522,0,Fake Identity
CLM0002635,0.399,0,Duplicate Claim
