date,inflation_rate,unemployment_rate,interest_rate
2018-03-08,1.67,11.14,0.63
2018-03-09,4.29,8.03,6.4
2018-03-10,11.39,8.02,7.08
2018-03-11,10.28,3.23,9.05
2018-03-12,5.35,8.66,7.69
2018-03-13,9.87,10.88,4.33
2018-03-14,10.31,6.29,7.77
2018-03-15,8.91,8.82,6.44
2018-03-16,14.1,4.95,6.07
2018-03-17,12.11,4.69,1.2
2018-03-18,12.42,3.85,5.63
2018-03-19,6.96,4.42,8.74
2018-03-20,10.57,5.43,4.65
2018-03-21,3.57,7.67,7.19
2018-03-22,5.14,9.81,9.09
2018-03-23,8.03,4.9,5.57
2018-03-24,12.43,3.68,1.34
2018-03-25,5.72,6.5,1.02
2018-03-26,7.16,9.9,8.08
2018-03-27,14.4,5.89,0.81
2018-03-28,4.98,11.13,9.99
2018-03-29,9.65,4.48,1.71
2018-03-30,2.41,9.58,7.86
2018-03-31,6.76,6.68,8.74
2018-04-01,5.62,3.07,3.41
2018-04-02,1.18,4.81,5.65
2018-04-03,9.19,10.58,9.55
2018-04-04,5.64,2.06,9.57
2018-04-05,4.52,9.56,9.34
2018-04-06,13.5,10.11,3.11
2018-04-07,4.21,3.2,1.07
2018-04-08,6.68,11.62,1.48
2018-04-09,14.29,10.72,1.85
2018-04-10,2.12,3.79,6.88
2018-04-11,14.14,4.41,8.12
2018-04-12,6.46,10.18,0.98
2018-04-13,12.07,7.46,8.96
2018-04-14,5.98,11.23,7.6
2018-04-15,6.82,11.79,5.54
2018-04-16,7.13,5.43,9.9
2018-04-17,14.26,2.97,3.02
2018-04-18,8.7,9.04,2.57
2018-04-19,4.04,11.23,3.68
2018-04-20,9.56,3.65,5.5
2018-04-21,13.45,11.85,4.17
2018-04-22,4.0,3.96,8.38
2018-04-23,5.73,2.86,9.0
2018-04-24,9.0,6.96,9.68
2018-04-25,14.82,10.06,8.27
2018-04-26,7.52,5.54,6.28
2018-04-27,9.18,5.32,6.33
2018-04-28,2.89,3.97,2.27
2018-04-29,11.61,11.86,3.0
2018-04-30,4.08,5.42,9.97
2018-05-01,5.59,8.66,2.98
2018-05-02,10.93,3.32,4.94
2018-05-03,10.98,6.5,4.16
2018-05-04,5.46,9.96,7.04
2018-05-05,12.9,11.7,3.69
2018-05-06,12.13,3.77,6.99
2018-05-07,9.62,2.95,9.63
2018-05-08,3.5,11.88,2.9
2018-05-09,13.67,7.54,4.02
2018-05-10,8.38,5.45,3.75
2018-05-11,6.27,11.6,3.35
2018-05-12,13.98,5.9,3.07
2018-05-13,14.6,4.32,6.49
2018-05-14,11.04,10.04,5.71
2018-05-15,12.08,5.14,5.33
2018-05-16,4.45,5.22,8.11
2018-05-17,4.62,6.45,1.89
2018-05-18,8.97,8.93,2.11
2018-05-19,14.76,10.42,5.37
2018-05-20,11.41,4.26,3.86
2018-05-21,11.44,5.62,2.15
2018-05-22,4.61,6.96,7.06
2018-05-23,6.88,2.26,5.21
2018-05-24,5.8,8.97,2.42
2018-05-25,5.23,7.66,3.01
2018-05-26,11.24,3.34,7.37
2018-05-27,2.4,3.3,3.61
2018-05-28,3.32,10.95,2.44
2018-05-29,6.77,8.83,9.67
2018-05-30,5.24,5.88,1.34
2018-05-31,13.65,5.38,1.9
2018-06-01,3.81,5.17,7.31
2018-06-02,4.48,8.55,4.54
2018-06-03,3.49,3.79,7.65
2018-06-04,13.02,11.87,5.75
2018-06-05,3.83,8.87,0.88
2018-06-06,5.93,3.27,7.0
2018-06-07,10.37,3.38,8.15
2018-06-08,2.09,8.48,5.75
2018-06-09,12.43,5.83,3.42
2018-06-10,10.89,8.6,0.65
2018-06-11,4.65,9.23,9.11
2018-06-12,6.49,7.38,7.22
2018-06-13,9.68,4.57,0.93
2018-06-14,14.25,7.51,8.49
2018-06-15,9.81,6.22,1.0
2018-06-16,4.54,10.9,7.26
2018-06-17,7.75,9.4,7.09
2018-06-18,7.29,8.19,9.2
2018-06-19,8.46,2.4,2.07
2018-06-20,8.27,11.9,5.89
2018-06-21,6.1,7.66,5.67
2018-06-22,13.21,4.59,0.83
2018-06-23,5.62,7.92,6.56
2018-06-24,8.42,10.18,2.91
2018-06-25,4.65,7.39,3.66
2018-06-26,7.09,9.77,2.79
2018-06-27,10.54,6.13,1.03
2018-06-28,11.61,7.9,2.08
2018-06-29,12.29,6.22,2.47
2018-06-30,11.32,7.28,5.98
2018-07-01,7.53,3.68,1.78
2018-07-02,1.52,7.99,9.25
2018-07-03,8.34,11.79,2.7
2018-07-04,1.77,9.65,6.69
2018-07-05,14.53,5.2,2.0
2018-07-06,6.29,10.64,8.05
2018-07-07,8.05,10.96,1.18
2018-07-08,2.81,3.77,7.51
2018-07-09,14.94,2.53,4.24
2018-07-10,7.89,7.72,4.92
2018-07-11,5.18,6.76,3.98
2018-07-12,3.7,9.15,4.32
2018-07-13,10.1,4.93,0.55
2018-07-14,7.11,5.8,0.75
2018-07-15,5.44,4.64,8.04
2018-07-16,1.13,4.92,2.53
2018-07-17,1.51,2.09,6.27
2018-07-18,10.71,7.11,6.71
2018-07-19,7.73,6.73,7.13
2018-07-20,12.88,5.56,6.17
2018-07-21,11.55,7.4,6.47
2018-07-22,9.03,5.92,6.02
2018-07-23,8.85,6.33,9.32
2018-07-24,11.43,2.02,6.81
2018-07-25,11.38,2.66,3.85
2018-07-26,5.68,3.51,3.89
2018-07-27,2.47,3.84,1.26
2018-07-28,11.81,6.52,9.92
2018-07-29,4.12,10.75,8.96
2018-07-30,12.08,6.06,0.91
2018-07-31,9.65,8.27,8.69
2018-08-01,6.01,2.26,1.82
2018-08-02,12.93,10.55,2.77
2018-08-03,10.68,3.13,6.97
2018-08-04,8.63,4.84,7.44
2018-08-05,5.21,10.17,5.3
2018-08-06,14.81,4.65,9.69
2018-08-07,12.74,4.58,5.15
2018-08-08,2.91,8.03,2.95
2018-08-09,12.29,11.03,0.59
2018-08-10,2.68,4.14,8.74
2018-08-11,4.47,8.21,4.26
2018-08-12,14.41,8.0,7.93
2018-08-13,13.18,8.6,7.85
2018-08-14,9.48,11.47,0.91
2018-08-15,10.79,3.66,8.3
2018-08-16,2.25,8.54,3.25
2018-08-17,5.65,3.82,8.49
2018-08-18,5.51,5.14,5.18
2018-08-19,1.46,5.9,6.12
2018-08-20,10.86,10.35,1.46
2018-08-21,5.31,2.54,4.1
2018-08-22,9.86,9.34,9.72
2018-08-23,1.38,11.13,9.3
2018-08-24,1.02,2.79,9.94
2018-08-25,3.38,9.91,5.35
2018-08-26,10.84,3.08,8.27
2018-08-27,9.46,11.63,4.82
2018-08-28,3.81,10.15,9.44
2018-08-29,8.33,8.95,9.87
2018-08-30,9.67,7.5,8.84
2018-08-31,14.15,11.21,6.4
2018-09-01,11.67,3.19,9.9
2018-09-02,2.9,3.22,9.85
2018-09-03,4.78,10.22,5.01
2018-09-04,6.65,6.82,3.39
2018-09-05,2.47,10.45,2.28
2018-09-06,8.77,5.91,6.93
2018-09-07,13.7,6.52,0.83
2018-09-08,5.29,5.32,7.76
2018-09-09,14.79,11.51,0.99
2018-09-10,4.49,6.65,3.02
2018-09-11,7.61,9.55,5.23
2018-09-12,5.8,8.96,1.43
2018-09-13,5.31,4.35,0.84
2018-09-14,6.29,11.14,5.06
2018-09-15,1.45,7.45,8.92
2018-09-16,8.45,10.56,4.38
2018-09-17,11.38,10.32,2.4
2018-09-18,13.09,2.59,4.38
2018-09-19,5.54,8.2,7.37
2018-09-20,8.71,9.89,0.89
2018-09-21,13.5,11.06,0.79
2018-09-22,12.2,7.06,4.9
2018-09-23,7.5,9.51,6.93
2018-09-24,3.31,11.7,6.33
2018-09-25,8.82,10.28,6.56
2018-09-26,14.86,10.54,2.07
2018-09-27,11.61,6.07,5.62
2018-09-28,12.87,2.92,4.09
2018-09-29,3.64,11.66,1.55
2018-09-30,13.65,8.96,1.72
2018-10-01,1.2,3.71,6.63
2018-10-02,13.07,11.74,9.59
2018-10-03,4.35,9.16,1.51
2018-10-04,9.72,2.9,5.2
2018-10-05,5.1,3.71,2.86
2018-10-06,2.89,10.65,3.18
2018-10-07,4.46,11.54,2.63
2018-10-08,7.62,5.65,5.68
2018-10-09,13.88,6.13,1.04
2018-10-10,6.45,5.95,7.55
2018-10-11,1.78,10.35,6.26
2018-10-12,1.33,6.53,4.16
2018-10-13,3.94,5.75,2.57
2018-10-14,1.73,8.22,5.6
2018-10-15,6.2,6.91,9.57
2018-10-16,6.38,7.33,7.23
2018-10-17,14.61,6.07,3.15
2018-10-18,5.29,6.61,7.56
2018-10-19,9.39,2.36,5.29
2018-10-20,12.46,11.26,0.96
2018-10-21,8.18,2.31,6.37
2018-10-22,10.75,9.73,2.72
2018-10-23,14.64,4.98,4.39
2018-10-24,5.54,3.12,5.05
2018-10-25,2.04,8.1,8.09
2018-10-26,7.02,9.07,6.01
2018-10-27,8.57,8.3,3.73
2018-10-28,9.12,7.76,6.74
2018-10-29,11.34,7.36,2.32
2018-10-30,13.57,7.41,8.32
2018-10-31,8.0,10.65,2.41
2018-11-01,3.01,2.9,5.81
2018-11-02,6.65,3.57,2.45
2018-11-03,3.18,10.13,3.59
2018-11-04,3.55,5.03,4.51
2018-11-05,1.02,9.72,3.99
2018-11-06,14.02,5.53,9.37
2018-11-07,11.43,11.25,2.62
2018-11-08,2.4,4.81,2.21
2018-11-09,13.88,6.27,5.42
2018-11-10,13.19,3.59,9.51
2018-11-11,13.74,8.67,5.28
2018-11-12,2.36,6.03,9.61
2018-11-13,2.12,11.41,2.31
2018-11-14,1.95,2.16,0.6
2018-11-15,14.54,5.88,3.38
2018-11-16,10.25,2.24,6.56
2018-11-17,3.49,5.29,6.12
2018-11-18,14.01,5.8,2.8
2018-11-19,7.2,4.58,6.78
2018-11-20,12.0,4.56,8.39
2018-11-21,9.91,4.6,7.03
2018-11-22,10.1,4.66,7.41
2018-11-23,7.16,4.82,3.42
2018-11-24,6.53,10.51,5.53
2018-11-25,3.27,2.39,0.91
2018-11-26,1.99,11.89,3.91
2018-11-27,13.99,4.82,8.25
2018-11-28,14.11,2.28,8.01
2018-11-29,9.98,3.75,9.44
2018-11-30,6.43,11.42,9.7
2018-12-01,1.35,11.98,9.74
2018-12-02,7.27,4.47,2.0
2018-12-03,10.23,4.25,1.65
2018-12-04,5.2,10.36,8.81
2018-12-05,5.79,11.14,4.14
2018-12-06,7.61,8.5,3.89
2018-12-07,7.93,11.36,5.57
2018-12-08,11.4,11.5,4.79
2018-12-09,8.0,9.6,2.62
2018-12-10,12.83,5.49,8.52
2018-12-11,7.76,3.49,9.14
2018-12-12,1.45,7.18,7.6
2018-12-13,2.98,4.9,0.96
2018-12-14,11.05,3.19,1.62
2018-12-15,7.33,5.94,3.79
2018-12-16,7.46,6.8,5.79
2018-12-17,14.69,8.62,6.29
2018-12-18,9.0,4.21,1.45
2018-12-19,2.64,10.68,9.62
2018-12-20,7.07,3.85,5.53
2018-12-21,8.86,11.97,4.6
2018-12-22,1.52,7.57,2.32
2018-12-23,6.1,3.47,9.53
2018-12-24,14.55,10.34,4.75
2018-12-25,11.52,4.54,1.62
2018-12-26,6.21,3.88,6.34
2018-12-27,4.67,3.35,3.83
2018-12-28,4.96,7.51,8.18
2018-12-29,12.6,10.79,5.68
2018-12-30,6.62,10.97,1.5
2018-12-31,12.8,9.86,7.63
2019-01-01,13.72,7.81,3.39
2019-01-02,7.5,7.3,4.38
2019-01-03,14.23,5.74,7.87
2019-01-04,5.2,2.44,1.51
2019-01-05,4.64,10.37,9.79
2019-01-06,2.5,11.99,7.17
2019-01-07,4.44,11.21,2.33
2019-01-08,11.82,11.33,1.05
2019-01-09,6.65,5.33,5.67
2019-01-10,3.07,2.99,4.1
2019-01-11,2.5,10.72,0.78
2019-01-12,7.86,9.64,6.29
2019-01-13,8.55,5.9,3.43
2019-01-14,12.12,10.34,3.56
2019-01-15,11.01,3.39,2.04
2019-01-16,3.34,8.51,1.83
2019-01-17,4.88,11.53,1.87
2019-01-18,10.71,11.1,8.92
2019-01-19,3.53,9.61,5.56
2019-01-20,12.25,4.67,4.96
2019-01-21,10.2,3.03,7.19
2019-01-22,8.51,5.25,3.54
2019-01-23,10.02,8.17,8.31
2019-01-24,2.4,5.17,2.37
2019-01-25,8.67,6.13,8.13
2019-01-26,7.32,6.04,1.03
2019-01-27,8.18,5.36,1.99
2019-01-28,5.73,11.23,8.98
2019-01-29,7.55,5.2,1.54
2019-01-30,13.37,11.94,2.83
2019-01-31,5.83,4.09,0.91
2019-02-01,1.63,10.73,6.19
2019-02-02,4.59,9.32,3.61
2019-02-03,7.36,8.69,6.52
2019-02-04,8.47,6.45,1.31
2019-02-05,6.98,10.17,4.25
2019-02-06,12.57,6.92,4.03
2019-02-07,13.81,3.36,5.6
2019-02-08,7.82,4.8,3.3
2019-02-09,2.06,3.82,9.86
2019-02-10,6.89,7.7,3.5
2019-02-11,3.54,8.55,7.12
2019-02-12,4.97,5.36,3.98
2019-02-13,12.66,2.4,5.57
2019-02-14,8.49,8.59,2.65
2019-02-15,12.6,2.62,2.14
2019-02-16,14.8,11.66,9.74
2019-02-17,8.63,10.87,5.64
2019-02-18,13.77,10.31,4.88
2019-02-19,10.57,5.68,6.59
2019-02-20,2.43,9.45,2.62
2019-02-21,6.85,2.46,8.31
2019-02-22,10.23,2.9,2.86
2019-02-23,10.87,6.95,5.65
2019-02-24,13.05,7.87,1.71
2019-02-25,9.92,9.67,5.96
2019-02-26,2.26,4.98,5.09
2019-02-27,2.99,7.43,3.17
2019-02-28,5.6,2.63,3.42
2019-03-01,5.12,6.71,0.59
2019-03-02,4.1,8.71,0.76
2019-03-03,9.64,11.9,6.21
2019-03-04,7.02,9.68,7.32
2019-03-05,10.59,11.95,5.7
2019-03-06,6.42,6.98,1.28
2019-03-07,4.84,6.33,9.44
2019-03-08,8.71,10.34,7.28
2019-03-09,2.35,6.62,2.76
2019-03-10,14.84,9.56,6.88
2019-03-11,10.18,11.95,1.56
2019-03-12,2.71,9.25,7.9
2019-03-13,9.71,2.14,5.07
2019-03-14,2.04,3.8,4.39
2019-03-15,8.09,4.76,0.59
2019-03-16,5.07,10.22,6.7
2019-03-17,10.81,11.32,8.38
2019-03-18,7.82,8.5,3.24
2019-03-19,12.0,2.88,0.61
2019-03-20,4.22,7.0,7.87
2019-03-21,10.19,10.59,6.54
2019-03-22,10.63,5.62,7.88
2019-03-23,7.69,2.65,5.61
2019-03-24,13.02,9.8,4.88
2019-03-25,3.05,8.57,2.58
2019-03-26,11.62,6.67,1.25
2019-03-27,2.85,10.5,4.98
2019-03-28,3.2,10.5,8.75
2019-03-29,3.82,9.01,1.06
2019-03-30,10.26,11.42,9.9
2019-03-31,9.95,6.54,9.5
2019-04-01,7.24,9.29,6.59
2019-04-02,5.4,10.31,9.19
2019-04-03,9.58,8.36,5.76
2019-04-04,3.02,7.53,4.34
2019-04-05,9.8,9.32,5.93
2019-04-06,1.17,5.55,8.83
2019-04-07,3.02,5.66,9.6
2019-04-08,10.91,11.77,8.46
2019-04-09,13.24,3.19,2.21
2019-04-10,2.06,10.42,6.12
2019-04-11,9.94,9.89,4.73
2019-04-12,1.87,2.54,5.07
2019-04-13,13.31,9.04,4.57
2019-04-14,6.48,2.94,1.14
2019-04-15,11.38,4.11,8.54
2019-04-16,3.42,11.58,9.79
2019-04-17,13.06,5.62,2.49
2019-04-18,7.01,2.57,6.41
2019-04-19,3.92,7.21,5.6
2019-04-20,9.01,4.06,9.02
2019-04-21,5.03,6.26,7.19
2019-04-22,5.02,3.02,7.62
2019-04-23,2.6,2.96,9.54
2019-04-24,3.99,7.04,6.8
2019-04-25,12.17,5.36,4.81
2019-04-26,8.33,3.55,0.99
2019-04-27,5.97,7.8,9.11
2019-04-28,14.01,2.62,6.1
2019-04-29,12.16,9.53,6.98
2019-04-30,5.34,2.51,5.3
2019-05-01,2.55,11.7,4.24
2019-05-02,3.58,9.36,5.29
2019-05-03,10.45,10.97,0.96
2019-05-04,8.88,6.4,8.08
2019-05-05,14.73,2.58,2.0
2019-05-06,1.19,4.29,3.66
2019-05-07,13.28,11.71,1.33
2019-05-08,1.2,8.19,8.29
2019-05-09,6.95,4.28,2.1
2019-05-10,13.83,6.83,4.29
2019-05-11,10.22,5.17,4.45
2019-05-12,9.17,6.9,3.51
2019-05-13,5.39,10.37,8.67
2019-05-14,14.53,4.23,7.83
2019-05-15,3.36,5.99,7.56
2019-05-16,4.78,6.46,2.64
2019-05-17,7.34,7.87,2.3
2019-05-18,2.77,2.78,2.84
2019-05-19,6.93,4.07,4.17
2019-05-20,1.55,5.98,5.05
2019-05-21,13.94,10.09,2.88
2019-05-22,5.51,3.87,4.85
2019-05-23,9.87,10.82,2.25
2019-05-24,13.19,5.39,3.06
2019-05-25,12.46,4.54,2.98
2019-05-26,13.23,6.09,7.41
2019-05-27,11.08,7.54,4.86
2019-05-28,3.71,9.34,6.34
2019-05-29,6.13,6.77,6.86
2019-05-30,8.17,10.18,1.15
2019-05-31,5.72,10.19,8.05
2019-06-01,14.37,2.02,3.2
2019-06-02,12.3,9.92,5.34
2019-06-03,12.19,6.43,3.71
2019-06-04,6.06,11.67,7.85
2019-06-05,11.57,10.2,2.67
2019-06-06,9.6,5.84,9.66
2019-06-07,6.25,8.35,4.3
2019-06-08,5.32,3.94,7.26
2019-06-09,12.04,4.9,6.59
2019-06-10,9.36,4.02,7.55
2019-06-11,1.52,9.51,5.74
2019-06-12,1.3,2.08,4.15
2019-06-13,12.79,6.07,2.21
2019-06-14,2.26,10.38,5.43
2019-06-15,8.27,9.09,1.08
2019-06-16,9.52,6.22,1.06
2019-06-17,13.82,8.33,6.33
2019-06-18,8.2,6.32,5.06
2019-06-19,3.72,10.44,5.31
2019-06-20,4.65,7.73,3.53
2019-06-21,1.68,8.33,8.01
2019-06-22,4.11,11.89,2.41
2019-06-23,12.41,9.7,6.07
2019-06-24,11.6,4.86,8.67
2019-06-25,2.15,9.73,8.42
2019-06-26,7.71,11.28,0.77
2019-06-27,5.23,4.95,3.15
2019-06-28,10.1,10.17,7.29
2019-06-29,14.46,4.38,7.54
2019-06-30,9.83,6.34,5.09
2019-07-01,11.44,8.9,2.42
2019-07-02,6.57,4.44,3.15
2019-07-03,1.46,3.87,8.11
2019-07-04,6.85,6.63,2.33
2019-07-05,8.15,9.83,9.45
2019-07-06,7.9,7.96,5.26
2019-07-07,4.27,9.01,3.19
2019-07-08,7.65,8.89,4.2
2019-07-09,11.05,7.44,2.94
2019-07-10,5.36,5.16,4.15
2019-07-11,9.88,6.22,1.74
2019-07-12,3.15,5.81,8.32
2019-07-13,4.89,2.79,9.65
2019-07-14,13.37,10.98,6.76
2019-07-15,9.77,8.42,8.18
2019-07-16,2.2,10.57,2.67
2019-07-17,4.7,9.76,1.1
2019-07-18,14.92,2.68,6.46
2019-07-19,4.78,4.16,8.27
2019-07-20,9.13,11.51,8.43
2019-07-21,8.7,6.62,5.56
2019-07-22,6.63,10.12,6.41
2019-07-23,1.47,7.75,4.0
2019-07-24,4.98,10.24,8.39
2019-07-25,14.35,9.35,7.13
2019-07-26,1.27,4.8,2.27
2019-07-27,11.02,11.91,3.15
2019-07-28,13.5,6.91,1.94
2019-07-29,11.67,7.85,5.3
2019-07-30,5.53,7.4,2.42
2019-07-31,8.29,10.85,2.01
2019-08-01,13.15,4.8,2.02
2019-08-02,14.66,2.62,3.03
2019-08-03,2.36,6.28,8.19
2019-08-04,2.74,11.18,9.41
2019-08-05,14.38,6.39,9.96
2019-08-06,13.22,4.78,0.88
2019-08-07,3.96,8.18,5.9
2019-08-08,14.58,9.38,3.03
2019-08-09,3.93,6.63,9.89
2019-08-10,2.24,5.8,9.85
2019-08-11,10.55,5.65,9.37
2019-08-12,8.56,6.21,0.64
2019-08-13,4.36,10.43,1.97
2019-08-14,14.0,6.83,5.75
2019-08-15,6.66,5.14,2.28
2019-08-16,6.64,3.82,8.62
2019-08-17,9.85,4.83,7.15
2019-08-18,4.23,6.63,2.25
2019-08-19,9.22,7.48,8.27
2019-08-20,6.1,8.21,5.23
2019-08-21,10.73,2.71,7.24
2019-08-22,4.47,8.13,1.83
2019-08-23,3.6,5.52,5.42
2019-08-24,4.5,4.57,7.88
2019-08-25,14.1,5.31,3.78
2019-08-26,12.89,9.84,2.27
2019-08-27,12.6,10.03,6.57
2019-08-28,11.93,3.04,6.62
2019-08-29,9.92,6.95,2.44
2019-08-30,2.38,7.29,1.16
2019-08-31,5.55,2.3,2.08
2019-09-01,8.87,9.17,3.12
2019-09-02,2.48,5.67,0.84
2019-09-03,1.42,6.18,9.27
2019-09-04,2.31,8.1,2.69
2019-09-05,2.51,6.69,7.52
2019-09-06,2.53,9.48,4.44
2019-09-07,3.66,7.96,5.27
2019-09-08,7.99,4.26,5.6
2019-09-09,5.0,10.7,7.84
2019-09-10,13.04,4.16,7.99
2019-09-11,13.27,9.14,1.84
2019-09-12,13.88,9.92,3.38
2019-09-13,7.6,8.88,5.94
2019-09-14,11.84,6.22,3.64
2019-09-15,9.27,10.78,1.76
2019-09-16,3.02,5.28,4.38
2019-09-17,9.9,8.87,2.58
2019-09-18,12.72,10.78,1.86
2019-09-19,5.87,3.55,3.39
2019-09-20,11.45,8.53,3.35
2019-09-21,11.84,11.01,1.42
2019-09-22,10.01,3.03,6.05
2019-09-23,13.37,3.46,3.49
2019-09-24,3.03,5.78,2.15
2019-09-25,12.81,11.94,8.28
2019-09-26,9.55,4.24,0.52
2019-09-27,12.98,5.25,4.82
2019-09-28,8.46,10.35,4.63
2019-09-29,5.59,3.31,6.88
2019-09-30,13.56,11.96,4.2
2019-10-01,13.28,9.39,5.37
2019-10-02,4.75,11.59,9.13
2019-10-03,11.42,3.44,2.1
2019-10-04,2.28,4.32,1.5
2019-10-05,2.2,5.71,7.59
2019-10-06,8.16,2.51,7.56
2019-10-07,1.5,2.61,9.24
2019-10-08,7.07,11.04,9.84
2019-10-09,12.07,2.43,4.15
2019-10-10,13.45,9.5,4.09
2019-10-11,4.57,9.18,9.09
2019-10-12,2.08,2.73,8.68
2019-10-13,9.83,3.88,4.07
2019-10-14,4.71,6.55,1.22
2019-10-15,1.33,8.42,6.02
2019-10-16,2.84,10.96,3.05
2019-10-17,14.14,7.27,9.13
2019-10-18,13.25,11.36,8.16
2019-10-19,12.61,3.9,9.06
2019-10-20,5.75,8.23,1.27
2019-10-21,11.0,10.45,8.71
2019-10-22,14.4,4.33,6.13
2019-10-23,8.95,9.89,2.55
2019-10-24,5.66,6.0,3.36
2019-10-25,12.19,12.0,4.84
2019-10-26,7.02,2.92,6.46
2019-10-27,9.08,7.53,2.71
2019-10-28,8.58,9.83,2.47
2019-10-29,4.04,8.76,8.98
2019-10-30,1.01,7.06,8.53
2019-10-31,14.98,7.13,7.78
2019-11-01,6.84,6.05,7.73
2019-11-02,4.97,5.42,7.78
2019-11-03,11.72,7.94,9.28
2019-11-04,9.3,9.48,8.52
2019-11-05,13.33,4.79,4.19
2019-11-06,11.94,11.47,4.98
2019-11-07,4.94,5.65,6.24
2019-11-08,9.29,6.34,5.02
2019-11-09,8.04,6.11,3.32
2019-11-10,14.37,3.11,8.68
2019-11-11,4.35,3.16,8.13
2019-11-12,4.97,9.95,4.2
2019-11-13,13.89,5.81,1.59
2019-11-14,7.41,4.16,0.55
2019-11-15,7.4,9.08,1.38
2019-11-16,13.15,11.6,1.97
2019-11-17,5.14,11.37,6.75
2019-11-18,10.76,9.23,2.59
2019-11-19,11.1,3.92,6.53
2019-11-20,7.19,3.54,3.62
2019-11-21,5.68,10.71,9.0
2019-11-22,11.45,11.63,4.96
2019-11-23,4.58,8.22,6.89
2019-11-24,12.47,11.01,4.88
2019-11-25,6.83,10.15,9.17
2019-11-26,1.26,3.54,7.03
2019-11-27,8.97,4.23,6.6
2019-11-28,3.72,2.68,6.13
2019-11-29,7.53,6.74,9.89
2019-11-30,12.32,5.24,7.01
2019-12-01,3.66,6.26,7.66
2019-12-02,3.91,2.09,1.28
2019-12-03,7.63,9.21,8.24
2019-12-04,7.67,4.01,6.17
2019-12-05,7.35,5.68,3.7
2019-12-06,10.72,6.02,6.03
2019-12-07,4.77,2.66,6.44
2019-12-08,4.65,5.66,2.97
2019-12-09,1.31,11.0,4.65
2019-12-10,6.34,10.93,7.35
2019-12-11,3.74,2.25,2.65
2019-12-12,9.28,2.3,8.44
2019-12-13,3.54,7.94,1.24
2019-12-14,13.52,4.05,6.02
2019-12-15,12.89,10.99,4.11
2019-12-16,11.71,6.83,1.01
2019-12-17,12.32,5.26,7.86
2019-12-18,14.43,11.53,5.69
2019-12-19,5.48,5.18,7.3
2019-12-20,14.72,5.21,4.11
2019-12-21,13.47,3.33,8.67
2019-12-22,6.07,4.22,1.3
2019-12-23,13.1,9.6,2.72
2019-12-24,13.56,9.6,8.05
2019-12-25,1.51,5.87,9.57
2019-12-26,13.26,5.49,8.54
2019-12-27,7.07,6.18,2.69
2019-12-28,12.36,5.01,3.81
2019-12-29,2.56,8.08,7.77
2019-12-30,3.41,10.37,9.49
2019-12-31,14.7,2.09,3.25
2020-01-01,6.83,11.36,4.17
2020-01-02,12.18,3.18,0.72
2020-01-03,11.5,11.0,5.29
2020-01-04,12.0,4.34,1.34
